@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.13021,0.066392,31,-13,0
0.52189,0.45807,8,-36,0
0.54103,0.47721,9,-35,0
0.36018,0.29636,9,-35,0
0.36824,0.30442,9,-35,0
0.31167,0.24785,8,-36,0
0.36202,0.2982,9,-35,0
0.52067,0.45685,9,-35,0
0.29196,0.22814,10,-34,0
0.32907,0.26525,11,-33,0
0.23541,0.17159,13,-31,0
0.2778,0.21398,13,-31,0
0.40566,0.34184,10,-34,0
0.55756,0.49374,8,-36,0
0.24452,0.1807,20,-24,0
0.32146,0.25764,8,-36,0
0.46812,0.40429,7,-37,0
0.9397,0.87587,6,-38,0
0.60804,0.54422,6,-38,0
0.66772,0.6039,5,-39,0
0.38332,0.3195,13,-31,0
0.15648,0.092663,30,-14,0
0.40486,0.34103,13,-31,0
0.28004,0.21622,16,-28,0
0.22762,0.1638,10,-34,0
0.63413,0.57031,7,-37,0
0.13871,0.074884,13,-31,0
0.30036,0.23654,17,-27,0
0.28999,0.22617,32,-12,0
0.16429,0.10047,6,-38,0
0.2393,0.17548,9,-35,1
0.25913,0.19531,8,-36,1
0.3824,0.31858,4,-40,1
0.41026,0.34643,4,-40,1
0.45838,0.39456,3,-41,1
0.74145,0.67762,3,-41,1
1.1004,1.0366,3,-41,1
0.56547,0.50164,3,-41,1
1.27,1.2061,5,-39,1
1.305,1.2412,3,-41,1
1.5719,1.5081,2,-42,1
1.6669,1.6031,2,-42,1
1.5983,1.5345,2,-42,1
1.3944,1.3306,2,-42,1
0.85399,0.79016,3,-41,1
0.38909,0.32527,10,-34,1
0.48062,0.4168,10,-34,1
0.39373,0.32991,10,-34,1
0.37954,0.31572,10,-34,1
0.53147,0.46764,9,-35,1
0.36017,0.29634,9,-35,1
0.31931,0.25549,12,-32,1
0.39213,0.32831,9,-35,1
0.30135,0.23753,9,-35,0
0.26143,0.19761,8,-36,0
