@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.045823,0.075318,0.30223,65,0
0.048951,0.082577,0.43693,51,0
0.046426,0.079855,0.43227,63,0
0.041989,0.10799,0.44466,95,0
0.042448,0.14428,0.40274,126,0
0.048345,0.1216,0.40508,104,0
0.051482,0.11343,0.50061,85,0
0.058559,0.10617,0.65172,79,0
0.060901,0.08167,0.53065,71,0
0.052763,0.071688,0.66231,44,0
0.049677,0.072595,0.55764,30,0
0.050404,0.07078,0.60998,27,0
0.046705,0.058984,0.57948,24,0
0.047173,0.053539,0.42107,23,0
0.054804,0.048094,0.63055,15,0
0.053433,0.047187,0.55647,18,0
0.049678,0.045372,0.5617,15,0
0.057942,0.046279,0.68153,18,0
0.060716,0.045372,0.65587,17,0
0.068499,0.033575,0.49436,17,0
0.12078,0.023593,0.80543,9,0
0.19142,0.021779,1.2464,9,0
0.18079,0.022686,1.1762,9,0
0.10958,0.023593,0.8736,9,0
0.098066,0.024501,0.98795,9,0
0.098361,0.025408,0.91639,9,0
0.089035,0.023593,0.96165,9,0
0.0678,0.025408,0.56966,11,0
0.077609,0.024501,0.89423,9,0
0.084529,0.020871,0.96661,9,0
0.078612,0.022686,0.95802,9,0
0.090761,0.032668,0.64352,9,0
0.081367,0.053539,0.45157,24,0
0.072069,0.062613,0.73789,23,0
0.074464,0.061706,0.62192,21,0
0.065415,0.064428,0.64231,33,0
0.053242,0.083485,0.43794,55,0
0.053623,0.089837,0.49048,58,0
0.055983,0.090744,0.49794,58,0
0.06741,0.076225,0.59203,17,1
0.08517,0.03902,0.64605,13,1
0.085945,0.034483,0.858,9,1
0.085679,0.033575,0.72517,12,1
0.091006,0.030853,0.55003,14,1
0.090018,0.03902,0.41715,14,1
0.099215,0.037205,0.83405,13,1
0.089692,0.039927,0.91151,11,1
0.065163,0.047187,0.76372,23,1
0.061102,0.049002,0.70017,15,1
0.085916,0.037205,0.98661,9,1
0.11016,0.022686,1.2184,9,1
0.099642,0.029038,1.2905,10,1
0.071017,0.04265,0.75816,9,1
0.048283,0.060799,0.37447,28,1
0.041714,0.07078,0.30572,28,1
0.046688,0.067151,0.47747,27,1
0.049327,0.061706,0.52231,27,1
0.043178,0.058076,0.41864,30,1
0.04139,0.051724,0.43059,24,1
0.042067,0.047187,0.62693,22,1
0.048248,0.036298,0.40515,11,1
0.074301,0.026316,0.72374,12,1
0.07454,0.032668,0.70911,12,0
0.073006,0.033575,0.73517,12,0
0.088067,0.030853,0.70827,12,0
