@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.074489,21,0
0.25581,23,0
0.0050847,5,0
0,1,0
0.0045788,22,0
0.23391,18,0
0.098813,10,0
6.8282e-05,3,0
0.056169,23,0
0.011925,11,0
1.7155e-05,1,0
0.0017327,5,0
0.14032,15,0
0.18593,12,0
0.052696,5,0
0.00010057,3,0
0.0010014,18,0
0.10467,11,0
0.037459,11,0
0.022702,8,0
0.12671,15,0
0.05096,14,0
0.11388,17,0
0.19676,6,0
0,1,0
0.00019596,2,0
0.010558,7,0
0.092172,1,0
0.0011526,2,0
0.0047728,6,0
0.022203,14,0
0.085829,21,1
0.071174,20,1
0.017561,19,1
0.076984,16,1
0.18007,17,1
0.099297,10,1
0.22799,12,1
0.30376,13,1
0.78363,19,1
0.2569,8,1
0.42414,9,1
1.1011,9,1
1.1389,10,1
0.15412,16,1
0.0011441,6,1
0.046412,15,1
0.15103,26,1
0.00071664,6,1
0.0013615,2,1
0.061618,19,1
0.024409,25,1
0.031221,8,1
4.0768e-05,1,1
0.0005514,4,0
0.055556,6,0
7.4495e-05,3,0
0.00012018,3,0
0.00019649,2,0
0.011351,24,0
0,1,0
0.019193,15,0
0.012759,8,0
0.061296,13,0
0.10505,15,0
0.084936,11,0
0.0018016,9,0
0.031599,15,0
0.073182,17,0
0.092896,10,0
6.5039e-05,6,0
0.045247,19,0
0.4257,15,0
0.50099,11,0
0.040531,6,0
0.42922,6,0
0.19934,27,1
0.19443,17,1
0.64446,17,1
0.55037,21,1
0.55212,24,1
0.98605,30,1
0.7699,26,1
0.90932,32,1
1.0177,33,1
1.0703,33,1
1.0165,32,1
0.82325,34,1
1.1818,33,1
0.94434,33,1
0.93785,33,1
1.0958,33,1
1.1015,34,1
1.0554,34,1
1.1555,33,1
1.1091,34,1
1.0102,34,1
1.1446,34,1
1.0515,34,1
1.2212,9,1
1.1123,9,1
1.1233,9,1
1.3288,9,1
1.2229,9,1
1.185,9,1
1.3965,9,1
1.3079,9,1
1.4139,9,1
1.5051,9,1
1.5142,9,1
1.5332,9,1
1.5225,9,1
1.5163,10,1
1.5345,10,1
1.54,9,1
1.5314,9,1
1.4852,9,1
1.5425,9,1
1.5647,9,1
1.5435,9,1
1.5342,9,1
1.5718,9,1
1.5277,10,1
1.6288,10,1
1.5664,10,1
1.5347,10,1
1.2845,10,1
