@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
246.42,-5.1269,64.6,0
471.52,-4.8642,43.066,0
332.23,-4.9365,21.533,0
286.12,-5.0739,64.6,0
344.47,-4.9236,64.6,0
436.96,-4.7646,21.533,0
338.32,-4.807,43.066,0
200.78,-5.0221,43.066,0
362.54,-4.6729,43.066,0
132.12,-5.0386,21.533,0
138.47,-4.96,64.6,0
123.88,-5.0189,64.6,0
306.61,-4.7141,43.066,0
470.38,-4.3688,21.533,0
-18.733,-5.4451,43.066,0
340.88,-4.8053,64.6,0
358.96,-4.7683,43.066,1
1121.1,-4.8687,21.533,1
1184,-4.919,495.26,1
1436.4,-5.0668,473.73,1
1824.2,-4.9737,473.73,1
2095,-4.9123,473.73,1
1960.3,-4.9464,473.73,1
1978.2,-5.0736,495.26,1
2261.2,-4.8886,495.26,1
2091.1,-4.9419,495.26,1
2019.7,-4.919,495.26,1
2198.5,-5.0048,495.26,1
2213.7,-4.9442,495.26,1
2455,-4.8594,495.26,1
2330.4,-4.9802,495.26,1
2286.4,-4.8959,473.73,1
