@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.051892,0.068966,138.5,-5.7083,1744.2,0
0.046874,0.068058,173.18,-5.5169,452.2,0
0.051143,0.055354,140.29,-5.5614,452.2,0
0.062801,0.048094,372.37,-5.3787,452.2,0
0.075789,0.048094,353.37,-5.3366,430.66,0
0.084307,0.03176,448.71,-5.1433,430.66,0
0.07809,0.029946,374.7,-5.3311,430.66,0
0.069597,0.049002,454.65,-5.471,430.66,0
0.079034,0.056261,596.04,-5.4592,430.66,0
0.081584,0.053539,298.1,-5.5271,430.66,0
0.070699,0.068058,446.73,-5.6041,430.66,0
0.060154,0.076225,162.32,-5.805,452.2,0
0.047221,0.071688,145.81,-5.7136,430.66,0
0.040515,0.058984,30.213,-5.7118,710.6,0
0.038071,0.046279,36.839,-5.6197,732.13,0
0.045764,0.039927,113.82,-5.4253,732.13,0
0.055151,0.038113,200.87,-5.2669,473.73,0
0.097872,0.055354,889.7,-5.7369,323,0
0.10634,0.07441,1282.9,-5.6605,279.93,0
0.095459,0.059891,994.57,-5.5386,473.73,0
0.099095,0.049002,887.19,-5.3494,473.73,0
0.098085,0.058076,748.8,-5.3895,753.66,1
0.10546,0.049909,1109,-5.2395,710.6,1
0.10119,0.040835,831.64,-5.2256,775.2,1
0.099743,0.043557,566.59,-5.4139,818.26,1
0.14411,0.03902,1366.6,-5.0357,646,1
0.14989,0.038113,1351.9,-4.8924,710.6,1
0.11756,0.044465,852.69,-5.1628,430.66,1
0.11913,0.041742,969.95,-5.0521,430.66,1
0.12394,0.047187,824.57,-4.9933,452.2,1
0.13527,0.047187,1130.4,-4.7443,452.2,1
0.13924,0.04265,995.38,-4.8291,452.2,1
0.139,0.045372,1073.6,-4.847,452.2,1
0.12736,0.046279,906.23,-5.0297,452.2,1
0.10517,0.048094,699.92,-5.1023,452.2,1
0.10552,0.048094,635.49,-5.1759,430.66,1
0.11025,0.053539,978.5,-5.2719,430.66,1
0.10454,0.060799,940.24,-5.3235,409.13,1
0.097794,0.056261,713.82,-5.2725,409.13,1
0.09569,0.053539,795.36,-5.2328,753.66,1
0.099821,0.045372,806.56,-5.2367,732.13,1
0.11512,0.036298,877.52,-5.0793,689.06,1
0.12173,0.033575,919.62,-5.0718,667.53,1
0.11918,0.028131,817.1,-5.1003,646,1
0.11716,0.03176,778.93,-5.1525,624.46,1
0.10439,0.048094,826.63,-5.2397,559.86,1
0.088837,0.054446,638.66,-5.3115,538.33,1
0.087058,0.046279,725.91,-5.3107,516.8,1
0.088011,0.045372,524.47,-5.3667,473.73,1
0.085764,0.048094,508.5,-5.3847,473.73,1
0.08929,0.050817,697.75,-5.3405,473.73,1
0.08861,0.048094,668.67,-5.279,473.73,1
0.086871,0.046279,782.59,-5.2778,473.73,1
0.086921,0.046279,580.91,-5.3258,689.06,1
0.077942,0.049002,528.14,-5.4076,452.2,1
0.071922,0.049002,449.27,-5.3371,689.06,1
0.071546,0.049002,401.8,-5.3485,710.6,1
0.08049,0.049909,507.72,-5.321,473.73,1
0.087282,0.040835,714.09,-5.1763,495.26,1
0.085735,0.040835,690.77,-5.2743,495.26,1
0.084314,0.046279,605.67,-5.2447,624.46,1
0.08438,0.03902,592.87,-5.2309,495.26,1
0.089093,0.041742,511.73,-5.439,516.8,1
0.087595,0.049909,671.62,-5.2949,516.8,1
0.085666,0.04265,504.03,-5.3431,516.8,1
0.080733,0.046279,565.52,-5.2544,538.33,1
0.079133,0.067151,495.8,-5.6047,538.33,1
0.089613,0.07804,818.56,-5.5023,538.33,1
0.099465,0.059891,709.29,-5.4989,559.86,1
0.10708,0.048094,975.82,-5.3467,624.46,1
0.21538,0.039927,1678.2,-5.1996,495.26,1
0.35677,0.024501,3395.4,-4.7946,538.33,1
0.41911,0.024501,3589.3,-4.6704,538.33,1
0.4034,0.024501,2671,-4.9431,516.8,1
0.43792,0.026316,3927.7,-4.8174,538.33,1
0.52483,0.03176,4678.4,-4.8244,581.4,1
0.61714,0.030853,7068.7,-4.7798,581.4,1
0.65645,0.028131,6653.5,-4.3392,581.4,1
0.63438,0.026316,6344.2,-4.5859,581.4,1
0.59035,0.024501,5997.3,-4.5911,559.86,1
0.53063,0.023593,4842.1,-4.6322,559.86,1
0.44252,0.023593,4260.3,-4.7246,538.33,1
0.34434,0.023593,3282.2,-4.9746,538.33,1
0.31922,0.022686,2432.4,-4.9337,516.8,1
0.29108,0.021779,2522,-4.8524,516.8,1
0.23984,0.027223,2120.1,-5.1311,495.26,1
0.20543,0.033575,1698.7,-5.231,495.26,1
0.1934,0.040835,1959.7,-5.1026,473.73,1
0.18219,0.049909,1863.9,-5.2762,473.73,1
0.17371,0.049002,1697.2,-5.2897,473.73,1
0.18705,0.039927,1680.8,-5.0776,473.73,1
0.18962,0.038113,1576.9,-4.9389,473.73,1
0.1865,0.041742,1610.1,-4.9784,473.73,1
0.18928,0.03539,1788.1,-4.9021,473.73,1
0.18775,0.032668,1511,-4.9058,473.73,1
0.18536,0.033575,1540.6,-4.8555,452.2,1
0.17998,0.040835,1705.8,-5.0393,452.2,1
0.15683,0.065336,1346,-5.29,452.2,1
0.15569,0.060799,1518,-5.2214,452.2,1
0.17575,0.03902,1648.3,-5.1782,452.2,1
0.17516,0.034483,1580.4,-4.9842,452.2,1
0.17117,0.043557,1804.5,-5.0826,452.2,1
0.1778,0.047187,1833.1,-5.1257,473.73,1
0.21199,0.038113,1921.5,-4.9226,473.73,1
0.25276,0.03176,2342.4,-4.667,473.73,1
0.26288,0.028131,2706.1,-4.7084,473.73,1
0.23088,0.046279,2268.5,-4.9186,473.73,1
0.19053,0.058984,1680.4,-5.1773,495.26,1
0.20923,0.048094,2139.9,-5.124,495.26,1
0.21764,0.050817,2151,-5.1828,495.26,1
0.22179,0.051724,2366.5,-5.1356,495.26,1
0.22803,0.044465,2493.2,-5.0591,495.26,1
0.21269,0.043557,1970.6,-5.0632,495.26,1
0.22184,0.044465,2187.4,-4.8868,495.26,1
0.25026,0.04265,2486.8,-5.0988,516.8,1
0.28933,0.038113,3070.2,-4.976,516.8,1
0.31965,0.037205,3178.9,-4.9232,516.8,1
0.3313,0.033575,3876.2,-5.1666,516.8,1
0.33596,0.03539,3924.9,-5.2599,516.8,1
0.34846,0.03539,3972.6,-5.1494,516.8,1
0.36663,0.028131,4270.7,-5.1305,516.8,1
0.36761,0.03176,3993.3,-5.1736,516.8,1
0.37144,0.037205,4907.1,-5.1474,516.8,1
0.39256,0.03176,4509.9,-5.1361,516.8,1
0.38353,0.025408,3982.8,-5.071,516.8,1
0.36551,0.028131,3776.8,-5.057,516.8,1
0.37154,0.025408,3537.2,-4.9813,516.8,1
0.35231,0.023593,3216.4,-4.891,495.26,1
0.3216,0.025408,2840,-4.8175,495.26,1
0.32724,0.024501,2975.9,-4.8121,495.26,1
0.39859,0.022686,3089.4,-4.7311,495.26,1
0.47213,0.021779,4043.9,-4.3274,495.26,1
0.50607,0.021779,4108.9,-4.2405,495.26,1
0.51667,0.020871,4853.5,-4.5075,495.26,1
0.49978,0.020871,4288.3,-4.3594,495.26,1
0.46064,0.019964,4019.4,-4.4489,473.73,1
0.37351,0.019964,3182.9,-4.5192,473.73,1
0.27884,0.019964,1925.3,-4.5393,452.2,1
0.21642,0.052632,2283.2,-5.2095,430.66,1
0.14654,0.072595,1600.4,-5.4831,990.53,1
0.1153,0.063521,1277.5,-5.4563,1012.1,1
0.092104,0.069873,908.79,-5.4931,409.13,1
0.080097,0.059891,722.45,-5.4617,452.2,0
0.094141,0.072595,753.43,-5.8297,882.86,0
0.094217,0.093466,1163.8,-5.6927,430.66,0
0.081864,0.087114,633.26,-5.7087,1270.5,0
0.070088,0.090744,481.76,-5.7363,581.4,0
0.064001,0.092559,343.83,-5.808,301.46,0
0.056938,0.096189,350.94,-5.7294,947.46,0
0.052343,0.098911,193.61,-5.8178,516.8,0
0.056065,0.089837,279.49,-5.676,990.53,0
