@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
978.5,-5.2719,430.66,386.13,0.6238,68.094,1
940.24,-5.3235,409.13,352.75,0.040326,66.37,1
713.82,-5.2725,409.13,227.4,0.48894,265.48,1
795.36,-5.2328,753.66,192.05,0.3059,348.88,1
806.56,-5.2367,732.13,182.03,0.63408,153.78,1
877.52,-5.0793,689.06,222.72,0.64716,149.19,1
919.62,-5.0718,667.53,166.69,0.23063,119.89,1
817.1,-5.1003,646,239.75,0.45362,117.94,1
778.93,-5.1525,624.46,60.924,0.59942,163.99,1
826.63,-5.2397,559.86,240.78,0.6453,155.28,1
638.66,-5.3115,538.33,179.34,0.4341,107.67,1
725.91,-5.3107,516.8,203.58,0.38306,129.2,1
524.47,-5.3667,473.73,238.77,0.44558,101,1
508.5,-5.3847,473.73,209.89,0.26554,0,1
697.75,-5.3405,473.73,236.39,0.53123,0,1
668.67,-5.279,473.73,168.42,0.40702,0,1
782.59,-5.2778,473.73,185.31,0.35154,225.84,1
580.91,-5.3258,689.06,271.85,0.58787,86.133,1
528.14,-5.4076,452.2,186.45,0.17449,0,1
449.27,-5.3371,689.06,168.47,0.39715,298.37,1
401.8,-5.3485,710.6,108.36,0.20752,276.6,1
507.72,-5.321,473.73,281.56,0.67669,225.84,1
714.09,-5.1763,495.26,255.66,0.3478,73.023,1
690.77,-5.2743,495.26,193.51,0.4246,178.87,1
605.67,-5.2447,624.46,172.19,0.33721,0,1
592.87,-5.2309,495.26,166.88,0.71292,163.28,1
511.73,-5.439,516.8,141.95,0.41719,74.593,1
671.62,-5.2949,516.8,50.839,0.50382,0,1
504.03,-5.3431,516.8,163.53,0.32902,74.593,1
565.52,-5.2544,538.33,48.247,0.82897,76.131,1
495.8,-5.6047,538.33,250.46,0.83347,0,1
818.56,-5.5023,538.33,295.6,0.53949,76.131,1
709.29,-5.4989,559.86,236.16,0.6539,155.28,1
975.82,-5.3467,624.46,687.55,0.89455,142.02,1
1678.2,-5.1996,495.26,1424.9,1.1981,146.05,1
3395.4,-4.7946,538.33,1801.2,1.1263,107.67,1
3589.3,-4.6704,538.33,1140.2,0.58877,76.131,1
2671,-4.9431,516.8,672.27,0.60263,0,1
3927.7,-4.8174,538.33,1985.5,0.53473,131.86,1
4678.4,-4.8244,581.4,2710.6,0.30112,111.89,1
7068.7,-4.7798,581.4,2642.1,1.0768,0,1
6653.5,-4.3392,581.4,1552.4,0.64864,0,1
6344.2,-4.5859,581.4,1442.7,0.75992,79.118,1
5997.3,-4.5911,559.86,2122.4,0.32611,77.639,1
