@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE cepstralMostDominantPeak_delta REAL
@ATTRIBUTE cepstralNumPeaks_delta REAL
@ATTRIBUTE cepstralLocFirstPeak_delta REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.21906,0.046279,2446.2,-5.109,473.73,0.088165,2,4,1.0209,8,0.062904,0.0079369,538.34,0.38983,71.418,0.015538,1,0,0.30591,2,1
0.20799,0.041742,2347.5,-4.9683,452.2,0.061685,2,4,1.0559,8,0.044141,0.011514,589.76,0.53278,69.776,0.030316,1,0,0.29662,2.8284,1
0.20032,0.052632,2149.9,-4.9948,452.2,0.058366,3,4,1.1875,10,0.052837,0.027208,611.52,0.55881,0,0.0098134,1.7321,0,0.12979,8.9443,1
0.18012,0.069873,1999.6,-5.0933,452.2,0.058386,4,4,1.0275,24,0.056024,0.025802,804.13,0.81919,0,0.01025,0,0,0.2249,13.856,1
0.16547,0.071688,1503.1,-5.2583,452.2,0.061965,3,4,1.0891,26,0.047705,0.0080655,679.68,0.50624,0,0.010933,1.2247,0,0.18486,23.917,1
0.15261,0.071688,1384.9,-5.1908,452.2,0.054527,3,4,0.96478,68,0.034367,0.012753,263.02,0.60525,0,0.014303,1.2247,0,0.1956,43.635,1
0.15,0.076225,1603,-5.1171,452.2,0.054462,4,4,1.0098,82,0.026128,0.0058809,199.47,0.27577,0,0.0064926,1.4142,0,0.27052,23.087,1
0.16171,0.072595,1434.6,-5.1611,452.2,0.056075,4,4,1.1097,55,0.029755,0.016233,256.55,0.26209,0,0.016842,0,0,0.35901,30.578,1
0.16095,0.068966,1694.8,-5.1437,452.2,0.064579,4,4,1.242,48,0.010786,0.0148,297.66,0.20192,0,0.013434,1.4142,0,0.16713,26.833,1
0.16027,0.066243,1539.1,-5.1452,452.2,0.061665,3,4,1.0647,25,0.038351,0.025123,110.88,0.38867,0,0.017467,0,0,0.17582,22.079,1
