@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.04353,0.022686,0.0061404,34,0
0.054909,0.032668,0.013483,116,0
0.046977,0.046279,0.014841,67,0
0.036123,0.04265,0.0031907,58,0
0.054648,0.033575,0.014473,21,0
0.062317,0.027223,0.0057208,141,0
0.041469,0.03539,0.0037349,59,0
0.018845,0.049002,0.0025018,111,0
0.020315,0.038113,0.003018,143,0
0.0096372,0.034483,0.0066838,62,0
0.0033917,0.052632,0.0066547,143,0
0.01862,0.050817,0.015508,24,0
0.029447,0.033575,0.0040097,55,0
0.076667,0.025408,0.0046985,42,0
0.10074,0.019964,0.013277,136,0
0.066639,0.024501,0.0048795,124,0
0.02528,0.052632,0.0077542,29,0
0.01964,0.077132,0.0088524,59,0
0.023686,0.082577,0.013047,71,0
0.020417,0.079855,0.013501,55,0
0.014672,0.10889,0.017224,23,0
0.015173,0.14156,0.016169,35,0
0.022841,0.11978,0.026971,70,0
0.026955,0.11252,0.021067,55,0
0.036091,0.10617,0.015926,40,0
0.039169,0.082577,0.012382,10,0
0.028627,0.071688,0.019178,41,0
0.024312,0.072595,0.018906,79,0
0.025284,0.07078,0.0045006,40,0
0.020779,0.058984,0.0092936,47,0
0.021398,0.053539,0.0067627,29,0
0.031255,0.049909,0.009208,40,0
0.029428,0.049002,0.0030513,30,0
0.024537,0.041742,0.0038621,100,0
0.035242,0.041742,0,130,0
0.03888,0.044465,0.013492,45,0
0.04901,0.033575,0.0038257,43,0
0.1168,0.023593,0.007304,39,0
0.2074,0.021779,0.0061913,48,0
0.19352,0.022686,0.013372,134,0
0.10221,0.023593,0.007027,31,0
0.087276,0.024501,0.006522,28,0
0.087755,0.025408,0.0033413,47,0
0.07585,0.022686,0.0089712,36,0
0.048271,0.024501,0,42,0
0.06078,0.024501,0.0026905,30,0
0.069769,0.021779,0.01336,14,0
0.062133,0.023593,0.0075912,161,0
0.077845,0.033575,0.013595,59,0
0.065701,0.054446,0.015452,52,0
0.05364,0.063521,0.012251,37,0
0.056743,0.063521,0.012512,42,0
0.045105,0.064428,0.016339,41,0
0.029297,0.084392,0.01351,55,0
0.029768,0.091652,0.015735,35,0
0.0328,0.088929,0.016837,34,0
0.046146,0.072595,0.013818,45,1
0.068615,0.040835,0.01463,26,1
0.069809,0.038113,0.015464,64,1
0.06768,0.033575,0.018272,84,1
0.072195,0.034483,0.015394,25,1
0.068106,0.046279,0.0089918,88,1
0.076696,0.040835,0.020287,70,1
0.066247,0.038113,0.014334,51,1
0.037877,0.045372,0.027183,50,1
0.031462,0.043557,0.0087672,46,1
0.055677,0.03176,0.022497,40,1
0.078533,0.024501,0.013499,37,1
0.067667,0.029038,0.01331,28,1
0.042631,0.040835,0.012824,77,1
0.020768,0.058984,0.010742,14,1
0.013562,0.065336,0.015102,29,1
0.019793,0.064428,0.0063461,28,1
