@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
789.51,4.9442,344.53,0.9795,5,1
1275,5.0767,344.53,0.86598,7,1
1300.7,5.1108,323,0.72455,8,1
948.65,5.0671,323,0.77858,5,1
1080,5.0171,667.53,0.79076,4,1
1083.3,5.0253,646,0.85462,3,1
1176.9,4.8547,602.93,0.88816,3,1
1187.4,4.838,581.4,0.89603,3,1
990.73,4.8853,559.86,1.0937,3,1
997.3,4.8988,538.33,1.0125,2,1
1112.8,4.9785,473.73,0.61184,2,1
886.63,5.0452,452.2,0.69963,3,1
1053.7,5.0274,430.66,0.55728,2,1
774.78,5.1032,387.6,0.60353,3,1
785.87,5.1015,387.6,0.53195,4,1
1048.5,5.0762,387.6,0.51558,3,1
996.83,5.0259,387.6,0.5687,2,1
1077.1,5.0392,602.93,0.4152,5,1
855.06,5.0568,387.6,0.27707,4,1
823.73,5.1259,366.06,0.27399,5,1
636.09,5.0636,602.93,0.46052,4,1
610.16,5.0739,624.46,0.64839,3,1
740.58,5.058,387.6,0.30583,5,1
1057.4,4.8867,409.13,0.58534,2,1
973.68,5.0061,538.33,0.25928,6,1
828.04,4.9732,538.33,0.43993,4,1
821.87,4.9377,409.13,0.64102,5,1
714.53,5.1621,430.66,0.69868,4,1
975.92,5.0113,430.66,0.82349,2,1
719.65,5.0985,430.66,0.74272,3,1
799.11,4.9734,452.2,0.8633,3,1
770.26,5.3146,452.2,0.55574,6,1
1218.6,5.2457,430.66,0.66766,5,1
1015.7,5.2266,473.73,0.46852,5,1
1284.7,5.1065,559.86,0.27374,5,1
1925,4.9715,387.6,1.0601,2,1
3658.7,4.4892,452.2,1.4493,2,1
3722.8,4.2431,430.66,1.587,2,1
2911.4,4.3315,409.13,1.4949,2,1
4077.8,4.2428,430.66,1.3489,2,1
4670.4,4.4053,473.73,1.4628,2,1
6804.6,4.4445,473.73,1.5105,2,1
6356.7,4.044,473.73,1.5752,2,1
6245.3,4.3544,473.73,1.4791,2,1
6074.2,4.3802,452.2,1.4914,2,1
4948.3,4.3291,452.2,1.4985,2,1
4469.3,4.4276,430.66,1.4567,2,1
3647.9,4.7228,430.66,1.387,2,1
2770,4.6383,409.13,1.447,2,1
2963.5,4.6091,409.13,1.5314,2,1
2568.8,4.8706,387.6,1.4498,2,1
2132.7,5.0141,366.06,1.3013,2,1
2409.7,4.8976,366.06,1.3235,2,1
2326,5.0636,366.06,1.1457,3,1
2173.2,5.0612,366.06,1.0124,5,1
2049.3,4.8763,366.06,1.2228,4,1
1857,4.7648,366.06,1.3763,3,1
1908.1,4.802,366.06,1.3865,2,1
2090.9,4.7137,366.06,1.4217,2,1
1748.5,4.6843,366.06,1.4531,4,1
1804.1,4.61,344.53,1.4695,5,1
2103.4,4.8287,344.53,1.3543,2,1
1674.7,5.0242,344.53,1.0939,8,1
1896.8,4.9632,344.53,1.0068,8,1
