@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
659.02,5.3781,236.87,0
690.35,5.4564,258.4,0
599.57,5.3433,258.4,0
360.53,5.3803,258.4,0
496.19,5.2672,236.87,0
868.53,4.9107,344.53,0
994.22,4.5631,366.06,0
1068.4,4.6665,366.06,0
700.17,5.0438,366.06,0
779.91,5.0228,366.06,0
926,4.8422,387.6,0
746.19,4.9189,366.06,0
686.4,4.9504,344.53,0
589.31,4.9271,366.06,0
759.71,4.7582,366.06,0
944.19,4.7515,366.06,0
697.39,4.9351,366.06,0
516.24,5.0106,366.06,0
621.11,4.8407,366.06,0
558.8,4.9608,344.53,0
591.32,4.8869,366.06,0
881.05,4.7849,344.53,0
983.5,4.8372,344.53,0
1128.4,4.6326,366.06,0
825.57,4.7643,366.06,0
796.7,4.6842,344.53,0
893.36,4.6351,344.53,0
612.72,4.7615,129.2,0
476.45,4.8487,129.2,0
273.01,4.7543,150.73,0
211,4.958,323,0
225.7,4.9551,366.06,0
219.08,4.9672,150.73,0
47.604,5.1205,129.2,0
72.427,5.0775,150.73,0
111.83,4.9247,387.6,0
94.2,5.0038,344.53,0
277.8,4.808,366.06,0
344.41,4.7068,387.6,0
237.3,4.8498,344.53,0
203.07,4.9739,366.06,0
373.73,4.7751,366.06,0
539.01,4.6844,473.73,0
230.22,4.9762,150.73,0
493.63,4.73,452.2,0
247.78,4.8972,947.46,0
582.99,4.7554,193.8,0
280.83,4.8898,1055.1,0
402.67,4.8752,968.99,0
286.16,4.8645,150.73,0
377.64,4.8029,366.06,0
555.9,4.7572,366.06,0
453.89,4.7871,495.26,0
589.78,4.7785,366.06,0
634.06,4.7553,344.53,0
501.13,4.7073,301.46,0
307.17,4.8701,301.46,0
330.33,4.8843,344.53,0
191.9,4.9652,344.53,0
332.76,4.7386,301.46,0
575.14,4.9054,301.46,0
633.57,4.9797,301.46,0
350.9,4.9055,323,0
508.84,4.5765,409.13,0
617.47,4.5902,387.6,0
294.72,4.7054,150.73,0
171.51,4.9146,129.2,0
188.55,4.8299,150.73,0
36.87,4.9632,344.53,0
33.642,5.1644,1076.7,0
198.49,4.9865,344.53,0
328.26,4.8286,172.27,0
524.72,4.6109,387.6,0
1129.6,4.2375,409.13,0
352.79,4.8341,150.73,0
213.03,5.1123,172.27,0
243.13,5.2996,344.53,0
340.66,5.188,215.33,0
79.868,5.3672,344.53,0
178.87,5.3724,409.13,0
170.26,5.4016,387.6,0
178.55,5.3849,344.53,0
164.72,5.4251,366.06,0
362.8,5.2019,366.06,0
268.6,5.217,150.73,0
293.66,5.1859,366.06,0
196.38,5.2997,344.53,0
288.25,5.1766,344.53,0
239.31,5.0808,323,0
83.525,5.1781,344.53,0
406.15,4.8729,387.6,0
349.93,4.9261,409.13,0
218.08,4.9658,559.86,0
492.24,4.7886,323,0
452.36,4.7362,323,0
458.27,4.6944,366.06,0
1077.1,4.3876,409.13,0
2513.2,3.9899,387.6,0
1965,3.9946,387.6,0
1083.6,4.3704,366.06,0
957.9,4.2644,366.06,0
881.46,4.3764,387.6,0
894.94,4.3327,387.6,0
265.41,4.6385,172.27,0
620.84,4.4738,129.2,0
763.9,4.6971,387.6,0
632.74,4.6308,366.06,0
1010.2,4.9083,366.06,0
738.88,5.0169,344.53,0
747.78,5.0125,150.73,0
701.64,5.1367,150.73,0
592.5,5.0757,129.2,0
200.26,5.374,344.53,0
385.46,5.2006,301.46,0
357.97,5.184,366.06,0
484.74,5.0074,279.93,1
671.39,4.8514,301.46,1
652.37,4.8551,279.93,1
850.64,4.7421,301.46,1
967.92,4.7484,301.46,1
772.69,4.7686,732.13,1
930.88,4.6385,581.4,1
735.48,4.713,538.33,1
366.52,4.8437,129.2,1
403.95,5.01,129.2,1
579.05,4.6601,387.6,1
608.39,4.5311,409.13,1
642.05,4.5832,430.66,1
342.11,4.9608,409.13,1
242.77,5.1601,323,1
134.22,5.2087,215.33,1
212.43,5.0718,129.2,1
252.23,4.9939,129.2,1
52.867,5.0996,129.2,1
128.65,5.1314,473.73,1
184.23,4.9648,323,1
189.89,4.92,430.66,1
799.18,4.4961,150.73,1
491.75,4.6328,559.86,0
519.33,4.5866,559.86,0
846.63,4.3421,516.8,0
993.9,4.39,559.86,0
900.33,4.3709,323,0
714.83,4.4645,323,0
459.95,4.6871,366.06,0
