@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
14.78,43.066,0
3.3702,64.6,0
63.535,21.533,0
16.63,21.533,0
19.119,64.6,0
5.868,64.6,0
84.547,21.533,0
78.714,43.066,0
265.62,64.6,0
194.63,64.6,0
196.06,21.533,0
309.95,21.533,0
258.32,64.6,0
229.84,43.066,0
199.6,21.533,0
234.84,43.066,0
125.76,64.6,0
65.8,43.066,0
13.25,21.533,0
28.749,21.533,0
14.23,64.6,0
19.63,21.533,0
19.724,43.066,0
47.468,43.066,0
4.6477,21.533,0
18.811,86.133,0
77.27,21.533,0
20.628,86.133,0
39.673,64.6,0
1.2768,21.533,0
128.13,43.066,0
16.824,172.27,0
64.328,64.6,0
16.756,21.533,0
21.316,64.6,0
14.366,64.6,0
61.837,21.533,0
16.234,172.27,0
52.834,21.533,0
11.646,64.6,0
212.65,21.533,0
36.97,64.6,0
10.053,64.6,0
12.276,43.066,0
72.77,43.066,0
29.463,21.533,0
30.532,64.6,0
96.149,64.6,0
7.2222,21.533,0
23.711,64.6,0
8.6259,64.6,0
39.723,64.6,0
53.528,21.533,0
22.684,43.066,0
148.32,64.6,0
2.6965,43.066,0
122.41,21.533,0
14.645,64.6,0
20.027,64.6,0
156.77,21.533,0
32.257,21.533,0
71.579,64.6,0
9.5178,64.6,0
8.0997,21.533,0
3.5274,64.6,0
37.032,43.066,0
7.9279,64.6,0
10.251,64.6,0
8.6875,21.533,0
25.104,43.066,0
15.837,43.066,0
5.8181,21.533,0
9.1926,43.066,0
35.597,64.6,0
6.8363,21.533,0
34.324,43.066,0
17.389,64.6,0
16.547,64.6,0
5.0062,21.533,0
11.287,21.533,0
44.608,64.6,0
12.009,43.066,0
2.3708,43.066,0
49.707,21.533,0
69.371,64.6,0
24.212,64.6,0
8.3292,43.066,0
0.2115,21.533,0
71.173,64.6,0
16.181,43.066,0
27.101,21.533,0
6.9008,43.066,0
4.3212,64.6,0
19.147,64.6,0
19.286,21.533,0
0.87461,43.066,0
30.012,64.6,0
23.868,43.066,0
34.689,21.533,0
34.005,43.066,0
87.85,64.6,0
37.738,64.6,0
39.376,21.533,0
24.682,43.066,0
32.395,43.066,0
27.279,21.533,0
5.6028,43.066,0
3.5563,64.6,0
43.484,43.066,0
87.981,43.066,0
36.231,21.533,0
31.53,64.6,0
56.148,43.066,0
11.105,21.533,0
35.654,43.066,0
13.886,64.6,0
0,43.066,0
9.6656,21.533,0
10.369,64.6,0
60.044,64.6,0
44.238,21.533,0
109.98,43.066,1
498.95,64.6,1
419.94,64.6,1
391.78,21.533,1
928.48,43.066,1
1106.7,64.6,1
722.94,64.6,1
786.43,21.533,1
785.46,452.2,1
926.46,452.2,1
969.6,452.2,1
898.74,21.533,1
781.39,21.533,1
747.99,64.6,1
668.9,64.6,1
562.43,21.533,1
495.9,43.066,1
508.1,64.6,1
473.19,64.6,1
428.9,21.533,1
528.92,64.6,1
504.51,64.6,1
591.82,21.533,1
550.5,21.533,1
525.3,64.6,1
357.1,64.6,1
408.09,21.533,1
294.75,21.533,1
258.28,64.6,1
287.09,43.066,1
252.1,43.066,1
439.48,43.066,1
436.7,64.6,1
263.99,43.066,1
364.91,21.533,1
254.62,43.066,1
297.65,64.6,1
278.96,21.533,1
384.65,64.6,1
373.46,64.6,1
