@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0097021,0.0090391,120,113,0
0.010729,0.010066,38,31,0
0.012497,0.011834,55,48,0
0.01236,0.011697,82,75,0
0.010309,0.0096458,54,47,0
0.011816,0.011153,54,47,0
0.0093691,0.0087062,57,50,0
0.0080205,0.0073576,100,93,0
0.0055843,0.0049214,110,103,0
0.004232,0.0035691,40,33,0
0.0037782,0.0031153,52,45,0
0.0044531,0.0037902,51,44,0
0.003054,0.0023911,53,46,0
0.0029866,0.0023237,51,44,0
0.0044767,0.0038138,52,45,0
0.010494,0.0098314,18,11,0
0.013976,0.013313,72,65,0
0.012426,0.011763,19,12,0
0.012081,0.011418,120,113,0
0.015167,0.014504,121,114,0
0.018132,0.017469,6,0,0
0.017599,0.016936,95,89,0
0.011569,0.010906,20,14,0
0.0081801,0.0075171,60,54,0
0.0052701,0.0046072,40,34,0
0.0043115,0.0036486,43,37,0
0.0020949,0.001432,160,154,0
0.0023001,0.0016372,43,37,0
0.0033779,0.002715,79,73,0
0.0025551,0.0018922,127,121,0
0.017645,0.016982,82,76,1
0.032325,0.031662,111,105,1
0.060562,0.0599,123,117,1
0.04315,0.042487,108,102,1
0.046361,0.045698,88,82,1
0.047623,0.04696,65,59,1
0.075471,0.074808,59,53,1
0.10072,0.10006,53,47,1
0.10214,0.10148,50,44,1
0.095733,0.09507,49,43,1
0.098613,0.09795,49,43,1
0.098951,0.098288,49,43,1
0.10526,0.1046,50,44,1
0.10059,0.099923,52,46,1
0.10098,0.10031,53,47,1
0.088955,0.088292,57,51,1
0.092101,0.091438,60,54,1
0.087283,0.08662,64,58,1
0.085024,0.084362,69,63,1
0.077359,0.076696,72,66,1
0.076585,0.075922,78,72,1
0.076085,0.075422,85,79,1
0.078603,0.07794,88,82,1
0.052956,0.052294,98,92,1
0.054415,0.053752,109,103,1
0.044448,0.043786,122,116,1
0.056596,0.055933,130,124,1
0.055392,0.054729,141,135,1
0.062906,0.062243,142,136,1
0.056453,0.05579,144,138,1
0.048973,0.04831,140,134,1
0.020853,0.02019,52,46,1
0.026944,0.026281,145,139,1
0.047087,0.046424,145,139,1
0.047673,0.04701,141,135,1
0.058909,0.058246,136,130,1
0.063903,0.06324,135,129,1
0.069316,0.068653,134,128,1
0.064541,0.063878,134,128,1
0.066307,0.065644,130,124,1
0.079049,0.078386,127,121,1
0.072415,0.071752,125,119,1
0.068207,0.067544,124,118,1
0.078116,0.077453,121,115,1
0.074289,0.073626,120,114,1
0.06648,0.065817,116,110,1
0.075581,0.074919,119,113,1
0.031954,0.031291,111,105,1
0.030536,0.029873,74,68,1
