@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2828.6,2790.3,4.3428,1.2616,495.26,409.13,1.5204,1.4376,2,22,1
2764.6,2726.3,4.3345,1.2699,473.73,387.6,1.505,1.4222,2,22,1
2578.2,2539.9,4.1917,1.4127,473.73,387.6,1.5193,1.4365,2,22,1
2525.1,2486.8,4.1652,1.4393,473.73,387.6,1.502,1.4192,2,22,1
2523.8,2485.5,4.325,1.2795,473.73,387.6,1.4488,1.366,2,22,1
2587.2,2548.9,4.4136,1.1908,473.73,387.6,1.3631,1.2803,3,21,1
2608.4,2570.1,4.411,1.1934,473.73,387.6,1.3068,1.224,5,19,1
2346.9,2308.7,4.1003,1.5041,473.73,387.6,1.2969,1.2141,5,19,1
2353,2314.8,4.2374,1.367,452.2,366.06,1.2975,1.2147,5,19,1
2203.5,2165.2,4.3355,1.2689,452.2,366.06,1.2862,1.2035,5,19,1
2034.4,1996.1,4.3068,1.2977,452.2,366.06,1.2461,1.1633,5,19,1
2063.8,2025.5,4.2084,1.396,430.66,344.53,1.283,1.2002,4,20,1
1859.5,1821.3,4.4652,1.1393,430.66,344.53,1.2351,1.1523,4,20,1
1898,1859.7,4.3652,1.2393,796.73,710.6,1.3359,1.2532,3,21,1
2037.9,1999.6,4.32,1.2844,753.66,667.53,1.4526,1.3698,3,21,1
2146.6,2108.4,4.2261,1.3783,732.13,646,1.5509,1.4681,3,21,1
1933.3,1895,4.3082,1.2963,710.6,624.46,1.4876,1.4048,3,21,1
1187.9,1149.7,4.3928,1.2116,689.06,602.93,1.4817,1.3989,3,21,1
1048.8,1010.5,4.4876,1.1169,689.06,602.93,1.4242,1.3414,3,21,1
1022,983.71,4.5219,1.0826,732.13,646,1.3886,1.3058,3,21,1
659.38,621.11,4.6122,0.99221,387.6,301.46,1.0132,0.93037,3,21,1
818.35,780.08,4.7145,0.88995,732.13,646,0.41867,0.33588,3,21,1
1021.4,983.14,4.6123,0.99218,732.13,646,0.57269,0.4899,3,21,1
966.49,928.22,4.5398,1.0647,689.06,602.93,0.52781,0.44503,3,21,1
584.48,546.2,4.5428,1.0616,430.66,344.53,0.49905,0.41626,3,21,1
1154.4,1116.1,4.3201,1.2844,710.6,624.46,0.78661,0.70382,3,21,1
983.25,944.98,4.293,1.3114,710.6,624.46,0.5668,0.48402,3,21,1
718.3,680.03,4.3291,1.2753,452.2,366.06,0.65086,0.56808,3,21,1
937.52,899.25,4.1903,1.4141,538.33,452.2,0.80738,0.7246,2,22,1
750.76,712.49,3.9878,1.6166,495.26,409.13,1.1338,1.051,2,22,1
640.72,602.45,3.8042,1.8002,495.26,409.13,1.5058,1.423,2,22,1
299.65,261.37,3.604,2.0005,495.26,409.13,1.6389,1.5561,2,22,1
23.064,0,4.6371,0.96739,473.73,387.6,1.0455,0.96268,2,22,1
10.189,0,4.4872,1.1172,409.13,323,1.3359,1.2531,2,22,1
21.964,11.775,4.5071,1.0974,430.66,344.53,1.4705,1.3877,2,22,1
