@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2472.2,2226.3,4.4681,0.75519,473.73,344.53,1.5186,1.4719,2,12,1
2319.5,2073.7,4.3517,0.87155,473.73,344.53,1.6073,1.5606,2,12,1
2403.1,2157.3,4.3226,0.90063,473.73,344.53,1.6057,1.559,2,12,1
2438.9,2193,4.4203,0.80296,495.26,366.06,1.5387,1.492,2,12,1
2553.8,2308,4.4337,0.78953,495.26,366.06,1.4964,1.4498,2,12,1
2738.1,2492.3,4.4375,0.7858,495.26,366.06,1.5027,1.4561,2,12,1
2944.9,2699.1,4.4177,0.80552,495.26,366.06,1.478,1.4314,2,12,1
2991.9,2746,4.5918,0.63144,495.26,366.06,1.4714,1.4248,2,12,1
2565.2,2319.3,4.6309,0.59231,495.26,366.06,1.3165,1.2699,2,12,1
2930.2,2684.3,4.62,0.60322,495.26,366.06,1.3758,1.3291,2,12,1
2900.1,2654.2,4.6345,0.58877,495.26,366.06,1.37,1.3234,2,12,1
2960,2714.1,4.6689,0.55436,495.26,366.06,1.3264,1.2797,2,12,1
3138.6,2892.7,4.6196,0.60365,473.73,344.53,1.4111,1.3644,2,12,1
3216,2970.1,4.5457,0.67751,473.73,344.53,1.469,1.4223,2,12,1
2846.5,2600.7,4.6169,0.60635,473.73,344.53,1.4293,1.3827,2,12,1
2780.1,2534.3,4.5855,0.63776,473.73,344.53,1.4329,1.3862,2,12,1
2682.5,2436.6,4.6408,0.58248,473.73,344.53,1.2337,1.187,2,12,1
4165,3919.1,4.9343,0.28898,452.2,323,0.73738,0.6907,2,12,1
6170.4,5924.5,4.8411,0.38218,473.73,344.53,0.47615,0.42947,3,11,1
4878.6,4632.8,4.8481,0.37514,452.2,323,0.84782,0.80114,2,12,1
8303.6,8057.8,4.821,0.40225,452.2,323,0.89758,0.8509,2,12,1
7573.8,7327.9,4.8637,0.35956,258.4,129.2,0.28174,0.23506,4,10,1
7815.9,7570,4.7009,0.52235,430.66,301.46,0.25338,0.20669,4,10,1
7006.6,6760.7,4.6821,0.54116,258.4,129.2,0.11352,0.066843,2,12,1
6432,6186.1,4.6904,0.53282,258.4,129.2,0.48937,0.44269,1,13,1
6096.2,5850.3,4.6031,0.62012,301.46,172.27,0.40741,0.36073,3,11,1
4894,4648.1,4.7373,0.48591,732.13,602.93,0.35441,0.30773,3,11,1
5070.3,4824.4,4.616,0.60729,430.66,301.46,0.5855,0.53882,2,12,1
4226.3,3980.4,4.4982,0.7251,430.66,301.46,0.78445,0.73777,2,12,1
3879.2,3633.3,5.012,0.21129,107.67,0,0.2439,0.19722,5,9,1
4079.6,3833.7,5.0898,0.13342,107.67,0,0.25236,0.20568,8,6,1
2377.8,2131.9,4.9735,0.24974,86.133,0,0.21047,0.16379,5,9,1
2668.9,2423,4.7737,0.44952,86.133,0,0.1135,0.066819,5,9,1
2268.4,2022.5,4.674,0.54928,107.67,21.533,0.14189,0.095208,1,13,1
1749.8,1503.9,4.8352,0.38801,107.67,21.533,0.09136,0.044678,6,8,1
1805.5,1559.6,4.6311,0.59219,279.93,193.8,0.1475,0.10082,5,9,1
1976.2,1730.3,4.6244,0.59888,710.6,624.46,0.34301,0.29633,3,11,1
2352.1,2106.2,4.7526,0.47064,107.67,21.533,0.1016,0.054919,3,11,1
2412.7,2166.9,5.1618,0.061493,107.67,21.533,0.2731,0.22642,8,6,1
4173.9,3928,5.3954,0,344.53,258.4,0.34397,0.29729,10,4,1
2843.7,2597.8,5.2084,0.18695,366.06,279.93,0.49771,0.45103,3,11,1
2659,2413.1,5.0989,0.29651,344.53,258.4,0.62844,0.58176,2,12,1
2232.7,1986.8,4.9352,0.46018,344.53,258.4,0.85266,0.80597,1,13,1
2050.7,1804.8,4.9115,0.48387,344.53,258.4,0.85817,0.81149,1,13,1
1169.2,923.3,5.0569,0.33854,366.06,279.93,0.47974,0.43306,6,8,1
662.43,416.55,5.2012,0.19419,646,559.86,0.18673,0.14005,8,6,1
1152.1,906.18,4.9446,0.4508,279.93,193.8,0.25973,0.21305,6,8,1
700.1,454.22,4.91,0.48544,107.67,21.533,0.16867,0.12199,4,10,1
708.6,462.72,4.9182,0.47719,258.4,172.27,0.16793,0.12125,4,10,1
589.39,343.51,4.9199,0.47553,258.4,172.27,0.32632,0.27964,2,12,0
396.82,150.94,5.0332,0.36223,366.06,279.93,0.24895,0.20227,5,9,0
