@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.060829,0.094374,0.03355,2,13,0
0.061837,0.077132,0.022408,1,12,0
0.057418,0.072595,0.037683,2,12,0
0.058965,0.067151,0.015939,2,11,0
0.092213,0.043557,0.0090113,0,0,0
0.11195,0.029038,0.0085796,0,0,0
0.10926,0.037205,0.023191,1,18,0
0.092945,0.044465,0.0091285,0,0,0
0.094124,0.040835,0.013121,2,16,0
0.10025,0.04265,0.0062513,0,0,0
0.088069,0.043557,0.012037,1,14,0
0.079941,0.048094,0.0033733,0,0,0
0.077412,0.049002,0.017622,1,14,0
0.097069,0.034483,0.0059735,0,0,0
0.10733,0.024501,0.017451,1,13,0
0.09202,0.030853,0.0084342,0,0,0
0.070976,0.044465,0.011437,1,11,0
0.075728,0.041742,0.013029,1,13,0
0.078464,0.036298,0.0051261,0,0,0
0.085242,0.032668,0.0089299,0,0,0
0.096071,0.030853,0.0074127,0,0,0
0.10244,0.028131,0.0066996,0,0,0
0.11176,0.028131,0.0084736,0,0,0
0.10675,0.024501,0.0071663,0,0,0
0.096271,0.029038,0.0030356,0,0,0
0.094254,0.038113,0.0078515,0,0,0
0.08713,0.028131,0.006821,0,0,0
0.069445,0.023593,0.008256,0,0,0
0.053427,0.032668,0.0047893,0,0,0
0.044722,0.03902,0.0089663,0,0,0
0.046093,0.033575,0.0054613,0,0,0
0.046593,0.037205,0.0036994,0,0,0
0.040653,0.047187,0.010807,1,12,0
0.039229,0.051724,0.022017,1,13,0
0.039953,0.051724,0.0084578,0,0,0
0.046137,0.041742,0.010566,1,13,0
0.052266,0.036298,0.0092263,0,0,0
0.053709,0.038113,0.010897,1,14,0
0.054578,0.045372,0.006641,0,0,0
0.051603,0.044465,0.013432,1,12,0
0.060994,0.034483,0.011281,1,13,0
0.061655,0.03539,0.0011869,0,0,0
0.054438,0.033575,0.0049002,0,0,0
0.055753,0.03539,0.0067808,0,0,0
0.060706,0.041742,0.0037195,0,0,0
0.059934,0.046279,0.0056327,0,0,0
0.051163,0.049002,0.00062948,0,0,0
0.052499,0.04265,0.0038626,0,0,0
0.059102,0.033575,0.00052344,0,0,0
0.063892,0.034483,0.00036303,0,0,0
0.065447,0.038113,0.0070979,0,0,0
0.062618,0.043557,0.0095523,0,0,0
0.068128,0.040835,0.0046019,0,0,0
0.079104,0.032668,0.011906,1,27,0
0.070644,0.040835,0.0080128,0,0,0
