@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.089871,0.016334,0
0.063161,0.029038,0
0.074724,0.013612,0
0.088067,0.013612,0
0.10546,0.016334,0
0.12326,0.0027223,0
0.10077,0.0090744,0
0.061783,0.010889,0
0.075948,0.0045372,0
0.10056,0.011797,0
0.097749,0.012704,0
0.090366,0.0045372,0
0.11303,0.0018149,0
0.12021,0.00090744,0
0.10021,0.0099819,0
0.070868,0.021779,0
0.057764,0.018149,0
0.083288,0.0063521,0
0.098936,0.0045372,0
0.086075,0.019964,0
0.07201,0.016334,0
0.097494,0.00090744,0
0.10684,0.0063521,0
0.097714,0.019964,0
0.085892,0.013612,0
0.09931,0.00090744,0
0.11382,0.0036298,0
0.090994,0.022686,0
0.068104,0.033575,0
0.077049,0.016334,0
0.082012,0.016334,0
0.069099,0.027223,0
0.072904,0.015426,0
0.11177,0.0027223,0
0.11899,0.0018149,0
0.0974,0.0036298,0
0.098783,0.0027223,0
0.10589,0.00090744,0
0.094975,0.0054446,0
0.074711,0.012704,0
0.07394,0.029038,0
0.088526,0.026316,0
0.1066,0.033575,0
0.11505,0.038113,0
0.10627,0.027223,0
0.082126,0.025408,0
0.079435,0.030853,0
0.093903,0.023593,0
0.089984,0.00090744,0
0.076842,0.0045372,0
0.071382,0.019964,0
0.097747,0.022686,0
0.093077,0.0099819,0
0.073199,0.0072595,0
0.11795,0.014519,1
0.13703,0.020871,1
0.11997,0.029946,1
0.11655,0.033575,1
0.16391,0.029946,1
0.18026,0.030853,1
0.15703,0.03176,1
0.1351,0.037205,1
0.14691,0.038113,1
0.16929,0.037205,1
0.16647,0.040835,1
0.15824,0.045372,1
0.14966,0.04265,1
0.15417,0.029946,1
0.14211,0.033575,1
0.11618,0.038113,1
0.11254,0.025408,1
0.1342,0.024501,1
0.13008,0.032668,1
0.11084,0.036298,1
0.12297,0.037205,1
0.13636,0.03539,1
0.13573,0.029946,1
0.13746,0.023593,1
0.124,0.025408,1
0.11478,0.026316,1
0.12426,0.021779,1
0.12145,0.014519,1
0.11148,0.013612,1
0.10088,0.022686,1
0.10803,0.021779,1
0.11188,0.019964,1
0.11093,0.021779,1
0.12379,0.019964,1
0.12235,0.019964,1
0.11476,0.029038,1
0.10595,0.048094,1
