@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2218.8,1972.9,4.4077,0.42263,473.73,344.53,0.10496,0.092319,44,30,1
2472.2,2226.3,4.4681,0.48301,473.73,344.53,0.12098,0.10834,43,29,1
2319.5,2073.7,4.3517,0.36666,473.73,344.53,0.10979,0.097147,43,29,1
2403.1,2157.3,4.3226,0.33758,473.73,344.53,0.11439,0.10175,42,28,1
2438.9,2193,4.4203,0.43525,495.26,366.06,0.098148,0.085509,41,27,1
2553.8,2308,4.4337,0.44867,495.26,366.06,0.086512,0.073873,41,27,1
2738.1,2492.3,4.4375,0.45241,495.26,366.06,0.098607,0.085968,40,26,1
2944.9,2699.1,4.4177,0.43269,495.26,366.06,0.10978,0.097142,40,26,1
2991.9,2746,4.5918,0.60677,495.26,366.06,0.086863,0.074224,41,27,1
2565.2,2319.3,4.6309,0.6459,495.26,366.06,0.079824,0.067185,42,28,1
2930.2,2684.3,4.62,0.63499,495.26,366.06,0.088981,0.076341,136,122,1
2900.1,2654.2,4.6345,0.64943,495.26,366.06,0.093086,0.080447,42,28,1
2960,2714.1,4.6689,0.68384,495.26,366.06,0.082929,0.07029,42,28,1
3138.6,2892.7,4.6196,0.63456,473.73,344.53,0.086073,0.073433,43,29,1
3216,2970.1,4.5457,0.5607,473.73,344.53,0.083895,0.071256,139,125,1
2846.5,2600.7,4.6169,0.63186,473.73,344.53,0.09819,0.085551,43,29,1
2780.1,2534.3,4.5855,0.60045,473.73,344.53,0.098849,0.08621,43,29,1
2682.5,2436.6,4.6408,0.65572,473.73,344.53,0.093195,0.080556,45,31,1
4165,3919.1,4.9343,0.94922,452.2,323,0.057502,0.044863,144,130,1
6170.4,5924.5,4.8411,0.85603,473.73,344.53,0.049529,0.03689,47,33,1
4878.6,4632.8,4.8481,0.86307,452.2,323,0.045333,0.032694,149,135,1
8303.6,8057.8,4.821,0.83595,452.2,323,0.054439,0.041799,48,34,1
7573.8,7327.9,4.8637,0.87865,258.4,129.2,0.06103,0.048391,26,12,1
7815.9,7570,4.7009,0.71586,430.66,301.46,0.031337,0.018698,24,10,1
7006.6,6760.7,4.6821,0.69705,258.4,129.2,0.030274,0.017635,55,41,1
6432,6186.1,4.6904,0.70538,258.4,129.2,0.042188,0.029549,61,47,1
6096.2,5850.3,4.6031,0.61809,301.46,172.27,0.029964,0.017325,47,33,1
4894,4648.1,4.7373,0.7523,732.13,602.93,0.036773,0.024134,71,57,1
5070.3,4824.4,4.616,0.63092,430.66,301.46,0.039515,0.026876,78,64,1
4226.3,3980.4,4.4982,0.51311,430.66,301.46,0.030348,0.017709,29,15,1
3879.2,3633.3,5.012,1.0269,107.67,0,0.035873,0.023234,80,66,1
4079.6,3833.7,5.0898,1.1048,107.67,0,0.0445,0.031861,84,70,1
2377.8,2131.9,4.9735,0.98847,86.133,0,0.027828,0.015189,71,57,1
2668.9,2423,4.7737,0.78869,86.133,0,0.026659,0.01402,67,53,1
2268.4,2022.5,4.674,0.68893,107.67,21.533,0.031753,0.019114,46,32,1
1749.8,1503.9,4.8352,0.8502,107.67,21.533,0.022399,0.0097602,25,11,1
1805.5,1559.6,4.6311,0.64602,279.93,193.8,0.021705,0.0090663,96,82,1
1976.2,1730.3,4.6244,0.63933,710.6,624.46,0.02396,0.011321,56,42,1
2352.1,2106.2,4.7526,0.76756,107.67,21.533,0.018463,0.0058238,81,67,1
