@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.078676,0.047435,0.059891,0.043557,559.65,552.3,5.0325,1.0475,775.2,689.06,0
0.0797,0.04846,0.054446,0.038113,509.41,502.07,5.1095,1.1245,796.73,710.6,0
0.068939,0.037698,0.060799,0.044465,424.15,416.8,5.1777,1.1927,430.66,344.53,0
0.055375,0.024134,0.066243,0.049909,231.21,223.86,5.3256,1.3406,775.2,689.06,0
0.052599,0.021358,0.057169,0.040835,281.05,273.71,5.2105,1.2255,775.2,689.06,0
0.053327,0.022087,0.068058,0.051724,203.12,195.78,5.312,1.3269,409.13,323,0
0.063728,0.032487,0.068966,0.052632,375.79,368.45,5.1153,1.1302,775.2,689.06,0
0.074438,0.043197,0.053539,0.037205,562.77,555.42,5.1546,1.1695,430.66,344.53,0
0.07959,0.04835,0.053539,0.037205,639.73,632.39,5.0311,1.0461,409.13,323,0
0.082199,0.050958,0.051724,0.03539,466.27,458.93,5.0551,1.0701,775.2,689.06,0
0.084253,0.053012,0.049909,0.033575,691.2,683.86,4.9815,0.99646,775.2,689.06,0
0.084656,0.053415,0.048094,0.03176,611.18,603.84,5.0191,1.034,538.33,452.2,0
0.092453,0.061213,0.053539,0.037205,665.82,658.48,5.0032,1.0182,215.33,129.2,0
0.10139,0.07015,0.053539,0.037205,1054.8,1047.4,4.9518,0.96674,409.13,323,0
0.099295,0.068055,0.043557,0.027223,866.84,859.5,5.0227,1.0376,215.33,129.2,0
0.098566,0.067325,0.04265,0.026316,723.66,716.32,4.9427,0.95761,796.73,710.6,0
0.099242,0.068001,0.040835,0.024501,713.34,705.99,4.9075,0.92245,796.73,710.6,0
0.097868,0.066627,0.038113,0.021779,837.87,830.53,4.9974,1.0124,818.26,732.13,0
