@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.10818,0.076942,0.050817,0.034483,0.032897,0.022818,22,7,0
0.089572,0.058331,0.054446,0.038113,0.02927,0.019191,13,0,0
0.084183,0.052942,0.061706,0.045372,0.01854,0.0084608,36,23,0
0.075823,0.044583,0.068058,0.051724,0.023659,0.01358,76,63,0
0.06697,0.035729,0.069873,0.053539,0.02017,0.010091,39,26,0
0.066938,0.035697,0.075318,0.058984,0.025628,0.015549,50,37,0
0.085588,0.054347,0.052632,0.036298,0.024438,0.014359,125,112,0
0.098476,0.067236,0.032668,0.016334,0.034785,0.024706,135,122,0
0.094824,0.063584,0.03902,0.022686,0.026459,0.01638,9,0,0
0.097548,0.066307,0.049909,0.033575,0.019926,0.0098473,9,0,0
0.096462,0.065221,0.065336,0.049002,0.038867,0.028788,33,24,0
0.090251,0.05901,0.062613,0.046279,0.027874,0.017795,128,119,0
0.094669,0.063428,0.054446,0.038113,0.025273,0.015194,60,51,0
0.083195,0.051954,0.057169,0.040835,0.023038,0.012959,76,67,0
0.069661,0.03842,0.049909,0.033575,0.016881,0.0068022,113,104,0
0.074778,0.043537,0.043557,0.027223,0.01899,0.0089111,58,49,0
0.085428,0.054188,0.032668,0.016334,0.028166,0.018087,37,28,0
0.079871,0.04863,0.029946,0.013612,0.029503,0.019424,52,43,0
0.060619,0.029378,0.03539,0.015426,0.014712,0.0046331,39,30,0
0.052386,0.021145,0.048094,0.028131,0.02059,0.010511,83,74,0
0.050722,0.019481,0.058076,0.038113,0.022705,0.012626,46,37,0
0.053574,0.022333,0.058984,0.03902,0.022512,0.012433,56,47,0
0.045216,0.013975,0.075318,0.055354,0.019929,0.0098495,111,102,0
0.039792,0.0085512,0.073503,0.053539,0.02157,0.011491,82,73,0
0.043271,0.01203,0.059891,0.039927,0.01914,0.0090605,75,66,0
0.040727,0.0094859,0.063521,0.043557,0.014572,0.0044931,58,49,0
0.045453,0.014212,0.058984,0.03902,0.023345,0.013266,70,61,0
0.052779,0.021538,0.047187,0.027223,0.014508,0.0044287,45,36,0
0.057435,0.026194,0.04265,0.022686,0.025698,0.015619,74,65,0
0.078073,0.046833,0.043557,0.023593,0.028928,0.018849,40,31,0
0.082507,0.051266,0.043557,0.023593,0.022441,0.012362,113,104,0
0.068947,0.037706,0.041742,0.021779,0.022856,0.012777,142,133,0
0.072329,0.041088,0.039927,0.019964,0.020889,0.01081,38,29,0
0.072104,0.040864,0.039927,0.019964,0.027445,0.017366,41,32,0
0.061429,0.030188,0.044465,0.024501,0.022916,0.012837,40,31,0
0.070445,0.039204,0.045372,0.025408,0.019146,0.0090672,104,95,0
0.066926,0.035685,0.049909,0.029946,0.027486,0.017407,37,28,0
0.048762,0.017521,0.063521,0.043557,0.024,0.013921,54,45,0
0.044945,0.013704,0.061706,0.041742,0.022452,0.012372,75,66,0
0.044651,0.01341,0.062613,0.04265,0.020665,0.010586,87,78,0
0.043907,0.012667,0.061706,0.041742,0.014232,0.004153,81,72,0
0.036891,0.0056499,0.058984,0.03902,0.017663,0.007584,48,39,0
0.049703,0.018462,0.050817,0.030853,0.015758,0.0056791,22,13,0
0.067331,0.03609,0.03539,0.015426,0.022077,0.011997,51,42,0
0.078703,0.047463,0.038113,0.018149,0.02751,0.017431,144,135,0
0.070319,0.039079,0.050817,0.030853,0.018633,0.0085544,143,134,0
0.058248,0.027007,0.049909,0.029946,0.021257,0.011178,44,35,0
0.058,0.026759,0.046279,0.026316,0.027821,0.017742,51,42,0
0.051141,0.019901,0.046279,0.026316,0.0273,0.017221,53,44,0
0.054913,0.023672,0.049002,0.029038,0.020672,0.010593,18,9,0
0.061482,0.030241,0.051724,0.03176,0.017781,0.0077022,43,34,0
0.058349,0.027108,0.044465,0.024501,0.02097,0.010891,54,45,0
0.055221,0.02398,0.057169,0.037205,0.020224,0.010144,85,76,0
0.05378,0.022539,0.068966,0.049002,0.023574,0.013494,72,63,0
0.054297,0.023056,0.069873,0.049909,0.024652,0.014572,102,93,0
0.057181,0.02594,0.064428,0.044465,0.016047,0.0059681,52,43,0
0.057884,0.026643,0.060799,0.040835,0.020734,0.010655,115,106,0
0.057996,0.026755,0.062613,0.04265,0.025192,0.015113,76,67,0
0.048651,0.01741,0.08167,0.061706,0.023945,0.013866,23,14,0
0.047675,0.016435,0.07441,0.054446,0.019647,0.0095681,24,15,0
0.048651,0.01741,0.062613,0.04265,0.017469,0.0073899,71,62,0
0.046526,0.015286,0.071688,0.051724,0.022787,0.012707,25,16,0
0.059625,0.028384,0.068058,0.048094,0.023155,0.013076,91,82,0
0.067263,0.036022,0.07078,0.050817,0.03333,0.023251,25,16,0
0.060619,0.029378,0.073503,0.053539,0.025486,0.015407,34,25,0
0.066268,0.035027,0.057169,0.037205,0.025242,0.015162,47,38,0
0.081317,0.050077,0.046279,0.026316,0.025345,0.015266,25,16,0
0.097906,0.066665,0.046279,0.026316,0.023189,0.01311,47,38,0
0.10917,0.077933,0.029946,0.0099819,0.030742,0.020663,47,38,0
