@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.024397,0.01351,55,47,0
0.026621,0.015735,35,27,0
0.027724,0.016837,34,26,0
0.024704,0.013818,45,37,1
0.025517,0.01463,26,18,1
0.026351,0.015464,64,56,1
0.029159,0.018272,84,76,1
0.026281,0.015394,25,17,1
0.019879,0.0089918,88,80,1
0.031174,0.020287,70,62,1
0.025221,0.014334,51,43,1
0.03807,0.027183,50,42,1
0.019654,0.0087672,46,38,1
0.033384,0.022497,40,32,1
0.024386,0.013499,37,29,1
0.024196,0.01331,28,20,1
0.023711,0.012824,77,69,1
0.021629,0.010742,14,6,1
0.025988,0.015102,29,21,1
0.017233,0.0063461,28,20,1
0.015402,0.0045154,40,32,1
0.025533,0.014646,21,13,1
0.021303,0.010416,27,19,1
0.017395,0.0065083,35,27,1
0.022919,0.012032,107,99,1
0.027736,0.016849,147,139,1
0.023846,0.012959,88,80,0
0.01777,0.0068835,89,81,0
0.019428,0.0085414,36,28,0
0.022412,0.011525,90,82,0
0.023645,0.012758,45,37,0
0.019073,0.0081861,58,50,0
0.014452,0.0035655,140,132,0
0.015118,0.004231,31,23,0
0.023354,0.012467,100,92,0
0.018374,0.0074873,147,139,0
0.024619,0.013732,28,20,0
0.021777,0.01089,36,28,0
0.027886,0.016999,55,47,0
0.025343,0.014457,68,60,0
0.02275,0.011863,75,67,0
0.017696,0.0068088,158,150,0
0.024079,0.013192,144,136,0
0.033025,0.022138,27,19,0
0.0096253,0,119,0,0
0.0080009,0,141,22,0
0.011344,0.0033436,113,0,0
0.015885,0.0078841,45,0,0
0.014016,0.006015,77,32,1
0.013379,0.0053785,13,0,1
0.032305,0.024304,32,19,1
0.047789,0.039788,21,8,1
0.089641,0.08164,54,41,1
0.097554,0.089553,53,40,1
0.1034,0.095395,51,38,1
0.10856,0.10055,48,35,1
0.13543,0.12743,47,34,1
0.13344,0.12544,47,34,1
0.14232,0.13432,49,36,1
0.14402,0.13602,47,34,1
0.14184,0.13384,45,32,1
0.16525,0.15725,47,34,1
0.15104,0.14304,46,33,1
0.17032,0.16232,43,30,1
0.14288,0.13488,42,29,1
0.15702,0.14902,42,29,1
0.15092,0.14292,43,30,1
0.13307,0.12507,44,31,1
0.12396,0.11596,44,31,1
0.11746,0.10945,45,32,1
0.13871,0.13071,44,31,1
0.11798,0.10998,42,29,1
0.1427,0.1347,41,28,1
0.13562,0.12761,40,27,1
0.1205,0.1125,40,27,1
0.11876,0.11076,39,26,1
0.1285,0.1205,130,117,1
0.13338,0.12538,38,25,1
0.11475,0.10675,38,25,1
0.12107,0.11307,37,24,1
0.12179,0.11379,37,24,1
0.12692,0.11892,36,23,1
0.12004,0.11204,36,23,1
0.11738,0.10938,124,111,1
0.1358,0.1278,35,22,1
0.11157,0.10357,35,22,1
0.12385,0.11585,35,22,1
0.13633,0.12833,36,23,1
0.14499,0.13699,36,23,1
0.13641,0.12841,37,24,1
0.14391,0.13591,37,24,1
0.11849,0.11049,36,23,1
0.096462,0.088461,36,23,1
