@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.61742,0.58618,0.028131,0.0036298,1
0.59926,0.56802,0.026316,0.0018149,1
0.56343,0.53219,0.024501,0,1
0.51384,0.4826,0.023593,0,1
0.43694,0.4057,0.023593,0,1
0.34793,0.31669,0.023593,0,1
0.32836,0.29712,0.022686,0,1
0.30413,0.27289,0.025408,0.0027223,1
0.25326,0.22202,0.034483,0.011797,1
0.21752,0.18628,0.046279,0.023593,1
0.20506,0.17382,0.053539,0.030853,1
0.19569,0.16445,0.053539,0.030853,1
0.18808,0.15684,0.049002,0.026316,1
0.20011,0.16887,0.039927,0.017241,1
0.19836,0.16712,0.038113,0.015426,1
0.19335,0.16211,0.041742,0.019056,1
0.19777,0.16653,0.03539,0.012704,1
0.19649,0.16525,0.032668,0.0099819,1
0.19657,0.16533,0.033575,0.010889,1
0.19455,0.16331,0.04265,0.019964,1
0.16853,0.13729,0.061706,0.03902,1
0.16895,0.13771,0.058076,0.03539,1
0.19379,0.16164,0.041742,0.019056,1
0.19233,0.16018,0.036298,0.013612,1
0.18634,0.15419,0.047187,0.024501,1
0.19142,0.15927,0.052632,0.029946,1
0.22921,0.19706,0.043557,0.020871,1
0.27719,0.24505,0.033575,0.010889,1
0.29166,0.25952,0.027223,0.0045372,1
0.25308,0.22094,0.043557,0.020871,1
0.20154,0.16569,0.062613,0.039927,1
0.2244,0.18855,0.053539,0.030853,1
0.23199,0.19614,0.050817,0.028131,1
0.23381,0.19796,0.051724,0.029038,1
0.2403,0.20445,0.046279,0.023593,1
0.22019,0.18435,0.049002,0.026316,1
0.23001,0.19416,0.048094,0.025408,1
0.26083,0.22498,0.049909,0.027223,1
0.30094,0.26405,0.045372,0.022686,1
0.33091,0.29402,0.037205,0.014519,1
0.34239,0.3055,0.033575,0.010889,1
0.34726,0.31037,0.037205,0.014519,1
0.35759,0.3207,0.04265,0.019964,1
0.37492,0.33803,0.033575,0.010889,1
0.37734,0.34045,0.030853,0.008167,1
0.38266,0.34577,0.037205,0.014519,1
0.40248,0.36559,0.03176,0.0090744,1
0.39072,0.35383,0.026316,0.0036298,1
0.37274,0.33585,0.026316,0.0036298,1
0.37997,0.34308,0.023593,0.00090744,1
0.36011,0.32322,0.023593,0.00090744,1
0.33018,0.29329,0.025408,0.0027223,1
0.33649,0.2996,0.024501,0.0018149,1
0.4012,0.36431,0.022686,0,1
0.46797,0.43108,0.021779,0,1
0.49677,0.45988,0.023593,0.0018149,1
0.50438,0.46749,0.022686,0.00090744,1
0.48838,0.45149,0.020871,0,1
0.4535,0.41661,0.020871,0,1
0.3741,0.33721,0.020871,0,1
0.28908,0.25219,0.020871,0,1
0.23849,0.2016,0.054446,0.033575,1
0.18033,0.14344,0.075318,0.054446,1
