@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
1444.8,1264.1,5.0515,0.58407,925.93,775.2,1
1522.3,1341.6,5.0663,0.56927,925.93,775.2,1
1881.6,1701,5.112,0.52358,904.39,753.66,1
2083.9,1903.2,5.0042,0.63133,904.39,753.66,1
2044.7,1864,5.1376,0.49791,925.93,775.2,1
1795,1614.4,5.064,0.57155,947.46,796.73,1
2075,1894.3,5.0296,0.606,947.46,796.73,1
2390.1,2209.4,4.9532,0.68231,947.46,796.73,1
2525.4,2344.8,4.9814,0.65414,947.46,796.73,1
2667.2,2486.5,5.0006,0.63499,947.46,796.73,1
2975.8,2795.1,4.977,0.65853,968.99,818.26,1
3227,3046.3,5.181,0.45458,947.46,796.73,1
2794.7,2614,5.2298,0.4058,904.39,753.66,1
3003.8,2823.1,5.3019,0.33366,904.39,753.66,1
3086.7,2906.1,5.4442,0.19136,882.86,732.13,1
2690.6,2509.9,5.4857,0.14987,861.33,710.6,1
3005.9,2825.2,5.5527,0.082814,495.26,344.53,1
2919.1,2738.4,5.5296,0.10598,495.26,344.53,1
3134.4,2953.7,5.5352,0.10037,495.26,344.53,1
3247.7,3067,5.5012,0.13437,495.26,344.53,1
3150.7,2970.1,5.5276,0.10795,495.26,344.53,1
3303.5,3122.9,5.5141,0.12145,495.26,344.53,1
3239.8,3059.1,5.4631,0.17243,495.26,344.53,1
2843,2662.3,5.4543,0.1813,1162.8,1012.1,1
3349.4,3168.7,5.4439,0.19165,1184.3,1033.6,1
3721.9,3541.2,5.444,0.19156,215.33,64.6,1
3322.2,3141.5,5.4323,0.20328,1658.1,1507.3,1
3626.9,3446.2,5.4326,0.20296,5706.3,5555.6,1
3550.1,3369.4,5.4182,0.21738,1636.5,1485.8,1
4012.5,3831.9,5.4879,0.14766,236.87,86.133,1
3893.8,3713.1,5.4922,0.14335,1593.5,1442.7,1
3467.9,3287.2,5.2695,0.36603,1615,1464.3,1
4071.6,3890.9,5.3698,0.26573,1636.5,1485.8,1
4298,4117.3,5.4558,0.17974,1679.6,1528.9,1
4824.1,4643.5,5.3553,0.28022,236.87,86.133,1
4804,4623.3,5.3127,0.32288,1335.1,1184.3,1
4793.2,4612.5,5.295,0.34054,5770.9,5620.2,1
4686.5,4505.8,5.2643,0.37127,5857,5706.3,1
4843.2,4662.5,5.2222,0.41335,1399.7,1248.9,1
4274.6,4093.9,5.0744,0.56116,1399.7,1248.9,1
4012.2,3828.5,5.1099,0.52561,1399.7,1248.9,1
3911.6,3727.9,4.9847,0.65086,1421.2,1270.5,1
3826.8,3643.1,4.9513,0.68427,1421.2,1270.5,1
