@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.022409,0.0069741,181,0
0.020889,0.0054546,113,0
0.019451,0.0040171,48,0
0.025355,0.0099206,88,0
0.026391,0.010957,150,0
0.02035,0.0049152,37,0
0.024216,0.0087812,53,0
0.025069,0.0096342,43,0
0.031468,0.016033,50,0
0.030176,0.014741,82,0
0.032894,0.017459,74,0
0.020932,0.0054978,49,0
0.026403,0.010968,60,0
0.021136,0.0057012,74,0
0.020613,0.0051782,96,0
0.027506,0.012072,46,0
0.036688,0.021253,87,0
0.030701,0.015267,176,0
0.029744,0.01431,88,0
0.029379,0.013945,85,0
0.032597,0.017163,181,0
0.035373,0.019938,51,0
0.05343,0.037995,42,0
0.059534,0.0441,50,0
0.066336,0.050902,74,0
0.05181,0.036376,104,0
0.040895,0.02546,84,0
0.043635,0.0282,33,0
0.032336,0.016902,112,0
0.029973,0.014539,139,0
0.031769,0.016334,140,0
0.032618,0.017184,74,0
0.032549,0.017114,106,0
0.02483,0.0093956,83,0
0.026284,0.010849,88,0
0.02799,0.012556,121,0
0.019316,0.0038817,107,0
0.02743,0.011995,108,0
0.025892,0.010457,115,0
0.025537,0.010102,89,0
0.022743,0.0073091,12,0
0.029991,0.014557,147,0
0.024397,0.0089628,103,0
0.025025,0.0095902,50,0
0.026438,0.011004,85,0
