@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0028897,0.0019744,0.057169,0.03902,0.49134,0.40855,8,6,0
0.0028867,0.0019713,0.058076,0.039927,0.012231,0,9,7,0
0.0025111,0.0015957,0.062613,0.044465,0.00043054,0,2,0,0
0.0015704,0.00065501,0.10436,0.086207,0.035738,0.035307,21,19,0
0.0013018,0.0003864,0.18149,0.16334,0.070158,0.069728,44,42,0
0.0013259,0.00041048,0.17514,0.15699,0.045828,0.045397,42,40,0
0.0012661,0.00035077,0.12613,0.10799,0.082127,0.081697,29,27,0
0.001242,0.00032659,0.11978,0.10163,0.059591,0.059161,25,23,0
0.0014804,0.00056504,0.11434,0.096189,0.05221,0.05178,31,29,0
0.0015106,0.00059519,0.13612,0.11797,0.48432,0.48389,13,11,0
0.0016301,0.00071476,0.11525,0.097096,0.78041,0.77998,6,4,0
0.0017844,0.00086906,0.087114,0.068966,0.51042,0.50999,9,7,0
0.0017519,0.00083652,0.10254,0.084392,0.096193,0.095763,20,18,0
0.001626,0.00071063,0.10799,0.089837,0.18337,0.18294,30,28,0
0.0014201,0.00050476,0.13067,0.11252,0.71188,0.71145,18,16,0
0.0012291,0.00031368,0.17423,0.15608,0.57283,0.5724,25,23,0
0.0013061,0.0003907,0.13158,0.11343,0.22182,0.22139,21,19,0
0.0013318,0.00041637,0.13249,0.11434,0.10929,0.10886,28,26,0
0.0012717,0.00035628,0.17423,0.15608,0.23032,0.22989,36,34,0
0.001763,0.00084759,0.11797,0.099819,0.18574,0.18531,11,9,0
0.0019851,0.0010697,0.077132,0.058984,0.30523,0.3048,10,8,0
0.0015506,0.00063524,0.11252,0.094374,0.20973,0.2093,17,15,0
0.0012183,0.00030294,0.13521,0.11706,0.098766,0.098336,33,31,0
0.0012038,0.00028847,0.11525,0.097096,0.044338,0.043907,32,30,0
0.0012695,0.00035413,0.14247,0.12432,0.019875,0.019445,37,35,0
0.0014328,0.00051737,0.14882,0.13067,0.084372,0.083941,25,23,0
0.0014336,0.0005182,0.12341,0.10526,0.31895,0.31851,22,20,0
0.0013578,0.00044245,0.11797,0.099819,0.33993,0.3395,17,15,0
0.0013288,0.00041346,0.098911,0.080762,0.095337,0.094906,31,29,0
0.0015829,0.00066756,0.065336,0.047187,0.28518,0.28475,13,11,0
0.0015598,0.00064446,0.088022,0.069873,0.44604,0.44561,14,12,0
0.0012873,0.00037197,0.10889,0.090744,0.33269,0.33226,19,17,0
0.0012807,0.00036535,0.11525,0.097096,0.051069,0.050638,30,28,0
0.0011184,0.00020303,0.19147,0.17332,0.11641,0.11598,29,27,0
0.0010853,0.00016987,0.20599,0.18784,0.065602,0.065171,52,50,0
0.0011919,0.00027651,0.16425,0.1461,0.0209,0.020469,50,48,0
0.0010129,9.7487e-05,0.17604,0.15789,0.083109,0.082679,34,32,0
0.0010579,0.00014248,0.1833,0.16515,0.096221,0.095791,31,29,0
0.0014242,0.00050887,0.16425,0.1461,0.20216,0.20173,14,12,0
0.0017533,0.00083794,0.12886,0.11071,0.24208,0.24165,10,8,0
0.0017279,0.00081255,0.10799,0.089837,0.24686,0.24643,11,9,0
0.0015616,0.00064619,0.12432,0.10617,0.16694,0.16651,11,9,0
0.0014326,0.0005172,0.13702,0.11887,0.29538,0.29495,16,14,0
0.0013182,0.00040285,0.13339,0.11525,0.23993,0.2395,17,15,0
0.0014601,0.00054472,0.13612,0.11797,0.095166,0.094735,23,21,0
0.00147,0.0005546,0.13702,0.11887,0.28144,0.28101,16,14,0
0.001443,0.00052764,0.16334,0.14519,0.16126,0.16083,25,23,0
0.0012733,0.00035793,0.17151,0.15336,0.24344,0.24301,27,25,0
0.0010135,9.81e-05,0.14882,0.13067,0.23369,0.23326,41,39,0
0.00094912,3.3739e-05,0.15789,0.13975,0.076133,0.075702,54,52,0
0.00099959,8.421e-05,0.17604,0.15789,0.097779,0.097349,54,52,0
0.0010016,8.6258e-05,0.18784,0.16969,0.12702,0.12659,46,44,0
0.00099418,7.8802e-05,0.18603,0.16788,0.11211,0.11168,50,48,0
0.0010704,0.00015504,0.15426,0.13612,0.22998,0.22955,40,38,0
0.0011061,0.00019073,0.14065,0.1225,0.3942,0.39377,29,27,0
0.0017118,0.00079638,0.11525,0.097096,0.32266,0.32223,9,7,0
0.0019377,0.0010223,0.07441,0.056261,0.28978,0.28935,6,4,0
0.0014782,0.00056282,0.097096,0.078947,0.13117,0.13074,12,10,0
0.0014635,0.00054813,0.11343,0.095281,0.25229,0.25186,29,27,0
0.0015327,0.00061732,0.11071,0.092559,0.28481,0.28438,18,16,0
0.0014596,0.00054418,0.13702,0.11887,0.31836,0.31793,25,23,0
0.0015575,0.00064215,0.11706,0.098911,0.20334,0.20291,29,27,0
0.0015236,0.00060827,0.096189,0.07804,0.040698,0.040268,27,25,0
0.0014467,0.0005313,0.12341,0.10526,0.10789,0.10746,27,25,0
0.0024323,0.0015169,0.13067,0.11252,0.19475,0.19432,10,8,0
0.0035436,0.0026282,0.13612,0.11797,0.24182,0.24139,11,9,0
0.0036244,0.002709,0.13249,0.11434,0.20343,0.203,12,10,0
0.0031256,0.0022102,0.11797,0.099819,0.21241,0.21198,11,9,0
0.002429,0.0015136,0.12432,0.10617,0.18877,0.18834,13,11,0
0.0018323,0.00091696,0.12341,0.10526,0.17058,0.17015,12,10,0
0.0016716,0.00075627,0.12795,0.1098,0.18923,0.1888,14,12,0
0.0022439,0.0013286,0.15426,0.13612,0.12324,0.12281,20,18,0
0.0028422,0.0019268,0.18421,0.16606,0.18117,0.18074,21,19,0
0.0027951,0.0018797,0.20508,0.18693,0.20525,0.20482,23,21,0
0.0024607,0.0015453,0.17786,0.15971,0.2025,0.20207,17,15,0
0.003157,0.0022416,0.1225,0.10436,0.16856,0.16813,9,7,0
0.0041301,0.0032147,0.080762,0.062613,0.28703,0.2866,7,5,0
0.004041,0.0031256,0.07804,0.059891,0.35312,0.35269,5,3,0
0.0034989,0.0025835,0.11797,0.099819,0.11515,0.11472,11,9,0
0.0032342,0.0023188,0.13702,0.11887,0.13939,0.13896,15,13,0
0.0028036,0.0018882,0.15971,0.14156,0.19844,0.19801,20,18,0
0.0022262,0.0013109,0.1824,0.16425,0.2098,0.20937,15,13,0
0.0022121,0.0012967,0.16606,0.14791,0.1728,0.17237,13,11,0
0.0034327,0.0025173,0.12613,0.10799,0.33571,0.33528,10,8,0
0.0052389,0.0043235,0.10254,0.084392,0.35354,0.35311,9,7,0
0.0073247,0.0064093,0.11162,0.093466,0.36897,0.36854,12,10,0
0.0092305,0.0083151,0.11797,0.099819,0.3153,0.31487,9,7,0
0.010222,0.009307,0.13975,0.1216,0.25159,0.25116,8,6,0
0.010496,0.0095802,0.14247,0.12432,0.31323,0.3128,10,8,0
0.010241,0.0093254,0.13339,0.11525,0.34629,0.34586,10,8,0
0.010463,0.0095473,0.13249,0.11434,0.45147,0.45104,12,10,0
0.010791,0.0098761,0.12613,0.10799,0.34687,0.34644,10,8,0
0.010103,0.0091874,0.11343,0.095281,0.31002,0.30958,11,9,0
0.008869,0.0079536,0.11162,0.093466,0.27434,0.27391,12,10,0
0.0078392,0.0069238,0.11615,0.098004,0.31169,0.31126,8,6,0
0.0072995,0.0063841,0.10345,0.085299,0.41028,0.40985,8,6,0
0.0058283,0.0049129,0.079855,0.061706,0.29598,0.29554,9,7,0
0.0040993,0.0031839,0.075318,0.057169,0.2438,0.24337,10,8,0
0.0037538,0.0028384,0.085299,0.067151,0.17686,0.17643,12,10,0
0.003505,0.0025896,0.08167,0.063521,0.30037,0.29994,7,5,0
0.0035843,0.002669,0.073503,0.055354,0.41045,0.41002,4,2,0
