@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
27.399,17.21,5.1854,1.6051,301.46,279.93,0.0010301,0.00028556,117,113,0
27.41,17.221,5.0995,1.5191,258.4,236.87,0.0014383,0.00069377,137,133,0
26.427,16.238,5.2741,1.6938,258.4,236.87,0.0010738,0.00032927,149,145,0
25.709,15.52,5.2329,1.6526,236.87,215.33,0.001028,0.0002834,43,39,0
24.452,14.263,5.4014,1.8211,193.8,172.27,0.0007551,1.053e-05,131,127,0
25.563,15.374,5.4244,1.8441,172.27,150.73,0.00071051,0,110,106,0
27.511,17.322,5.1381,1.5578,193.8,172.27,0.0013634,0.00065285,142,138,0
24.976,14.787,5.2867,1.7064,279.93,258.4,0.0011663,0.00045582,120,116,0
24.198,14.009,5.0739,1.4935,258.4,236.87,0.001372,0.00066144,139,135,0
24.461,14.272,5.3307,1.7503,258.4,236.87,0.0010074,0.00029687,40,36,0
24.751,14.562,5.1141,1.5337,258.4,236.87,0.0011897,0.00047918,81,77,0
22.809,12.62,4.9006,1.3203,258.4,236.87,0.0013494,0.00063892,153,149,0
21.995,11.806,5.2641,1.6838,279.93,258.4,0.00094072,0.00023021,114,110,0
22.988,12.799,5.2535,1.6732,258.4,236.87,0.00073018,1.967e-05,76,72,0
32.458,22.269,5.6371,2.0567,430.66,409.13,0.0015976,0.00088713,28,24,0
26.349,16.159,5.4313,1.851,215.33,193.8,0.0010117,0.00030119,80,76,0
24.231,14.042,5.3278,1.7475,215.33,193.8,0.0010268,0.00031624,141,137,0
