@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
20.183,5.4251,193.8,0.00026061,74,0
28.583,5.3947,258.4,0.0011999,117,0
31.483,5.6461,86.133,0.001719,38,0
20.832,5.5366,323,0.00061283,38,0
14.559,5.4797,64.6,0.00059788,71,0
11.391,5.4215,43.066,0.00035983,43,0
10.116,5.2761,172.27,0,61,0
11.761,5.2367,193.8,0.00027026,63,0
11.428,5.2756,0,0.00038304,105,0
19.941,5.5021,344.53,0.00077052,108,0
11.97,5.2887,323,0.0011624,76,0
15.454,5.1069,473.73,0.0014347,42,0
16.867,4.9473,150.73,0.0013486,42,0
15.511,5.1318,193.8,0.00059979,46,0
15.342,5.2593,279.93,0.0006039,87,0
14.222,5.2539,279.93,0.00093412,41,0
18.431,5.2004,279.93,0.0014209,116,0
18.902,5.2442,172.27,0.0006946,47,0
15.937,5.2361,129.2,0.00088891,48,0
16.153,5.3168,129.2,0.0006273,92,0
40.643,5.5249,172.27,0.00064159,104,0
63.9,5.6513,1442.7,0.0040416,105,0
63.245,5.6323,2863.9,0.0030587,42,0
52.784,5.59,215.33,0.0033055,51,0
45.324,5.5188,215.33,0.0029101,69,0
32.104,5.4844,150.73,0.0020609,46,0
26.081,5.3796,215.33,0.0019849,72,0
31.809,5.6496,236.87,0.0010535,98,0
64.454,5.7457,3919,0.0029533,115,0
57.788,5.6987,2885.4,0.0039519,26,0
48.472,5.6569,129.2,0.003317,51,0
50.296,5.5856,150.73,0.0022628,15,0
52.214,5.368,150.73,0.0032445,30,0
45.485,5.3267,1119.7,0.0045874,141,0
58.163,5.5954,172.27,0.0038098,64,0
54.9,5.6213,86.133,0.0021739,45,0
53.74,5.6607,129.2,0.0028835,131,0
39.085,5.6457,172.27,0.0016873,45,0
38.665,5.5691,172.27,0.0017858,61,0
48.535,5.4859,0,0.0032485,136,0
62.367,5.4481,904.39,0.0061421,128,0
72.271,5.4513,818.26,0.0070724,61,0
73.742,5.434,2433.3,0.0090347,72,0
73.851,5.4326,1894.9,0.011252,65,0
75.433,5.4505,2304.1,0.0090391,120,0
83.882,5.5452,1916.5,0.010066,38,0
80.607,5.5087,2325.6,0.011834,55,0
85.652,5.5655,2433.3,0.011697,82,0
83.92,5.5468,2174.9,0.0096458,54,0
78.944,5.4948,473.73,0.011153,54,0
73.833,5.4542,2045.7,0.0087062,57,0
68.124,5.4121,279.93,0.0073576,100,0
60.467,5.4001,301.46,0.0049214,110,0
50.844,5.4686,495.26,0.0035691,40,0
46.467,5.3707,172.27,0.0031153,52,0
42.357,5.3677,452.2,0.0037902,51,0
41.351,5.3517,0,0.0023911,53,0
40.966,5.2755,409.13,0.0023237,51,0
60.309,5.4736,387.6,0.0038138,52,0
67.58,5.4284,1894.9,0.0098314,18,0
64.494,5.361,2045.7,0.013313,72,0
73.444,5.461,279.93,0.011763,19,0
72.729,5.4599,279.93,0.011418,120,0
67.737,5.4285,215.33,0.014504,121,0
90.667,5.6345,8053.4,0.017469,6,0
52.01,5.472,344.53,0.016936,95,0
76.397,5.4679,129.2,0.010906,20,0
67.414,5.3528,2045.7,0.0075171,60,0
56.944,5.2355,150.73,0.0046072,40,0
40.418,5.0688,150.73,0.0036486,43,0
36.988,5.3423,43.066,0.001432,160,0
37.333,5.4344,43.066,0.0016372,43,0
39.643,5.4158,43.066,0.002715,79,0
42.625,5.5327,0,0.0018922,127,0
130.49,4.4432,646,0.016982,82,1
831.48,4.586,689.06,0.031662,111,1
656.35,4.4722,753.66,0.0599,123,1
649.94,4.8548,538.33,0.042487,108,1
1196.3,4.5296,624.46,0.045698,88,1
1530.1,4.3542,689.06,0.04696,65,1
1049.8,4.5143,387.6,0.074808,59,1
1123.2,4.3783,409.13,0.10006,53,1
1116,4.2569,430.66,0.10148,50,1
1312.5,4.0254,430.66,0.09507,49,1
1300.4,3.9388,430.66,0.09795,49,1
1294.1,3.8637,430.66,0.098288,49,1
1171.3,4.0757,430.66,0.1046,50,1
1007.5,4.1023,430.66,0.099923,52,1
912.21,4.244,409.13,0.10031,53,1
786.47,4.3047,409.13,0.088292,57,1
765.47,4.2886,387.6,0.091438,60,1
767.42,4.3184,387.6,0.08662,64,1
725.05,4.4002,732.13,0.084362,69,1
659.55,4.3291,710.6,0.076696,72,1
803.11,4.3405,667.53,0.075922,78,1
798.85,4.2494,646,0.075422,85,1
974.99,4.021,624.46,0.07794,88,1
889.44,4.3373,602.93,0.052294,98,1
738.39,4.5756,559.86,0.053752,109,1
531.77,4.7488,516.8,0.043786,122,1
455.33,4.7217,473.73,0.055933,130,1
368.08,4.6896,452.2,0.054729,141,1
355.37,4.5492,452.2,0.062243,142,1
357.94,4.4735,452.2,0.05579,144,1
344.64,4.6022,452.2,0.04831,140,1
645.58,4.9509,452.2,0.02019,52,1
586.41,4.8292,430.66,0.026281,145,1
426.67,4.7403,452.2,0.046424,145,1
467.23,4.6878,452.2,0.04701,141,1
411.41,4.6578,473.73,0.058246,136,1
407.47,4.5076,473.73,0.06324,135,1
389.6,4.5249,473.73,0.068653,134,1
414.74,4.6057,473.73,0.063878,134,1
427.35,4.5818,473.73,0.065644,130,1
407.26,4.4808,495.26,0.078386,127,1
405.78,4.4695,495.26,0.071752,125,1
449.85,4.4835,495.26,0.067544,124,1
495.36,4.3678,495.26,0.077453,121,1
453.54,4.397,516.8,0.073626,120,1
442.81,4.5672,516.8,0.065817,116,1
404.24,4.529,516.8,0.074919,119,1
579.43,4.8364,538.33,0.031291,111,1
983.29,4.7931,624.46,0.029873,74,1
2177.9,4.7904,473.73,0.047481,43,1
3930.4,4.3673,516.8,0.063123,34,1
3926.2,3.9116,516.8,0.08934,34,1
3246.5,4.0267,495.26,0.063524,34,1
4168.2,4.0459,516.8,0.074451,28,1
5155.9,4.2773,559.86,0.082692,25,1
7591.3,4.3571,559.86,0.081269,103,1
7332.8,4.0566,559.86,0.095755,24,1
6606,4.0607,559.86,0.097106,26,1
5751.1,3.6061,538.33,0.13944,28,1
4977.5,3.6456,538.33,0.14642,29,1
4527,3.8054,516.8,0.15196,31,1
3660.8,3.9457,516.8,0.12086,34,1
2968.3,3.9594,495.26,0.12299,36,1
2645.2,3.8707,495.26,0.12606,38,1
2105.8,3.9154,473.73,0.11236,39,1
1675.1,3.9882,473.73,0.11073,41,1
1888.7,4.0715,452.2,0.11341,44,1
1718.3,4.0796,452.2,0.12163,46,1
1582,4.0084,452.2,0.11537,46,1
1756.2,3.8685,452.2,0.11503,46,1
1922.3,3.8023,452.2,0.11751,46,1
1943.8,3.8147,452.2,0.11785,46,1
1910,3.7969,452.2,0.12242,46,1
1825.5,3.8546,452.2,0.12198,47,1
1705.2,3.864,430.66,0.11721,48,1
1544.6,3.9169,430.66,0.11349,48,1
1432.1,3.9625,430.66,0.11411,49,1
1377,4.0172,430.66,0.11108,49,1
1462,3.8932,430.66,0.11455,48,1
1422.7,3.9345,430.66,0.10628,48,1
1871.7,4.4543,430.66,0.089506,48,1
1831.6,4.1552,452.2,0.12082,46,1
1960,3.9815,452.2,0.11948,45,1
2087.9,3.8902,452.2,0.11915,44,1
2103.2,3.9398,452.2,0.12241,45,1
2054.5,4.0526,452.2,0.12178,44,1
1988.2,4.1913,452.2,0.1148,43,1
1987.2,4.0902,473.73,0.12053,41,1
2101.1,4.0524,473.73,0.11556,40,1
2330.5,3.9457,473.73,0.12849,40,1
2403.5,3.9674,473.73,0.13189,40,1
2366.1,4.0902,473.73,0.13199,39,1
2458.7,4.0526,473.73,0.13809,38,1
2557.6,4.042,495.26,0.13892,37,1
2814.8,3.8393,495.26,0.13016,36,1
3124.8,3.7409,495.26,0.12954,35,1
3204.5,3.6095,495.26,0.13153,35,1
3207.8,3.6284,495.26,0.12114,35,1
3307.7,3.5427,495.26,0.12215,35,1
3351.8,3.5841,495.26,0.13255,35,1
3370.2,3.5865,495.26,0.13119,35,1
3453.6,3.5727,495.26,0.1259,36,1
3554.6,3.4922,495.26,0.12184,36,1
3507.9,3.43,495.26,0.11715,36,1
3379.1,3.417,495.26,0.1151,37,1
3330.5,3.2986,495.26,0.11372,37,1
3262.1,3.3895,473.73,0.12204,38,1
2981.9,3.5429,473.73,0.12754,39,1
2909.2,3.4838,473.73,0.11765,40,1
3529.8,3.3648,473.73,0.10642,41,1
4153.6,3.1399,473.73,0.098039,41,1
4432.2,3.1448,473.73,0.099459,40,1
4665.1,3.2275,473.73,0.094266,40,1
4297.6,3.1811,473.73,0.088154,41,1
4036.4,3.0872,452.2,0.10303,43,1
3231.5,3.1587,452.2,0.084648,45,1
2110.6,3.0293,430.66,0.060032,48,1
1271.5,3.1874,409.13,0.044628,52,1
468.85,3.5469,409.13,0.029659,52,1
0,4.3118,387.6,0.015573,52,1
9.6218,4.2153,473.73,0.015815,44,1
21.408,4.3215,430.66,0.012849,48,0
32.87,5.0057,409.13,0.0048284,51,0
35.01,4.9093,452.2,0.0066092,36,0
38.981,5.315,473.73,0.0027644,44,0
37.336,5.0981,409.13,0.0043379,37,0
40.884,5.2784,430.66,0.0033211,76,0
40.335,5.432,2088.7,0.0020666,12,0
41.025,5.2596,2024.1,0.0039791,35,0
43.782,5.2768,2174.9,0.0029768,52,0
45.625,5.2671,559.86,0.0024107,31,0
45.992,5.36,2067.2,0.0026746,94,0
43.575,5.3385,2110.3,0.0027063,71,0
43.776,5.4426,2153.3,0.0024583,12,0
44.22,5.3866,2196.4,0.004354,64,0
41.013,5.4316,2217.9,0.0019947,91,0
37.229,5.516,2088.7,0.0019351,139,0
38.648,5.6026,689.06,0.0017887,70,0
48.971,5.7246,86.133,0.0016775,94,0
49.866,5.6746,0,0.0019541,86,0
54.732,5.7092,129.2,0.0025947,26,0
54.015,5.7247,1119.7,0.0021533,61,0
53.287,5.6946,0,0.0018649,27,0
56.207,5.7106,43.066,0.0029043,20,0
64.719,5.6902,0,0.0035156,51,0
61.955,5.7018,323,0.0028499,73,0
57.196,5.5488,0,0.0024566,78,0
47.726,5.0158,753.66,0.0090286,14,0
39.396,5.0244,775.2,0.0068199,14,0
49.204,5.2754,753.66,0.0046735,124,0
44.291,5.0539,732.13,0.0057671,55,0
26.454,4.8283,732.13,0.0082174,54,0
56.814,5.5357,775.2,0.0042035,124,0
35.413,5.1599,753.66,0.0055914,55,0
64.916,5.27,753.66,0.004812,55,0
41.587,5.0589,753.66,0.0081304,60,0
21.256,5.027,753.66,0.0078292,62,0
6.6526,5.0321,710.6,0.00694,60,0
37.858,4.8528,775.2,0.0075924,60,0
109.06,4.8069,775.2,0.0087627,14,0
99.887,4.7998,753.66,0.0089054,12,0
127.61,4.7323,775.2,0.0095294,56,0
94.392,4.8143,667.53,0.010839,140,0
84.385,4.8491,667.53,0.0086469,14,0
74.199,4.8999,796.73,0.0085157,14,0
82.955,4.9538,753.66,0.010873,56,0
17.783,5.0795,2024.1,0.010335,15,0
0,5.1647,796.73,0.015336,54,0
9.4136,5.1305,753.66,0.0082921,54,0
12.958,5.1724,753.66,0.0081077,57,0
0,5.1307,2045.7,0.0081352,56,0
4.3025,5.0876,2131.8,0.0068646,54,0
73.494,5.0308,796.73,0.012595,12,1
577.79,4.9725,2196.4,0.02691,125,1
2363.8,4.8317,473.73,0.058946,41,1
3540.4,4.3348,495.26,0.076735,38,1
3554.1,4.3635,538.33,0.045408,36,1
2875.4,4.3846,495.26,0.04345,129,1
4384.6,4.2538,624.46,0.028303,26,1
4886.6,4.3489,538.33,0.03864,112,1
3232.9,4.2313,516.8,0.10868,33,1
3140.8,4.3396,495.26,0.16678,33,1
2530.1,4.648,495.26,0.11679,37,1
1773.2,4.7948,452.2,0.065435,48,1
1515.6,4.7269,753.66,0.051213,62,1
662.06,4.8445,710.6,0.029031,86,1
210.73,4.9734,2131.8,0.025542,153,1
18.825,4.9743,495.26,0.0094919,25,1
44.015,4.9011,516.8,0.0086933,120,1
44.943,4.9116,2239.5,0.0069313,44,0
42,4.9683,495.26,0.0036384,45,0
39.034,5.0445,753.66,0.0021026,67,0
41.184,5.3794,818.26,0.0014987,65,0
32.657,5.2361,495.26,0.00065615,129,0
35.544,5.2429,344.53,0.00057577,129,0
27.264,5.2277,107.67,0,34,0
26.835,5.2699,344.53,8.3761e-05,57,0
58.9,5.14,2239.5,0.0013751,7,0
48.125,4.9644,753.66,0.0038278,65,0
24.974,4.9721,732.13,0.0042383,62,0
3.9741,4.878,732.13,0.0051568,7,0
3.0188,4.77,732.13,0.0050408,7,0
0,4.7898,710.6,0.0046915,7,0
11.973,4.8288,732.13,0.0042843,7,0
22.566,4.8486,775.2,0.0049394,66,0
17.889,4.7812,710.6,0.0058213,67,0
28.833,4.785,710.6,0.005626,67,0
26.226,4.8328,753.66,0.0067376,7,0
13.193,4.8777,732.13,0.0064512,8,0
9.1025,4.8474,710.6,0.0091567,8,0
0,4.8253,710.6,0.0084475,7,0
1.0661,4.8846,710.6,0.0085069,9,0
