@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0084342,0.091652,0.0026233,82,0
0.0079201,0.088022,0.0081879,68,0
0.0025955,0.10163,0.0042561,72,0
0.0047806,0.11071,0.0036027,68,0
0.0094961,0.10708,0.0040139,77,0
0.0081482,0.11887,0.0049691,67,0
0.0017105,0.14247,0.0016585,26,0
0.0017048,0.16334,0.0020742,40,0
0.0019428,0.18058,0.0035761,90,0
0.0020831,0.17877,0.0024919,52,0
0.001837,0.16788,0.0027303,87,0
0.0030401,0.15064,0.0041409,33,0
0.003943,0.1225,0.0051736,14,0
0.0029997,0.11434,0.0034408,29,0
0.0019653,0.11887,0.0024159,67,0
0.0017791,0.14428,0.0015837,55,0
0.0013976,0.15699,0.0018684,99,0
0.0013933,0.13975,0.00089057,20,0
0.0012244,0.15789,0.0023741,130,0
0.00095641,0.17332,0.001301,148,0
0.0010964,0.16606,0.0013429,84,0
0.00094462,0.16697,0.0014665,125,0
0.00096295,0.17695,0.0011451,33,0
0.0009378,0.20599,0.0017144,109,0
0.00091146,0.21234,0.001626,91,0
0.0010315,0.18875,0.0016064,136,0
0.00099835,0.18693,0.0015569,134,0
0.00085889,0.19691,0.0017784,35,0
0.00078644,0.19691,0.001835,117,0
0.00069272,0.20962,0.0012561,46,0
0.00059605,0.22595,0.0020263,17,0
0.00075224,0.20417,0.0010445,41,0
0.00096975,0.1951,0.0022774,28,0
0.0017958,0.19873,0.0033036,31,0
0.0019691,0.18421,0.0035898,111,0
0.0013855,0.19147,0.003585,29,0
0.0012079,0.21416,0.0019145,81,0
0.0010408,0.23321,0.0014213,33,0
0.00094996,0.24592,0.0014921,45,0
0.005962,0.19419,0.012077,71,0
0.0059956,0.16788,0.0023844,82,0
0.0017552,0.15971,0.0027221,83,0
0.0022928,0.13158,0.0032045,49,0
0.0029331,0.14156,0.0041233,10,0
0.0026287,0.16606,0.0032593,25,0
0.0028196,0.16697,0.0020449,72,0
0.0049506,0.13158,0.0038546,151,0
0.0046674,0.14156,0.0056978,88,0
0.0030337,0.15608,0.0041499,27,0
0.002874,0.15699,0.0037695,39,0
0.0031404,0.16062,0.0044143,39,0
0.0027403,0.17332,0.0039577,48,0
0.0015538,0.17332,0.0019334,52,0
0.0013228,0.15971,0.0030028,51,0
0.0017682,0.14156,0.0012743,48,0
0.0024773,0.11162,0.0082935,45,0
0.0024259,0.1098,0.0012164,23,0
0.0017306,0.13521,0.0037636,49,0
0.0011916,0.15154,0.0016401,116,0
0.00096125,0.1343,0.0011269,109,0
0.0010618,0.10708,0.0013938,64,0
0.0011553,0.11071,0.001353,113,0
0.0010512,0.10799,0.00089333,37,0
