@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.30041,0.24219,0.03902,0.048094,4165,3919.1,4.9343,0.28898,452.2,323,1
0.31248,0.25427,0.049002,0.038113,6170.4,5924.5,4.8411,0.38218,473.73,344.53,1
0.37321,0.31499,0.038113,0.049002,4878.6,4632.8,4.8481,0.37514,452.2,323,1
0.45419,0.39598,0.030853,0.056261,8303.6,8057.8,4.821,0.40225,452.2,323,1
0.46634,0.40812,0.034483,0.052632,7573.8,7327.9,4.8637,0.35956,258.4,129.2,1
0.4405,0.38228,0.03539,0.051724,7815.9,7570,4.7009,0.52235,430.66,301.46,1
0.42163,0.36341,0.032668,0.054446,7006.6,6760.7,4.6821,0.54116,258.4,129.2,1
0.43015,0.37193,0.029038,0.058076,6432,6186.1,4.6904,0.53282,258.4,129.2,1
0.39619,0.33797,0.034483,0.052632,6096.2,5850.3,4.6031,0.62012,301.46,172.27,1
0.35171,0.29349,0.037205,0.049909,4894,4648.1,4.7373,0.48591,732.13,602.93,1
0.3612,0.30298,0.03176,0.055354,5070.3,4824.4,4.616,0.60729,430.66,301.46,1
0.33131,0.2731,0.03176,0.055354,4226.3,3980.4,4.4982,0.7251,430.66,301.46,1
0.27945,0.22123,0.045372,0.041742,3879.2,3633.3,5.012,0.21129,107.67,0,1
0.26067,0.20245,0.049002,0.038113,4079.6,3833.7,5.0898,0.13342,107.67,0,1
0.22182,0.1636,0.041742,0.045372,2377.8,2131.9,4.9735,0.24974,86.133,0,1
0.23379,0.17557,0.029038,0.058076,2668.9,2423,4.7737,0.44952,86.133,0,1
0.24957,0.19135,0.019964,0.067151,2268.4,2022.5,4.674,0.54928,107.67,21.533,1
0.20686,0.14864,0.029946,0.057169,1749.8,1503.9,4.8352,0.38801,107.67,21.533,1
0.17777,0.11956,0.03176,0.055354,1805.5,1559.6,4.6311,0.59219,279.93,193.8,1
0.21337,0.15516,0.026316,0.060799,1976.2,1730.3,4.6244,0.59888,710.6,624.46,1
0.21095,0.15273,0.028131,0.058984,2352.1,2106.2,4.7526,0.47064,107.67,21.533,1
0.21216,0.15394,0.055354,0.03176,2412.7,2166.9,5.1618,0.061493,107.67,21.533,1
0.22761,0.1694,0.075318,0.011797,4173.9,3928,5.3954,0,344.53,258.4,1
0.22586,0.16764,0.049002,0.038113,2843.7,2597.8,5.2084,0.18695,366.06,279.93,1
0.22126,0.16304,0.043557,0.043557,2659,2413.1,5.0989,0.29651,344.53,258.4,1
0.21018,0.15196,0.043557,0.043557,2232.7,1986.8,4.9352,0.46018,344.53,258.4,1
0.18751,0.1293,0.032668,0.054446,2050.7,1804.8,4.9115,0.48387,344.53,258.4,1
0.12706,0.068843,0.046279,0.040835,1169.2,923.3,5.0569,0.33854,366.06,279.93,1
0.09912,0.040902,0.062613,0.024501,662.43,416.55,5.2012,0.19419,646,559.86,1
0.10979,0.051571,0.04265,0.044465,1152.1,906.18,4.9446,0.4508,279.93,193.8,1
0.1136,0.055379,0.024501,0.062613,700.1,454.22,4.91,0.48544,107.67,21.533,1
0.099355,0.041137,0.043557,0.043557,708.6,462.72,4.9182,0.47719,258.4,172.27,1
0.080206,0.021989,0.048094,0.03902,589.39,343.51,4.9199,0.47553,258.4,172.27,0
0.068927,0.01071,0.041742,0.045372,396.82,150.94,5.0332,0.36223,366.06,279.93,0
0.058401,0.00018353,0.045372,0.041742,324.78,78.903,4.98,0.41538,279.93,193.8,0
0.057256,0,0.045372,0.041742,301.17,55.293,4.971,0.4244,258.4,172.27,0
0.059673,0.0024166,0.040835,0.046279,353.33,107.45,4.8658,0.52964,279.93,193.8,0
0.056333,0,0.029038,0.058076,261.07,15.192,4.8316,0.5638,279.93,193.8,0
0.049991,0,0.025408,0.061706,228.71,0,4.8482,0.5472,258.4,172.27,0
0.045485,0,0.034483,0.052632,147.72,0,4.9448,0.45064,258.4,172.27,0
0.049019,0.0035338,0.038113,0.049002,141.77,0,4.9856,0.40981,581.4,495.26,0
0.04193,0,0.045372,0.041742,157.48,15.714,4.9162,0.47918,258.4,172.27,0
0.031241,0,0.048094,0.03902,21.059,0,5.1063,0.28913,129.2,43.066,0
