@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE entropy 	REAL
@ATTRIBUTE domfreq 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.36345,0.4971,1.239,1
0.37771,0.52077,1.239,1
0.38683,0.52921,1.239,1
0.36866,0.50592,1.2488,1
0.34494,0.51938,0.49756,1
0.33968,0.54708,1.0049,1
0.32756,0.47129,0.75122,1
0.32151,0.47051,1.239,1
0.35322,0.52011,1.239,1
0.36438,0.55197,1.2293,1
0.36579,0.53527,0.49756,1
0.38602,0.60072,0.4878,1
0.39365,0.58095,0.47805,1
0.41361,0.57408,0.4878,1
0.39514,0.60117,0.47805,1
0.3085,0.40027,0.46829,1
0.30408,0.43028,0.45854,1
0.30266,0.44615,0.44878,1
0.22641,0.28958,0.21463,1
0.17403,0.20198,0.22439,1
0.15133,0.19232,0.69268,1
0.15158,0.12674,0.23415,1
0.14461,0.15734,0.7122,1
0.11279,0.083193,0.039024,0
0.094137,0.056272,0.0097561,0
0.10035,0.084465,0.029268,0
0.11065,0.060904,0.0097561,0
0.10377,0.079756,0.029268,0
0.10079,0.049913,0.019512,0
0.10197,0.07224,0.039024,0
0.1248,0.087809,0.0097561,0
0.13824,0.06914,0.029268,0
0.12223,0.063137,0.039024,0
0.091471,0.031305,0.039024,0
0.078674,0.03007,0.039024,0
0.077115,0.019129,0.039024,0
0.053714,0.011949,0.029268,0
0.063941,0.0066792,0.019512,0
0.074752,0.037042,0.0097561,0
0.11269,0.089176,0.44878,0
0.13114,0.12558,0.029268,0
0.16546,0.15309,0.51707,0
0.23241,0.3185,0.53659,0
0.26232,0.30611,0.54634,1
0.27487,0.26062,0.54634,1
0.27798,0.30271,0.53659,1
0.2618,0.23942,0.53659,1
0.23362,0.24252,0.27317,1
0.21877,0.21972,0.27317,1
0.33353,0.34469,0.79024,1
0.44005,0.51434,0.79024,1
0.44272,0.56972,0.8,1
0.45453,0.61706,1.0732,1
0.50685,0.66155,1.0732,1
0.52566,0.80341,1.0634,1
