@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,4-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute class {0,1}

@data
3055.4,4.4383,1
2941.8,4.3908,1
2856,4.3373,1
2993.9,4.4418,1
2809.7,4.5046,1
2895.9,4.3735,1
2921.7,4.2428,1
3195.5,4.3723,1
3245.2,4.2755,1
3263.2,4.3319,1
3208.1,4.341,1
3209.3,4.455,1
3283.7,4.3949,1
3416.8,4.2081,1
3494.6,4.186,1
3595.2,4.2047,1
3678.6,4.1135,1
3759.5,4.1754,1
3771.8,4.0702,1
3837.2,4.0699,1
3926.3,4.1636,1
3925.7,4.1969,1
3954.1,4.114,1
3807,3.9729,1
3530,3.8883,1
3354.9,3.8166,1
3355.3,3.8153,1
3542.3,3.7073,1
3856.3,3.5818,1
3258.7,3.6068,1
2710.8,3.8235,1
1808.1,3.9436,1
1566.6,4.0176,1
500.75,4.6093,1
85.431,5.2067,1
7.5169,5.5842,1
9.7042,5.4726,1
13.657,5.3426,1
0,4.8893,0
10.603,5.0396,0
11.41,5.059,0
14.938,5.2304,0
16.106,5.2076,0
22.965,5.3267,0
29.404,5.3532,0
36.511,5.4111,0
23.767,5.3195,0
0.46539,5.2701,0
36.161,5.5005,0
36.203,5.506,0
53.207,5.5979,0
53.944,5.6027,0
37.475,5.448,0
47.488,5.5361,0
48.389,5.5724,0
32.914,5.4623,0
23.124,5.5177,0
9.8566,5.404,0
0,5.2733,0
0,5.3844,0
0.11197,5.4849,0
22.578,5.4635,0
43.835,5.5562,0
44.711,5.4444,1
844.94,4.4831,1
1194.1,4.2947,1
1654,4.5452,1
1871,4.5869,1
1941.4,4.4681,1
2083.6,4.4769,1
2266.9,4.6019,1
2243.4,4.4312,1
2307.4,4.4811,1
2296.6,4.4092,1
2306.2,4.4948,1
2309.2,4.4819,1
2329.7,4.4214,1
2410.2,4.5705,1
2364.5,4.4632,1
2298.9,4.4344,1
2312.6,4.4985,1
