@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4,6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
56.607,172.27,0
39.26,172.27,0
33.726,64.6,0
34.12,64.6,0
37.885,64.6,0
40.631,21.533,0
129.46,667.53,1
831.41,710.6,1
655.48,775.2,1
650.02,559.86,1
1195.3,646,1
1530.1,710.6,1
1049.7,409.13,1
1122.4,430.66,1
1115.8,452.2,1
1311.4,452.2,1
1300.8,452.2,1
1293.6,452.2,1
1170.3,452.2,1
1007.4,452.2,1
912.07,430.66,1
785.28,430.66,1
764.96,409.13,1
767.15,409.13,1
724.34,753.66,1
658.73,732.13,1
802.97,689.06,1
797.7,667.53,1
975.11,646,1
888.92,624.46,1
738.28,581.4,1
531.03,538.33,1
454.36,495.26,1
367.54,473.73,1
354.61,473.73,1
356.3,473.73,1
343.45,473.73,1
644.51,473.73,1
587.47,452.2,1
427.31,473.73,1
467.39,473.73,1
410.88,495.26,1
407.36,495.26,1
388.52,495.26,1
415.24,495.26,1
427.62,495.26,1
406.58,516.8,1
405.18,516.8,1
447.96,516.8,1
494.9,516.8,1
452.37,538.33,1
441.96,538.33,1
402.67,538.33,1
579.07,559.86,1
981.84,646,1
2177.5,495.26,1
3929,538.33,1
3925.2,538.33,1
3246.4,516.8,1
4166.1,538.33,1
5155.4,581.4,1
7591.2,581.4,1
7333,581.4,1
6605.4,581.4,1
5752.9,559.86,1
4977.7,559.86,1
4526.4,538.33,1
3660.6,538.33,1
2969.5,516.8,1
2645.7,516.8,1
2106.3,495.26,1
1677.5,495.26,1
1890.2,473.73,1
1718.9,473.73,1
1585.7,473.73,1
1758.1,473.73,1
1925,473.73,1
1946.7,473.73,1
1910.8,473.73,1
1826.6,473.73,1
1706.8,452.2,1
1546,452.2,1
1434.9,452.2,1
1378.4,452.2,1
1463.1,452.2,1
1423.9,452.2,1
1873.3,452.2,1
1833.1,473.73,1
1960.5,473.73,1
2084.7,473.73,1
2099.5,473.73,1
2054.3,473.73,1
1990.9,473.73,1
1987.3,495.26,1
2102.9,495.26,1
2331.7,495.26,1
2403.8,495.26,1
2369.3,495.26,1
2459.4,495.26,1
2560.2,516.8,1
2816.6,516.8,1
3125.1,516.8,1
3206.3,516.8,1
3211.3,516.8,1
3308.3,516.8,1
3353.7,516.8,1
3371.9,516.8,1
3452.1,516.8,1
3555.7,516.8,1
3509.4,516.8,1
3379.8,516.8,1
3333.9,516.8,1
3263,495.26,1
2983.8,495.26,1
2910.1,495.26,1
3532.9,495.26,1
4155.4,495.26,1
4433.3,495.26,1
4665.7,495.26,1
4298.7,495.26,1
4040.6,473.73,1
3233.1,473.73,1
2112.9,452.2,1
1273.5,430.66,1
472.77,430.66,1
0,409.13,1
8.5001,495.26,1
21.506,452.2,0
31.65,430.66,0
31.448,473.73,0
38.168,495.26,0
37.351,430.66,0
40.25,452.2,0
40.711,495.26,0
42.109,2045.7,0
43.81,2174.9,0
46.084,581.4,0
46.494,2088.7,0
44.407,2131.8,0
43.882,21.533,0
44.371,2217.9,0
41.138,2239.5,0
37.329,21.533,0
38.141,64.6,0
48.98,107.67,0
50.598,43.066,0
55.392,129.2,0
54.174,21.533,0
53.252,21.533,0
56.44,3208.4,0
64.717,86.133,0
62.438,344.53,0
57.589,366.06,0
48.095,775.2,0
