@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
37.351,409.13,0
40.25,430.66,0
40.711,473.73,0
42.109,2024.1,0
43.81,2153.3,0
46.084,559.86,0
46.494,2067.2,0
44.407,2110.3,0
43.882,0,0
44.371,2196.4,0
41.138,2217.9,0
37.329,0,0
38.141,43.066,0
48.98,86.133,0
50.598,21.533,0
55.392,107.67,0
54.174,0,0
53.252,0,0
56.44,3186.9,0
64.717,64.6,0
62.438,323,0
57.589,344.53,0
48.095,753.66,0
39.809,775.2,0
49.481,753.66,0
43.777,732.13,0
25.794,732.13,0
56.938,775.2,0
36.343,775.2,0
65.197,753.66,0
41.868,753.66,0
21.867,753.66,0
6.8289,796.73,0
38.646,775.2,0
109.83,775.2,0
101.05,753.66,0
126.81,775.2,0
93.6,667.53,0
85.265,667.53,0
73.676,796.73,0
83.134,753.66,0
18.606,2024.1,0
0.46341,796.73,0
9.22,753.66,0
13.586,753.66,0
0,2045.7,0
4.4331,2131.8,0
73.596,796.73,1
578.4,2196.4,1
2363.3,473.73,1
3539.9,495.26,1
3553.2,538.33,1
2876.8,495.26,1
4385.3,624.46,1
4887,538.33,1
3232.7,516.8,1
3141.7,495.26,1
2528.5,495.26,1
1773.5,452.2,1
1516.6,753.66,1
661.6,710.6,1
210.58,2131.8,1
18.955,495.26,1
44.427,516.8,1
45.052,2239.5,0
41.834,495.26,0
38.284,753.66,0
39.902,818.26,0
30.385,0,0
35.028,344.53,0
24.866,107.67,0
25.748,0,0
59.359,2239.5,0
48.405,753.66,0
24.888,732.13,0
4.3931,732.13,0
3.6714,732.13,0
0,710.6,0
11.268,732.13,0
21.815,775.2,0
17.553,710.6,0
28.792,710.6,0
25.393,753.66,0
12.78,732.13,0
8.1306,710.6,0
0,710.6,0
1.9862,710.6,0
3.8731,689.06,0
2.1923,775.2,0
18.72,710.6,0
24.629,732.13,0
19.912,775.2,0
30.721,775.2,0
55.298,753.66,0
29.565,753.66,0
54.785,753.66,0
57.364,2067.2,0
66.881,753.66,0
56.232,0,0
52.683,86.133,0
49.199,366.06,0
