@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3,5-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy_min numeric
@attribute class {0,1}

@data
309.95,-0.2713,0
258.32,-0.10423,0
229.84,-0.20327,0
199.6,-0.21372,0
234.84,-0.31038,0
125.76,-0.29582,0
65.8,-0.2977,0
13.25,-0.31502,0
28.749,-0.41638,0
14.23,-0.37212,0
19.63,-0.40196,0
19.724,-0.68,0
47.468,-0.79273,0
4.6477,-0.61346,0
18.811,-0.63865,0
77.27,-0.92941,0
20.628,-0.63691,0
39.673,-0.59738,0
1.2768,-0.84174,0
128.13,-1.349,0
16.824,-0.89815,0
64.328,-1.0535,0
16.756,-0.78488,0
21.316,-0.99182,0
14.366,-0.83069,0
61.837,-1.2261,0
16.234,-0.9703,0
52.834,-1.1361,0
11.646,-0.84175,0
212.65,-1.8398,0
36.97,-0.6626,0
10.053,-0.92591,0
12.276,-0.92112,0
72.77,-1.2532,0
29.463,-0.99123,0
30.532,-0.71987,0
96.149,-1.2884,0
7.2222,-0.90452,0
23.711,-0.78456,0
8.6259,-0.842,0
39.723,-1.157,0
53.528,-1.0619,0
22.684,-0.82212,0
148.32,-1.4898,0
2.6965,-0.86092,0
122.41,-1.3661,0
14.645,-0.80809,0
20.027,-0.99654,0
156.77,-1.5468,0
32.257,-0.69872,0
71.579,-0.36814,0
9.5178,-0.78916,0
8.0997,-0.84721,0
3.5274,-0.92153,0
37.032,-1.0245,0
7.9279,-0.89055,0
10.251,-0.90467,0
8.6875,-0.80724,0
25.104,-0.68585,0
15.837,-0.88247,0
5.8181,-0.85044,0
9.1926,-0.84066,0
35.597,-0.71426,0
6.8363,-0.87194,0
34.324,-0.67024,0
17.389,-0.76265,0
16.547,-0.72944,0
5.0062,-0.88392,0
11.287,-0.75387,0
44.608,-0.54189,0
12.009,-0.88267,0
2.3708,-0.86448,0
49.707,-1.074,0
69.371,-1.1422,0
24.212,-0.76306,0
8.3292,-0.844,0
0.2115,-0.88128,0
71.173,-0.99869,0
16.181,-0.76275,0
27.101,-0.55846,0
6.9008,-0.66796,0
4.3212,-0.65789,0
19.147,-0.60431,0
19.286,-0.49448,0
0.87461,-0.66924,0
30.012,-0.82717,0
23.868,-0.62237,0
34.689,-0.89703,0
34.005,-0.70193,0
87.85,-1.2183,0
37.738,-0.67345,0
39.376,-1.0724,0
24.682,-0.73146,0
32.395,-1.1057,0
27.279,-0.69,0
5.6028,-0.77113,0
3.5563,-0.58251,0
43.484,-0.42538,0
87.981,-0.85326,0
36.231,-0.45148,0
31.53,-0.61491,0
56.148,-0.68272,0
11.105,-0.56089,0
35.654,-0.51036,0
13.886,-0.67166,0
0,-0.78628,0
9.6656,-0.78415,0
10.369,-0.76294,0
60.044,-1.0502,0
44.238,-0.58987,0
109.98,-0.98517,1
498.95,-0.99329,1
419.94,-1.0758,1
391.78,-0.70486,1
928.48,-1.0573,1
1106.7,-1.2225,1
