@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
0.2115,0,0
71.173,43.066,0
16.181,21.533,0
27.101,0,0
6.9008,21.533,0
4.3212,43.066,0
19.147,43.066,0
19.286,0,0
0.87461,21.533,0
30.012,43.066,0
23.868,21.533,0
34.689,0,0
34.005,21.533,0
87.85,43.066,0
37.738,43.066,0
39.376,0,0
24.682,21.533,0
32.395,21.533,0
27.279,0,0
5.6028,21.533,0
3.5563,43.066,0
43.484,21.533,0
87.981,21.533,0
36.231,0,0
31.53,43.066,0
56.148,21.533,0
11.105,0,0
35.654,21.533,0
13.886,43.066,0
0,21.533,0
9.6656,0,0
10.369,43.066,0
60.044,43.066,0
44.238,0,0
109.98,21.533,1
498.95,43.066,1
419.94,43.066,1
391.78,0,1
928.48,21.533,1
1106.7,43.066,1
722.94,43.066,1
786.43,0,1
785.46,430.66,1
926.46,430.66,1
969.6,430.66,1
898.74,0,1
781.39,0,1
747.99,43.066,1
668.9,43.066,1
562.43,0,1
495.9,21.533,1
508.1,43.066,1
473.19,43.066,1
428.9,0,1
528.92,43.066,1
504.51,43.066,1
591.82,0,1
550.5,0,1
525.3,43.066,1
357.1,43.066,1
408.09,0,1
294.75,0,1
258.28,43.066,1
287.09,21.533,1
252.1,21.533,1
439.48,21.533,1
436.7,43.066,1
263.99,21.533,1
364.91,0,1
254.62,21.533,1
297.65,43.066,1
278.96,0,1
384.65,43.066,1
373.46,43.066,1
298.21,43.066,1
333.92,0,1
290.67,0,1
359.15,43.066,1
298.4,43.066,1
270.97,0,1
458.47,21.533,1
418.72,43.066,1
587.95,43.066,1
1446,473.73,1
2856,516.8,1
3316.6,516.8,1
2423.1,495.26,1
3531.7,516.8,1
4521,559.86,1
7063.5,559.86,1
6794.4,559.86,1
5928.2,559.86,1
5358.1,538.33,1
4601.3,538.33,1
3744.9,516.8,1
2634.8,516.8,1
2081.4,495.26,1
1842.2,495.26,1
1367,473.73,1
1158.1,473.73,1
1361.4,452.2,1
1161,0,1
1082.2,452.2,1
1132.7,0,1
1345,452.2,1
1335.8,452.2,1
1234.6,452.2,1
1309.8,452.2,1
1277,430.66,1
1091.2,430.66,1
962.46,0,1
1001.8,43.066,1
1046.7,430.66,1
1015.6,430.66,1
1434,452.2,1
1353.5,452.2,1
1422.4,452.2,1
1332.9,452.2,1
1473.3,452.2,1
1421.4,452.2,1
1347.4,452.2,1
1326.3,473.73,1
1444.5,473.73,1
1532.9,473.73,1
1593.7,473.73,1
1615.8,473.73,1
1794.4,473.73,1
1796.8,495.26,1
2062.1,495.26,1
2266.6,495.26,1
2430.5,495.26,1
2336.6,495.26,1
