@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1805.5,1559.6,4.6311,0.59219,279.93,193.8,0.1475,0.10082,5,12,1
1976.2,1730.3,4.6244,0.59888,710.6,624.46,0.34301,0.29633,3,14,1
2352.1,2106.2,4.7526,0.47064,107.67,21.533,0.22891,0.18223,3,14,1
2412.7,2166.9,5.1618,0.061493,107.67,21.533,0.3125,0.26582,8,9,1
4173.9,3928,5.3954,0,344.53,258.4,0.34397,0.29729,10,7,1
2843.7,2597.8,5.2084,0.18695,366.06,279.93,0.49771,0.45103,3,14,1
2659,2413.1,5.0989,0.29651,344.53,258.4,0.62844,0.58176,2,15,1
2232.7,1986.8,4.9352,0.46018,344.53,258.4,0.85266,0.80597,1,16,1
2050.7,1804.8,4.9115,0.48387,344.53,258.4,0.85817,0.81149,1,16,1
1169.2,923.3,5.0569,0.33854,366.06,279.93,0.47974,0.43306,6,11,1
662.43,416.55,5.2012,0.19419,646,559.86,0.18673,0.14005,9,8,1
1152.1,906.18,4.9446,0.4508,279.93,193.8,0.25973,0.21305,6,11,1
700.1,454.22,4.91,0.48544,107.67,21.533,0.16867,0.12199,4,13,1
708.6,462.72,4.9182,0.47719,258.4,172.27,0.16793,0.12125,6,11,1
589.39,343.51,4.9199,0.47553,258.4,172.27,0.32632,0.27964,3,14,0
396.82,150.94,5.0332,0.36223,366.06,279.93,0.24895,0.20227,6,11,0
324.78,78.903,4.98,0.41538,279.93,193.8,0.088521,0.04184,7,10,0
301.17,55.293,4.971,0.4244,258.4,172.27,0.30397,0.25729,6,11,0
353.33,107.45,4.8658,0.52964,279.93,193.8,0.25726,0.21058,3,14,0
261.07,15.192,4.8316,0.5638,279.93,193.8,0.28844,0.24176,2,15,0
228.71,0,4.8482,0.5472,258.4,172.27,0.11426,0.067577,2,15,0
147.72,0,4.9448,0.45064,258.4,172.27,0.19686,0.15018,4,13,0
141.77,0,4.9856,0.40981,581.4,495.26,0.19457,0.14789,4,13,0
157.48,15.714,4.9162,0.47918,258.4,172.27,0.29062,0.24394,4,13,0
21.059,0,5.1063,0.28913,129.2,43.066,0.16631,0.11962,6,11,0
7.3432,0,5.1439,0.25149,107.67,21.533,0.12038,0.073696,6,11,0
69.931,62.588,5.0406,0.35485,559.86,473.73,0.36809,0.3214,2,15,0
96.855,89.512,4.9987,0.39667,301.46,215.33,0.24393,0.19725,3,14,0
33.385,26.041,5.1502,0.24523,258.4,172.27,0.26336,0.21668,5,12,0
41.644,34.301,5.0889,0.30648,387.6,301.46,0.12123,0.074544,6,11,0
85.978,78.635,5.0291,0.36626,150.73,64.6,0.23442,0.18774,7,10,0
39.545,32.202,5.1089,0.2865,279.93,193.8,0.12837,0.081689,6,11,0
14.84,7.4967,5.2044,0.19101,495.26,409.13,0.15527,0.10859,8,9,0
138.5,131.15,5.1532,0.24224,150.73,64.6,0.21022,0.16354,7,10,0
87.789,80.446,5.1125,0.28288,150.73,64.6,0.11802,0.071343,5,12,0
157.73,150.39,5.0154,0.38002,172.27,86.133,0.16779,0.12111,7,10,0
119.25,111.91,5.0236,0.3718,409.13,323,0.34642,0.29974,3,14,0
138.97,131.63,5.0065,0.3889,387.6,301.46,0.14888,0.1022,4,13,0
115.72,108.38,4.9514,0.44405,409.13,323,0.31924,0.27256,5,12,0
93.233,85.89,4.9948,0.40061,581.4,495.26,0.24592,0.19924,6,11,0
86.866,79.522,5.1967,0.19871,387.6,301.46,0.2154,0.16872,8,9,0
87.615,80.272,5.2008,0.19464,236.87,150.73,0.2115,0.16482,8,9,0
155,147.65,5.1494,0.24605,387.6,301.46,0.44029,0.39361,2,15,0
183.97,176.63,5.0336,0.36181,409.13,323,0.69489,0.64821,1,16,0
215.9,208.56,5.0861,0.30927,215.33,129.2,0.20132,0.15464,3,14,0
230.15,222.81,5.2147,0.18067,236.87,150.73,0.22228,0.1756,3,14,0
447.01,439.67,5.1927,0.20272,409.13,323,0.35162,0.30494,2,15,0
