@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.10776,0.076516,0.036298,0.050817,0.033142,0.023063,103,0
0.10911,0.077869,0.045372,0.041742,0.036659,0.02658,86,0
0.11356,0.082318,0.049909,0.037205,0.032081,0.022001,49,0
0.12235,0.091105,0.047187,0.039927,0.031657,0.021578,27,0
0.13213,0.10089,0.051724,0.03539,0.037687,0.027608,73,0
0.11324,0.082004,0.059891,0.027223,0.033871,0.023792,105,0
0.10802,0.076783,0.056261,0.030853,0.036112,0.026033,66,0
0.12806,0.096824,0.046279,0.040835,0.041814,0.031735,23,0
0.12944,0.0982,0.04265,0.044465,0.042414,0.032335,108,0
0.10818,0.076942,0.050817,0.036298,0.034394,0.024315,55,0
0.089572,0.058331,0.054446,0.032668,0.034155,0.024076,46,0
0.084183,0.052942,0.061706,0.025408,0.025703,0.015624,33,0
0.075823,0.044583,0.068058,0.019056,0.025116,0.015036,42,0
0.06697,0.035729,0.069873,0.017241,0.021258,0.011179,21,0
0.066938,0.035697,0.075318,0.011797,0.025628,0.015549,83,0
0.085588,0.054347,0.052632,0.034483,0.024438,0.014359,158,0
0.098476,0.067236,0.032668,0.054446,0.034785,0.024706,168,0
0.094824,0.063584,0.03902,0.048094,0.026459,0.01638,42,0
0.097548,0.066307,0.049909,0.037205,0.019926,0.0098473,42,0
0.096462,0.065221,0.065336,0.021779,0.041432,0.031353,66,0
0.090251,0.05901,0.062613,0.024501,0.028425,0.018346,48,0
0.094669,0.063428,0.054446,0.032668,0.027111,0.017032,49,0
0.083195,0.051954,0.057169,0.029946,0.030296,0.020217,109,0
0.069661,0.03842,0.049909,0.037205,0.01978,0.0097011,53,0
0.074778,0.043537,0.043557,0.043557,0.022346,0.012267,91,0
0.085428,0.054188,0.032668,0.054446,0.028166,0.018087,70,0
0.079871,0.04863,0.029946,0.057169,0.029503,0.019424,85,0
0.060619,0.029378,0.03539,0.051724,0.021088,0.011009,72,0
0.052386,0.021145,0.048094,0.03902,0.02059,0.010511,116,0
0.050722,0.019481,0.058076,0.029038,0.02616,0.016081,40,0
0.053574,0.022333,0.058984,0.028131,0.022512,0.012433,89,0
0.045216,0.013975,0.075318,0.011797,0.019929,0.0098495,144,0
