@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.49375,0.023593,1.5803,10,1
0.41327,0.023593,1.5357,10,1
0.38035,0.022686,1.4965,9,1
0.33357,0.021779,1.563,9,1
0.26812,0.021779,1.5743,9,1
0.23327,0.020871,1.4564,9,1
0.22246,0.024501,1.4504,9,1
0.2028,0.033575,1.3834,8,1
0.19564,0.038113,1.4194,15,1
0.21416,0.030853,1.4893,18,1
0.22605,0.021779,1.5146,8,1
0.22925,0.019964,1.4998,8,1
0.2262,0.019964,1.5052,8,1
0.21801,0.030853,1.4984,21,1
0.2046,0.039927,1.4857,40,1
0.18691,0.03902,1.4749,40,1
0.17576,0.044465,1.4462,40,1
0.17159,0.050817,1.4272,40,1
0.1768,0.047187,1.4811,40,1
0.18332,0.040835,1.4887,40,1
0.18806,0.056261,1.366,40,1
0.1986,0.061706,1.2128,31,1
0.21651,0.047187,1.3923,42,1
0.22845,0.048094,1.426,42,1
0.22602,0.066243,1.4065,42,1
0.22327,0.060799,1.3827,42,1
0.22146,0.041742,1.4046,43,1
0.22331,0.041742,1.4265,30,1
0.23824,0.043557,1.469,13,1
0.25741,0.04265,1.5098,9,1
0.26502,0.037205,1.4961,9,1
0.26419,0.038113,1.4659,9,1
0.26933,0.040835,1.4224,9,1
0.2857,0.037205,1.383,9,1
0.31951,0.036298,1.4269,15,1
0.35288,0.03176,1.4802,9,1
0.37365,0.024501,1.5219,10,1
0.38506,0.022686,1.5563,10,1
0.39694,0.022686,1.5766,10,1
0.40763,0.022686,1.5766,10,1
0.40942,0.022686,1.5707,9,1
0.41438,0.022686,1.5624,9,1
0.42649,0.022686,1.5615,9,1
0.43138,0.021779,1.5809,9,1
0.42439,0.022686,1.5893,9,1
0.41945,0.022686,1.5935,9,1
0.40581,0.021779,1.5922,9,1
