@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
753.88,4.9507,409.13,0.66494,10,752.24,0.67059,323,0.40834,3,0
817.23,4.8808,473.73,0.64832,8,815.59,0.60067,387.6,0.39171,1,0
1147.7,4.7563,516.8,0.46486,9,1146.1,0.47615,430.66,0.20826,2,0
1986.8,4.4819,516.8,0.7457,10,1985.2,0.20174,430.66,0.4891,3,0
2095.1,4.3903,516.8,0.79786,10,2093.4,0.1102,430.66,0.54126,3,0
1849,4.6652,516.8,0.59108,11,1847.3,0.38509,430.66,0.33448,4,0
855.02,4.9203,193.8,0.35692,17,853.38,0.6402,107.67,0.10032,10,0
713.98,4.9254,495.26,0.579,11,712.34,0.6453,409.13,0.3224,4,0
702.82,5.0126,516.8,0.5945,14,701.18,0.73254,430.66,0.3379,7,0
720.51,5.4597,344.53,0.3485,19,718.87,1.1796,258.4,0.091896,12,0
561.03,5.2089,409.13,0.44225,14,559.39,0.92881,323,0.18565,7,0
526.28,5.1975,538.33,0.41704,15,524.64,0.91735,452.2,0.16044,8,0
338.59,5.3001,473.73,0.48902,20,336.95,1.02,387.6,0.23241,13,0
607.53,5.0464,452.2,0.62176,10,605.9,0.76633,366.06,0.36516,3,0
609.24,5.2546,473.73,0.5947,9,607.6,0.97446,387.6,0.3381,2,0
884.22,5.3822,452.2,0.94953,8,882.58,1.1021,366.06,0.69293,1,0
673.4,5.2707,473.73,0.7401,8,671.76,0.99056,387.6,0.4835,1,0
368.6,5.4017,473.73,0.41627,14,366.96,1.1216,387.6,0.15967,7,0
433.46,5.3294,473.73,0.55716,12,431.82,1.0493,387.6,0.30056,5,0
615.55,5.2234,689.06,0.52753,13,613.91,0.94326,602.93,0.27093,6,0
713.28,5.2208,473.73,0.49039,15,711.65,0.94066,387.6,0.23379,8,0
473.6,5.3319,258.4,0.37751,18,471.97,1.0518,172.27,0.1209,11,0
829.83,5.2668,452.2,0.52716,22,828.19,0.98664,366.06,0.27056,15,0
925.87,5.2819,452.2,0.75331,15,924.23,1.0018,366.06,0.49671,8,0
705.39,5.2679,1055.1,0.58308,20,703.75,0.98775,968.99,0.32647,13,0
387.8,5.5011,1033.6,0.76521,21,386.17,1.221,947.46,0.50861,14,0
770.44,5.4677,430.66,0.55202,16,768.8,1.1876,344.53,0.29542,9,0
784.5,5.3008,430.66,0.84287,12,782.86,1.0207,344.53,0.58627,5,0
407.85,5.4709,409.13,0.44891,18,406.21,1.1908,323,0.1923,11,0
405.57,5.4724,710.6,0.466,14,403.93,1.1922,624.46,0.2094,7,0
320.74,5.4982,215.33,0.56622,24,319.1,1.2181,129.2,0.30962,17,0
213.02,5.5552,387.6,0.62921,25,211.38,1.2751,301.46,0.37261,18,0
114.85,5.7006,538.33,0.44025,29,113.21,1.4205,452.2,0.18365,22,0
195.72,5.5739,387.6,0.4492,37,194.09,1.2938,301.46,0.1926,30,0
295.54,5.55,753.66,0.40573,16,293.9,1.2699,667.53,0.14913,9,0
426.1,5.4369,710.6,0.57263,17,424.46,1.1568,624.46,0.31603,10,0
477.16,5.3296,409.13,0.60646,16,475.52,1.0495,323,0.34986,9,0
318.81,5.4919,279.93,0.43208,21,317.17,1.2118,193.8,0.17548,14,0
