@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.034749,0.061706,0.35065,28,0.01062,0.041742,0.10063,21,0
0.034479,0.067151,0.46111,24,0.01035,0.047187,0.21109,17,0
0.033872,0.066243,0.41294,21,0.0097432,0.046279,0.16291,14,0
0.028522,0.059891,0.33758,29,0.0043931,0.039927,0.087554,22,0
0.038485,0.050817,0.50411,27,0.014356,0.030853,0.25408,20,0
0.052006,0.034483,0.47213,18,0.027877,0.014519,0.22211,11,0
0.060716,0.038113,0.42929,24,0.036587,0.018149,0.17927,17,0
0.054234,0.054446,0.26344,19,0.030105,0.034483,0.013414,12,0
0.044913,0.052632,0.27157,23,0.020784,0.032668,0.021551,16,0
0.04473,0.045372,0.26994,20,0.020601,0.025408,0.019918,13,0
0.03945,0.045372,0.28501,27,0.015321,0.025408,0.034989,20,0
0.042355,0.048094,0.24443,24,0.018226,0.028131,0,17,0
0.047376,0.053539,0.2729,20,0.023247,0.033575,0.02847,13,0
0.045213,0.046279,0.42784,21,0.021084,0.026316,0.18341,14,0
0.043067,0.055354,0.43359,28,0.018938,0.03539,0.18917,21,0
0.041835,0.068966,0.44025,30,0.017706,0.049002,0.19582,23,0
0.04224,0.073503,0.35903,27,0.018111,0.053539,0.11461,20,0
0.044509,0.064428,0.36543,28,0.02038,0.044465,0.121,21,0
0.04489,0.058984,0.48663,32,0.020761,0.03902,0.2422,25,0
0.045016,0.065336,0.44369,24,0.020887,0.045372,0.19926,17,0
0.037895,0.084392,0.40555,26,0.013766,0.064428,0.16112,19,0
0.036997,0.07804,0.4204,30,0.012868,0.058076,0.17597,23,0
0.03773,0.068058,0.44007,34,0.013601,0.048094,0.19564,27,0
0.0361,0.07441,0.38939,31,0.011971,0.054446,0.14496,24,0
0.04606,0.068058,0.3241,32,0.021931,0.048094,0.079672,25,0
0.051892,0.068966,0.32796,31,0.027763,0.049002,0.083534,24,0
0.046874,0.068058,0.57571,24,0.022745,0.048094,0.33128,17,0
0.051143,0.055354,0.47053,22,0.027014,0.03539,0.2261,15,0
0.062801,0.048094,0.62609,17,0.038672,0.028131,0.38166,10,0
0.075789,0.048094,0.89769,8,0.05166,0.028131,0.65327,1,0
0.084307,0.03176,1.1275,8,0.060178,0.011797,0.88307,1,0
0.07809,0.029946,0.93699,8,0.053961,0.0099819,0.69257,1,0
0.069597,0.049002,0.55052,13,0.045468,0.029038,0.30609,6,0
0.079034,0.056261,0.82023,14,0.054905,0.036298,0.57581,7,0
0.081584,0.053539,0.73764,9,0.057455,0.033575,0.49321,2,0
0.070699,0.068058,0.67433,15,0.04657,0.048094,0.4299,8,0
