@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1.026,13,0.85225,5,0
0.74326,10,0.56947,2,0
1.1747,9,1.0009,1,0
1.3894,9,1.2156,1,0
1.2012,9,1.0274,1,0
0.83954,9,0.66575,1,0
0.96,13,0.78621,5,0
0.85972,8,0.68593,0,0
1.0148,9,0.84104,1,0
1.1204,8,0.94662,0,0
1.0484,8,0.87464,0,0
1.2059,8,1.0321,0,0
1.0313,8,0.85751,0,0
1.0374,8,0.86365,0,0
1.1441,8,0.97029,0,0
0.78219,8,0.6084,0,0
0.84458,10,0.67079,2,0
0.60273,16,0.42894,8,0
0.51576,15,0.34197,7,0
0.55167,10,0.37788,2,0
0.60966,14,0.43586,6,0
0.45107,22,0.27728,14,0
0.46144,27,0.28765,19,0
0.50898,16,0.33518,8,0
0.59676,10,0.42297,2,0
0.58494,9,0.41115,1,0
0.79858,14,0.62479,6,0
0.86292,16,0.68913,8,0
0.70638,12,0.53259,4,0
0.6147,13,0.44091,5,0
0.80223,13,0.62844,5,0
0.53764,13,0.36384,5,0
0.59347,19,0.41968,11,0
0.3758,18,0.20201,10,0
0.51529,20,0.3415,12,0
0.47153,21,0.29774,13,0
0.37902,21,0.20523,13,0
0.51386,17,0.34007,9,0
0.5481,11,0.37431,3,0
0.50175,12,0.32796,4,0
0.38871,15,0.21492,7,0
0.76408,18,0.59029,10,0
0.82689,11,0.6531,3,0
0.53197,10,0.35818,2,0
0.55837,10,0.38458,2,0
0.81115,19,0.63736,11,0
0.68825,18,0.51446,10,0
1.1181,8,0.9443,0,0
0.86619,7,0.6924,0,0
0.59213,15,0.41834,8,0
0.45533,18,0.28154,11,0
0.99547,9,0.82168,2,0
1.1528,9,0.979,2,0
0.79347,10,0.61968,3,0
0.71386,14,0.54007,7,0
0.58823,15,0.41444,8,0
0.42411,13,0.25032,6,0
0.47992,26,0.30613,19,0
0.58689,25,0.4131,18,0
0.77104,15,0.59725,8,0
0.97685,7,0.80306,0,0
1.3556,9,1.1818,2,0
0.8162,9,0.64241,2,0
0.71842,24,0.54463,17,0
0.30223,65,0.12844,58,0
0.43693,51,0.26314,44,0
0.43227,63,0.25848,56,0
0.44466,95,0.27087,88,0
0.40274,126,0.22895,119,0
0.40508,104,0.23129,97,0
0.50061,85,0.32682,78,0
0.65172,79,0.47793,72,0
0.53065,71,0.35686,64,0
0.66231,44,0.48851,37,0
0.55764,30,0.38385,23,0
0.60998,27,0.43619,20,0
0.57948,24,0.40568,17,0
0.42107,23,0.24728,16,0
0.63055,15,0.45676,8,0
0.55647,18,0.38268,11,0
0.5617,15,0.3879,8,0
0.68153,18,0.50774,11,0
0.65587,17,0.48208,10,0
0.49436,17,0.32057,10,0
0.80543,9,0.63164,2,0
1.2464,9,1.0726,2,0
1.1762,9,1.0024,2,0
0.8736,9,0.69981,2,0
0.98795,9,0.81416,2,0
0.91639,9,0.7426,2,0
0.96165,9,0.78786,2,0
0.56966,11,0.39587,4,0
0.89423,9,0.72044,2,0
0.96661,9,0.79282,2,0
0.95802,9,0.78423,2,0
0.64352,9,0.46973,2,0
0.45157,24,0.27778,17,0
0.73789,23,0.5641,16,0
0.62192,21,0.44813,14,0
0.64231,33,0.46852,26,0
0.43794,55,0.26415,48,0
0.49048,58,0.31669,51,0
0.49794,58,0.32415,51,0
0.59203,17,0.41824,10,1
0.64605,13,0.47226,6,1
0.858,9,0.68421,2,1
0.72517,12,0.55138,5,1
0.55003,14,0.37624,7,1
0.41715,14,0.24335,7,1
0.83405,13,0.66026,6,1
0.91151,11,0.73772,4,1
0.76372,23,0.58993,16,1
0.70017,15,0.52637,8,1
0.98661,9,0.81282,2,1
1.2184,9,1.0446,2,1
1.2905,10,1.1168,3,1
0.75816,9,0.58437,2,1
0.37447,28,0.20068,21,1
0.30572,28,0.13193,21,1
0.47747,27,0.30368,20,1
0.52231,27,0.34852,20,1
0.41864,30,0.24485,23,1
0.43059,24,0.2568,17,1
0.62693,22,0.45314,15,1
0.40515,11,0.23136,4,1
0.72374,12,0.54995,5,1
0.70911,12,0.53532,5,0
0.73517,12,0.56138,5,0
0.70827,12,0.53447,5,0
0.69757,11,0.52378,4,0
0.68679,7,0.513,0,0
0.78239,8,0.6086,1,0
0.69099,11,0.5172,4,0
0.55912,8,0.38533,1,0
0.55836,16,0.38457,9,0
0.51444,19,0.34065,12,0
0.4512,18,0.27741,11,0
0.41402,18,0.24022,11,0
0.70443,16,0.53064,9,0
0.88051,19,0.70672,12,0
0.86821,18,0.69442,11,0
0.61909,18,0.4453,11,0
0.71461,20,0.54082,13,0
0.83744,18,0.66365,11,0
0.10031,7,0,0,0
0.015302,5,0,0,0
