@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
587.19,4.1154,495.26,0.0071064,0,0,526.21,0.082886,409.13,0.0062959,0,0,1
257.66,3.9825,495.26,0.0024193,0,0,196.68,0,409.13,0.0016088,0,0,1
62.069,5.1885,473.73,0.0051232,0,0,1.0878,1.2061,387.6,0.0043127,0,0,1
45.756,5.0197,409.13,0.0025872,0,0,0,1.0372,323,0.0017767,0,0,1
56.417,5.0667,430.66,5.809e-05,0,0,10.661,1.0843,344.53,0,0,0,1
81.494,5.5236,430.66,0.00037019,0,0,35.738,1.5411,344.53,0.0003121,0,0,1
101.1,5.7299,452.2,0.0025863,0,0,55.341,1.7474,366.06,0.0025282,0,0,1
82.486,5.4281,452.2,0.0049656,0,0,36.73,1.4456,366.06,0.0049076,0,0,1
64.052,5.161,473.73,0.0038748,0,0,18.296,1.1785,387.6,0.0038167,0,0,0
59.678,5.1461,473.73,0.0021835,0,0,13.922,1.1637,387.6,0.0021254,0,0,0
67.915,5.4618,473.73,0.0036753,0,0,22.159,1.4794,387.6,0.0036173,0,0,0
95.105,6.1596,473.73,0.003271,0,0,49.349,2.1771,387.6,0.0032129,0,0,0
89.927,6.1937,2239.5,0.0064139,0,0,44.171,2.2112,2153.3,0.0063558,0,0,0
76.692,6.1607,473.73,0.0053362,0,0,30.936,2.1783,387.6,0.0052781,0,0,0
72.676,6.0324,473.73,0.0074631,0,0,26.92,2.0499,387.6,0.007405,0,0,0
69.087,6.1236,2002.6,0.0052054,0,0,23.331,2.1411,1916.5,0.0051473,0,0,0
64.349,6.2717,2304.1,0.0051295,0,0,18.593,2.2892,2217.9,0.0050714,0,0,0
70.347,6.267,2304.1,0.004962,0,0,24.591,2.2845,2217.9,0.0049039,0,0,0
64.989,6.2513,2325.6,0.0055974,0,0,19.233,2.2688,2239.5,0.0055393,0,0,0
63.447,6.3005,215.33,0.0035087,0,0,17.691,2.318,129.2,0.0034506,0,0,0
64.883,6.3054,2174.9,0.0029035,0,0,19.127,2.3229,2088.7,0.0028454,0,0,0
66.078,6.2506,1981.1,0.0046706,0,0,20.322,2.2682,1894.9,0.0046125,0,0,0
63.832,6.2242,559.86,0.0022832,0,0,18.076,2.2417,473.73,0.0022252,0,0,0
59.853,6.215,150.73,0.0019002,0,0,14.097,2.2325,64.6,0.0018421,0,0,0
62.535,6.2013,193.8,0.0025978,0,0,16.779,2.2188,107.67,0.0025397,0,0,0
65.693,6.359,559.86,0.0018858,0,0,19.937,2.3765,473.73,0.0018277,0,0,0
59.427,6.4181,538.33,0.0023821,0,0,13.671,2.4357,452.2,0.002324,0,0,0
67.484,6.4611,473.73,0.0013251,0,0,21.728,2.4786,387.6,0.001267,0,0,0
66.847,6.4797,301.46,0.002428,0,0,21.091,2.4972,215.33,0.0023699,0,0,0
60.578,6.4905,279.93,0.0017317,0,0,14.822,2.508,193.8,0.0016736,0,0,0
56.061,6.4429,150.73,0.0012584,0,0,10.305,2.4605,64.6,0.0012003,0,0,0
51.951,6.4003,366.06,0.00092492,0,0,6.1951,2.4178,279.93,0.00086683,0,0,0
58.073,6.3627,323,0.0011783,0,0,12.317,2.3802,236.87,0.0011202,0,0,0
61.164,6.4602,495.26,0.0013041,0,0,15.408,2.4777,409.13,0.001246,0,0,0
59.998,6.536,430.66,0.001524,0,0,14.242,2.5535,344.53,0.0014659,0,0,0
48.939,6.4799,409.13,0.0007125,0,0,3.1828,2.4974,323,0.00065441,0,0,0
50.599,6.3203,301.46,0.00054682,0,0,4.8425,2.3378,215.33,0.00048873,0,0,0
52.077,6.324,301.46,0.00072152,0,0,6.3213,2.3415,215.33,0.00066343,0,0,0
50.05,6.3726,301.46,0.001012,0,0,4.2944,2.3902,215.33,0.00095387,0,0,0
46.23,6.3911,21.533,0.0015837,0,0,0.47417,2.4086,0,0.0015256,0,0,0
48.415,6.3833,387.6,0.00089905,0,0,2.6585,2.4008,366.06,0.00084096,0,0,0
52.826,6.4087,215.33,0.00092615,0,0,7.0695,2.4263,193.8,0.00086806,0,0,0
57.945,6.4079,150.73,0.00087119,0,0,12.189,2.4254,129.2,0.0008131,0,0,0
52.721,6.4585,21.533,0.00042618,0,0,6.9651,2.476,0,0.00036809,0,0,0
52.686,6.3598,21.533,0.00098241,0,0,6.93,2.3774,0,0.00092432,0,0,0
50.732,6.387,236.87,0.0017719,0,0,4.9761,2.4046,215.33,0.0017138,0,0,0
53.659,6.3899,215.33,0.0023143,0,0,7.903,2.4074,193.8,0.0022562,0,0,0
54.795,6.4275,258.4,0.0020159,0,0,9.0388,2.445,236.87,0.0019579,0,0,0
58.065,6.3835,215.33,0.0029427,0,0,12.309,2.4011,193.8,0.0028846,0,0,0
67.6,6.4192,21.533,0.0031617,0,0,21.844,2.4367,0,0.0031036,0,0,0
95.883,6.6027,2368.7,0.0029922,0,0,50.127,2.6202,2347.1,0.0029341,0,0,0
78.187,6.5508,2368.7,0.0026124,0,0,32.431,2.5683,2347.1,0.0025543,0,0,0
78.107,6.5277,775.2,0.0030405,0,0,32.351,2.5452,753.66,0.0029824,0,0,0
101.39,6.6886,430.66,0.0017214,0,0,55.638,2.7061,409.13,0.0016633,0,0,0
88.389,6.5029,1485.8,0.0016343,0,0,42.633,2.5204,1464.3,0.0015762,0,0,0
86.395,6.5092,1485.8,0.0021784,0,0,40.639,2.5268,1464.3,0.0021203,0,0,0
89.638,6.425,2411.7,0.0024071,0,0,43.882,2.4425,2390.2,0.002349,0,0,0
108.56,6.537,1507.3,0.0039653,0,0,62.802,2.5545,1485.8,0.0039072,0,0,0
98.366,6.3885,2304.1,0.0039674,0,0,52.61,2.406,2282.5,0.0039094,0,0,0
81.524,6.3383,2045.7,0.0027767,0,0,35.768,2.3558,2024.1,0.0027186,0,0,0
73.988,6.0799,258.4,0.0036653,0,0,28.232,2.0975,236.87,0.0036072,0,0,0
70.77,5.6809,150.73,0.00025408,0,0,25.014,1.6984,129.2,0.00019599,0,0,0
59.594,5.8228,452.2,0.00035038,0,0,13.838,1.8403,430.66,0.00029229,0,0,0
73.048,6.1473,215.33,0.00078027,0,0,27.292,2.1649,193.8,0.00072218,0,0,0
53.156,5.8921,236.87,0.00044993,0,0,7.4002,1.9097,215.33,0.00039184,0,0,0
50.618,6.2318,193.8,0.00046607,0,0,4.8618,2.2494,172.27,0.00040798,0,0,0
62.722,6.4369,150.73,0.00070367,0,0,16.966,2.4544,129.2,0.00064557,0,0,0
