@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.072941,6,3,0.072804,6,3,1
0.064082,5,3,0.063945,5,3,1
0.032459,4,3,0.032322,4,3,1
0.042537,5,3,0.0424,5,3,1
0.029185,4,3,0.029048,4,3,1
0.037141,2,8,0.037004,2,8,1
0.061331,5,3,0.061194,5,3,1
0.14725,5,3,0.14711,5,3,1
0.14745,5,3,0.14731,5,3,1
0.09838,5,3,0.098243,5,3,1
0.087783,4,8,0.087646,4,8,1
0.047159,2,16,0.047022,2,16,1
0.040309,1,17,0.040172,1,17,1
0.012778,1,17,0.012641,1,17,1
0.0063024,0,0,0.0061654,0,0,1
0.0038553,0,0,0.0037183,0,0,0
0.0034497,0,0,0.0033127,0,0,0
0.0017324,0,0,0.0015955,0,0,0
0.0023932,0,0,0.0022563,0,0,0
0.00017293,0,0,3.6008e-05,0,0,0
0.00055471,0,0,0.00041778,0,0,0
0.00043149,0,0,0.00029457,0,0,0
0.00041736,0,0,0.00028044,0,0,0
0.022813,1,14,0.022676,1,14,0
0.012277,1,14,0.01214,1,14,0
0.030857,1,18,0.03072,1,18,0
0.029523,1,14,0.029386,1,14,0
0.029101,1,14,0.028964,1,14,0
0.028377,1,14,0.02824,1,14,0
0.028825,1,18,0.028688,1,18,0
0.025137,1,14,0.025,1,14,0
0.023875,1,14,0.023738,1,14,0
0.019603,1,14,0.019466,1,14,0
0.022669,1,18,0.022532,1,18,0
0.025087,1,18,0.02495,1,18,0
0.023566,1,17,0.023429,1,17,0
0.020013,1,18,0.019877,1,18,0
0.025223,1,18,0.025086,1,18,0
0.032218,1,17,0.032082,1,17,0
0.025096,1,17,0.024959,1,17,0
0.026454,1,18,0.026317,1,18,0
0.026983,1,17,0.026846,1,17,0
0.025877,1,17,0.02574,1,17,0
0.030453,1,18,0.030316,1,18,0
0.0050545,0,0,0.0049175,0,0,0
0.038885,1,18,0.038748,1,18,0
0.0010348,0,0,0.0008979,0,0,0
0.026705,1,21,0.026568,1,21,0
0.010149,1,17,0.010012,1,17,0
0.001876,0,0,0.0017391,0,0,0
0.0023368,0,0,0.0021999,0,0,0
0.0021013,0,0,0.0019644,0,0,0
0.00099874,0,0,0.00086181,0,0,0
0.0047479,0,0,0.004611,0,0,0
0.023336,1,17,0.023199,1,17,0
0.028725,1,21,0.028588,1,21,0
0.0027235,0,0,0.0025866,0,0,0
0.0004924,0,0,0.00035548,0,0,0
0.00087715,0,0,0.00074022,0,0,0
0.00078743,0,0,0.0006505,0,0,0
0.00072315,0,0,0.00058623,0,0,0
0.0024833,0,0,0.0023463,0,0,0
0.0087255,0,0,0.0085886,0,0,0
0.0075214,0,0,0.0073844,0,0,0
0.001277,0,0,0.00114,0,0,0
0.01749,1,17,0.017353,1,17,0
0.0020341,0,0,0.0018972,0,0,0
0.025316,1,19,0.025179,1,19,0
0.0058692,0,0,0.0057323,0,0,0
0.01869,1,18,0.018553,1,18,0
0.0024321,0,0,0.0022952,0,0,0
0.0065971,0,0,0.0064602,0,0,0
0.012211,1,17,0.012074,1,17,0
0.017068,1,17,0.016931,1,17,0
0.0027843,0,0,0.0026473,0,0,0
0.0018416,0,0,0.0017047,0,0,0
0.0026975,0,0,0.0025606,0,0,0
0.0021149,0,0,0.001978,0,0,0
0.0023679,0,0,0.002231,0,0,0
0.0026059,0,0,0.002469,0,0,0
0.001141,0,0,0.0010041,0,0,0
0.0022428,0,0,0.0021059,0,0,0
0.0019633,0,0,0.0018264,0,0,0
