@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11271,0.09205,68,1
0.12579,0.10513,68,1
0.13232,0.11166,69,1
0.144,0.12334,69,1
0.12884,0.10819,69,1
0.11265,0.091988,69,1
0.10931,0.088652,69,1
0.089651,0.068994,70,1
0.077021,0.056364,70,1
0.065691,0.045034,67,1
0.073974,0.053316,65,1
0.082473,0.061815,63,1
0.065675,0.045017,64,1
0.055266,0.034609,63,1
0.037774,0.017117,72,1
0.035896,0.015238,80,1
0.025778,0.0051206,179,1
0.021441,0.00078354,61,1
0.022065,0.0014073,71,1
0.021613,0.00095582,105,1
0.014663,0,163,0
0.015575,0.0009116,130,0
0.022194,0.0075307,104,0
0.021108,0.0064452,121,0
0.016546,0.0018832,105,0
0.015574,0.00091127,105,0
0.015955,0.0012913,159,0
0.032728,0.018065,72,0
0.028382,0.013719,52,0
0.041729,0.027065,48,0
0.034773,0.02011,72,0
0.037665,0.023002,66,0
0.04225,0.027587,70,0
0.029002,0.014339,69,0
0.027785,0.013122,71,0
0.030713,0.01605,60,0
0.0352,0.020536,62,0
0.025404,0.010741,57,0
0.037856,0.023193,79,0
0.026947,0.012284,33,0
0.030798,0.016134,36,0
0.021728,0.0070645,35,0
0.029374,0.014711,57,0
0.029281,0.014618,55,0
0.036159,0.021496,77,0
0.026193,0.011529,126,1
0.029792,0.015129,73,1
0.053777,0.039114,75,1
0.065389,0.050725,77,1
0.07874,0.064077,77,1
0.094455,0.079792,77,1
0.098105,0.083442,75,1
0.093121,0.078458,74,1
0.10189,0.087223,74,1
0.1094,0.094738,74,1
0.092254,0.077591,74,1
0.099445,0.084781,75,1
0.091105,0.076442,75,1
0.089829,0.075166,75,1
0.10504,0.090377,75,1
0.098938,0.084275,75,1
0.094102,0.079439,171,1
0.10603,0.091364,75,1
0.098331,0.083668,169,1
0.10042,0.085753,75,1
0.11984,0.10517,76,1
0.10915,0.094488,77,1
0.086379,0.071715,79,1
0.098465,0.083802,80,1
0.11234,0.09768,81,1
0.11003,0.095362,81,1
0.094411,0.079748,82,1
0.10041,0.085747,82,1
0.10658,0.091922,82,1
0.10455,0.08989,83,1
0.10811,0.093451,82,1
0.12032,0.10566,82,1
0.11673,0.10207,81,1
0.10028,0.085618,80,1
0.10942,0.094753,81,1
0.11367,0.099006,81,1
0.1064,0.091734,80,1
0.11443,0.099772,79,1
0.11201,0.097343,78,1
0.1114,0.096742,79,1
0.10702,0.092358,79,1
0.11305,0.098389,79,1
0.10082,0.086156,179,1
0.10031,0.085646,81,1
0.10077,0.086109,82,1
0.1041,0.089441,83,1
0.11029,0.095622,84,1
0.088861,0.074198,85,1
0.084094,0.069431,85,1
0.097834,0.08317,84,1
0.099695,0.085032,85,1
0.10418,0.089522,84,1
0.10159,0.086928,84,1
0.10507,0.090405,84,1
0.099936,0.085273,83,1
0.089372,0.074709,82,1
0.096412,0.081749,82,1
0.097633,0.08297,81,1
0.10354,0.088873,81,1
0.11843,0.10376,81,1
0.12357,0.10891,80,1
0.12044,0.10577,78,1
0.11941,0.10474,76,1
0.087198,0.072535,77,1
0.11577,0.10111,77,1
0.12201,0.10734,76,1
0.11197,0.097308,76,1
0.11439,0.099723,75,1
0.10186,0.087195,74,1
0.091873,0.07721,74,1
0.10079,0.086122,73,1
0.11605,0.10139,73,1
0.092313,0.07765,74,1
0.089592,0.074929,75,1
0.088981,0.074317,169,1
0.097881,0.083218,75,1
0.083949,0.069286,75,1
0.087053,0.07239,76,1
0.084968,0.070304,76,1
0.09819,0.083527,76,1
0.099291,0.084628,76,1
0.09409,0.079427,78,1
0.057502,0.042838,177,1
0.050277,0.035614,80,1
0.057886,0.043222,81,1
0.054439,0.039775,81,1
0.06103,0.046367,59,1
0.034046,0.019383,15,1
0.030274,0.015611,88,1
0.04282,0.028157,94,1
0.029964,0.015301,80,1
0.042638,0.027975,104,1
0.042372,0.027709,111,1
0.039455,0.024792,62,1
0.035873,0.02121,113,1
0.0445,0.029837,117,1
0.027828,0.013165,104,1
0.026659,0.011996,100,1
0.031753,0.01709,79,1
0.02514,0.010477,58,1
0.021705,0.0070422,129,1
0.02396,0.0092973,89,1
0.02073,0.0060672,71,1
0.051863,0.0372,105,1
0.042869,0.028206,62,1
0.038307,0.023643,129,1
0.039051,0.024388,67,1
0.035051,0.020388,74,1
0.039125,0.024461,103,1
0.03789,0.023227,102,1
0.025083,0.01042,66,1
0.022922,0.0082586,95,1
0.0326,0.017937,70,1
0.023673,0.0090095,33,1
