@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.2046,0.20368,0.039927,0.019964,1
0.18691,0.186,0.03902,0.019056,1
0.17576,0.17485,0.044465,0.024501,1
0.17159,0.17067,0.050817,0.030853,1
0.1768,0.17588,0.047187,0.027223,1
0.18332,0.18241,0.040835,0.020871,1
0.18806,0.18715,0.056261,0.036298,1
0.1986,0.19768,0.061706,0.041742,1
0.21651,0.21559,0.047187,0.027223,1
0.22845,0.22753,0.048094,0.028131,1
0.22602,0.22511,0.066243,0.046279,1
0.22327,0.22236,0.060799,0.040835,1
0.22146,0.22055,0.041742,0.021779,1
0.22331,0.22239,0.041742,0.021779,1
0.23824,0.23733,0.043557,0.023593,1
0.25741,0.2565,0.04265,0.022686,1
0.26502,0.2641,0.037205,0.017241,1
0.26419,0.26328,0.038113,0.018149,1
0.26933,0.26842,0.040835,0.020871,1
0.2857,0.28479,0.037205,0.017241,1
0.31951,0.3186,0.036298,0.016334,1
0.35288,0.35197,0.03176,0.011797,1
0.37365,0.37274,0.024501,0.0045372,1
0.38506,0.38415,0.022686,0.0027223,1
0.39694,0.39603,0.022686,0.0027223,1
0.40763,0.40672,0.022686,0.0027223,1
0.40942,0.40848,0.022686,0.0027223,1
0.41438,0.41343,0.022686,0.0027223,1
0.42649,0.42554,0.022686,0.0027223,1
0.43138,0.43043,0.021779,0.0018149,1
0.42439,0.42344,0.022686,0.0027223,1
0.41945,0.4185,0.022686,0.0027223,1
0.40581,0.40486,0.021779,0.0018149,1
0.3758,0.37485,0.021779,0.0018149,1
0.38348,0.38254,0.020871,0.00090744,1
0.45256,0.45161,0.020871,0.00090744,1
0.51516,0.51421,0.021779,0.0018149,1
0.54863,0.54769,0.021779,0.0018149,1
0.55986,0.55891,0.021779,0.0018149,1
0.54781,0.54686,0.020871,0.00090744,1
0.51489,0.51395,0.019964,0,1
0.43435,0.4334,0.019964,0,1
0.33188,0.33093,0.019964,0,1
0.22566,0.22471,0.019056,0,1
0.10372,0.10277,0.019056,0,1
0.047756,0.046807,0.019964,0.00090744,1
0.016091,0.015142,0.029038,0.0099819,1
0.0095852,0.0086361,0.044465,0.025408,0
0.0053007,0.0043516,0.066243,0.047187,0
0.0042166,0.0032675,0.080762,0.061706,0
0.0035966,0.0026475,0.085299,0.066243,0
0.0033306,0.0023815,0.075318,0.056261,0
0.0031914,0.0022423,0.083485,0.064428,0
0.0026196,0.0016705,0.10526,0.086207,0
0.0026685,0.0017194,0.10889,0.089837,0
0.0030148,0.0020657,0.10617,0.087114,0
0.0032517,0.0023026,0.098004,0.078947,0
0.0031302,0.0021811,0.094374,0.075318,0
0.0028703,0.0019211,0.097096,0.07804,0
0.0028213,0.0018722,0.11434,0.095281,0
0.0025787,0.0016296,0.12886,0.1098,0
0.0022392,0.0012901,0.12886,0.1098,0
0.0020446,0.0010955,0.14247,0.12341,0
0.0018195,0.00087042,0.14428,0.12523,0
0.0024318,0.0014827,0.1216,0.10254,0
0.0026383,0.0016891,0.14247,0.12341,0
0.0023087,0.0013596,0.18149,0.16243,0
0.0022808,0.0013317,0.17332,0.15426,0
0.0024646,0.0015155,0.16969,0.15064,0
0.0025887,0.0016395,0.17786,0.1588,0
0.0028751,0.001926,0.17151,0.15245,0
0.0028173,0.0018682,0.16788,0.14882,0
0.0079938,0.0070447,0.14791,0.12886,0
0.0090228,0.0080737,0.11071,0.091652,0
0.010502,0.0095531,0.084392,0.065336,0
0.01249,0.011541,0.10617,0.087114,0
0.010648,0.0096991,0.11252,0.093466,0
0.010559,0.0096104,0.089837,0.07078,0
0.0083667,0.0074176,0.14065,0.1216,0
0.012685,0.011736,0.14428,0.12523,0
0.018356,0.017406,0.084392,0.065336,0
0.019005,0.018056,0.087114,0.068058,0
0.01921,0.018261,0.086207,0.067151,0
0.020968,0.020019,0.066243,0.047187,0
0.026805,0.025856,0.049002,0.029946,0
0.033153,0.032203,0.03902,0.019964,0
0.035603,0.034654,0.039927,0.020871,0
0.037353,0.036404,0.03902,0.019964,0
0.037061,0.036111,0.03539,0.016334,0
0.034971,0.034022,0.036298,0.017241,0
0.033733,0.032783,0.040835,0.021779,0
0.032293,0.031344,0.045372,0.026316,0
0.029502,0.028553,0.063521,0.044465,0
0.024522,0.023573,0.075318,0.056261,0
0.020778,0.019829,0.090744,0.071688,0
0.022254,0.021305,0.089837,0.07078,0
0.02304,0.022091,0.073503,0.054446,0
0.024273,0.023278,0.073503,0.054446,0
0.035781,0.034787,0.075318,0.056261,1
0.092993,0.091999,0.07078,0.051724,1
0.20859,0.20752,0.058076,0.03902,1
0.3311,0.32999,0.03902,0.019964,1
0.32596,0.32451,0.029038,0.0099819,1
0.29456,0.29312,0.028131,0.0090744,1
0.38731,0.38586,0.026316,0.0072595,1
0.41005,0.40861,0.032668,0.013612,1
0.34953,0.34808,0.04265,0.023593,1
0.3078,0.30635,0.053539,0.034483,1
0.24992,0.24847,0.07441,0.055354,1
0.171,0.16955,0.078947,0.059891,1
0.14378,0.14234,0.057169,0.038113,1
0.10219,0.10052,0.062613,0.043557,1
0.044478,0.042806,0.072595,0.053539,1
0.022505,0.020833,0.059891,0.040835,1
0.013009,0.011338,0.060799,0.041742,1
0.0058822,0.0042105,0.077132,0.058076,0
0.0049467,0.003275,0.078947,0.059891,0
0.0033209,0.0016493,0.07804,0.058984,0
0.0024029,0.00058334,0.084392,0.065336,0
0.002284,0.0004645,0.091652,0.072595,0
0.002208,0.00038844,0.10799,0.088929,0
0.0018019,0,0.11343,0.094374,0
0.0017909,0,0.11706,0.098004,0
0.0086739,0.006883,0.10254,0.083485,0
0.014094,0.012304,0.10345,0.084392,0
0.017117,0.015326,0.092559,0.073503,0
0.019657,0.017866,0.053539,0.034483,0
0.021267,0.019476,0.044465,0.025408,0
0.021309,0.019518,0.043557,0.024501,0
