@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.33188,0.019964,1
0.22566,0.019056,1
0.10372,0.019056,1
0.047756,0.019964,1
0.016091,0.029038,1
0.0095852,0.044465,0
0.0053007,0.066243,0
0.0042166,0.080762,0
0.0035966,0.085299,0
0.0033306,0.075318,0
0.0031914,0.083485,0
0.0026196,0.10526,0
0.0026685,0.10889,0
0.0030148,0.10617,0
0.0032517,0.098004,0
0.0031302,0.094374,0
0.0028703,0.097096,0
0.0028213,0.11434,0
0.0025787,0.12886,0
0.0022392,0.12886,0
0.0020446,0.14247,0
0.0018195,0.14428,0
0.0024318,0.1216,0
0.0026383,0.14247,0
0.0023087,0.18149,0
0.0022808,0.17332,0
0.0024646,0.16969,0
0.0025887,0.17786,0
0.0028751,0.17151,0
0.0028173,0.16788,0
0.0079938,0.14791,0
0.0090228,0.11071,0
0.010502,0.084392,0
0.01249,0.10617,0
0.010648,0.11252,0
0.010559,0.089837,0
0.0083667,0.14065,0
0.012685,0.14428,0
0.018356,0.084392,0
0.019005,0.087114,0
0.01921,0.086207,0
0.020968,0.066243,0
0.026805,0.049002,0
0.033153,0.03902,0
0.035603,0.039927,0
0.037353,0.03902,0
0.037061,0.03539,0
0.034971,0.036298,0
0.033733,0.040835,0
0.032293,0.045372,0
0.029502,0.063521,0
0.024522,0.075318,0
0.020778,0.090744,0
0.022254,0.089837,0
0.02304,0.073503,0
0.024273,0.073503,0
0.035781,0.075318,1
0.092993,0.07078,1
0.20859,0.058076,1
0.3311,0.03902,1
0.32596,0.029038,1
