@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
1907.8,-4.9865,452.2,1.0032,39,93.836,0.11152,0,0.096266,9,1
1703.9,-4.9049,452.2,1.1788,40,-112.64,0.06821,0,0.13075,0.5,1
1682.6,-4.8501,452.2,1.2647,40,-38.5,0.06999,0,0.036859,0,1
1626.9,-4.7649,452.2,1.2526,40,8.8099,0.047306,0,-0.0031785,0,1
1700.2,-4.7555,452.2,1.2583,40,139.44,0.010582,10.767,0.034821,0,1
1905.8,-4.7437,473.73,1.3222,40,192.13,-0.03437,10.767,0.0067981,-8,1
2084.4,-4.8242,473.73,1.2719,24,175.88,0.020637,0,0.075286,-15,1
2257.5,-4.7024,473.73,1.4728,10,101.34,-0.015961,0,0.1071,-7.5,1
2287.1,-4.8561,473.73,1.4861,9,-92.593,0.036349,0,0.0093994,12,1
2072.4,-4.6297,473.73,1.4916,34,-25.721,0.10673,0,-0.0047952,2.5,1
2235.7,-4.6427,473.73,1.4765,14,23.709,0.028184,0,0.0060297,-12.5,1
2119.8,-4.5734,473.73,1.5036,9,-12.385,0.032106,10.767,0.022498,-2.5,1
2210.9,-4.5785,495.26,1.5215,9,69.394,-0.033603,10.767,-0.014904,0,1
2258.6,-4.6406,495.26,1.4738,9,79.072,-0.023981,0,-0.05468,0,1
2369.1,-4.6264,495.26,1.4122,9,176.56,-0.011742,0,-0.010722,0,1
2611.7,-4.6641,495.26,1.4524,9,171.63,-0.014977,0,0.0050556,0,1
2712.3,-4.6564,495.26,1.4223,9,73.518,-0.069897,0,-0.049448,0,1
2758.7,-4.8039,495.26,1.3535,9,-143.16,-0.087356,0,-0.10025,0,1
2426,-4.8311,495.26,1.2218,9,-5.1386,0.0005395,0,0.0096719,0,1
2748.4,-4.8028,495.26,1.3728,9,126.02,-0.0068595,0,0.037665,0,1
2678,-4.8448,495.26,1.2971,9,7.0322,-0.024939,0,-0.087906,0,1
2762.5,-4.8527,495.26,1.197,9,100.52,-0.0018345,-10.767,-0.0086806,0,1
2879.1,-4.8485,473.73,1.2798,9,63.919,0.037756,-10.767,0.073987,0,1
2890.3,-4.7771,473.73,1.345,9,-151.43,0.018404,0,0.029559,0,1
2576.2,-4.8117,473.73,1.3389,9,-135.31,-0.011925,0,-0.025806,0,1
2619.7,-4.801,473.73,1.2934,9,-22.982,-0.023634,0,-0.11015,0,1
2530.3,-4.8589,473.73,1.1186,9,470.31,-0.15951,0,-0.23157,2.5,1
3560.3,-5.12,473.73,0.83022,14,1231.9,-0.087485,0,-0.26015,7.5,1
4994.1,-5.0339,473.73,0.59826,24,235.06,0.047017,-10.767,-0.040691,0,1
4030.5,-5.026,452.2,0.74884,14,1266,0.032666,-10.767,0.18496,-6,1
7526.1,-4.9686,452.2,0.96818,12,1232.2,0.012753,-96.899,-0.080113,1.5,1
6494.9,-5.0005,258.4,0.58862,17,-57.134,0.056646,-10.767,-0.22191,2.5,1
7411.8,-4.8553,430.66,0.52436,17,-204.21,0.08056,0,-0.064454,-0.5,1
6086.4,-4.8394,258.4,0.45971,16,-857.53,0.0076555,-86.133,0.048772,-2.5,1
5696.8,-4.84,258.4,0.6219,12,-169.93,0.056267,21.533,0.047966,-1,1
5746.6,-4.7268,301.46,0.55564,14,-607.37,-0.01701,236.87,-0.080233,0.5,1
4482,-4.874,732.13,0.46143,13,-546.16,-0.03052,64.6,0.037486,-0.5,1
4654.2,-4.7879,430.66,0.63061,13,-511.23,0.066107,-150.73,0.091459,-2.5,1
3459.6,-4.7418,430.66,0.64435,8,-569.33,-0.16864,-161.5,-0.10649,6,1
3515.6,-5.1251,107.67,0.41764,25,67.303,-0.20718,-161.5,-0.17066,10,1
3594.2,-5.1561,107.67,0.30303,28,-793.5,0.00054483,150.73,-0.013294,2,1
1928.6,-5.124,409.13,0.39105,29,-605.41,0.12951,-10.767,0.0031088,-6.5,1
2383.4,-4.8971,86.133,0.30924,15,180.56,0.17113,-150.73,0.025942,-10,1
2289.7,-4.7818,107.67,0.44294,9,-344.68,-0.03244,10.767,0.065698,-1,1
1694,-4.962,107.67,0.44064,13,-403.74,-0.038442,86.133,-0.044885,2.5,1
1482.2,-4.8587,279.93,0.35317,14,85.547,0.089685,301.46,-0.0037289,0.5,1
1865.1,-4.7826,710.6,0.43318,14,398.03,0.007524,-86.133,0.027955,-1,1
2278.3,-4.8436,107.67,0.40908,12,50.302,-0.29722,-301.46,-0.088291,6,1
1965.7,-5.3771,107.67,0.2566,26,472.25,-0.38398,118.43,-0.027994,11.5,1
3222.8,-5.6116,344.53,0.35309,35,61.256,-0.025179,129.2,0.14344,-0.5,1
2088.2,-5.4274,366.06,0.54349,25,-556.64,0.16835,75.366,0.15955,-9,1
2109.5,-5.2749,495.26,0.67218,17,-133.3,0.15155,-10.767,0.15091,-7,1
1821.6,-5.1243,344.53,0.8453,11,-304.15,0.088375,-75.366,0.098787,-3.5,1
1501.2,-5.0981,344.53,0.86976,10,-523.51,-0.081929,10.767,-0.18968,6.5,1
774.59,-5.2882,366.06,0.46593,24,-565.9,-0.1761,150.73,-0.28099,12.5,1
369.39,-5.4503,646,0.30778,35,27.437,0.075746,-43.066,-0.030701,1,1
829.47,-5.1367,279.93,0.40453,26,97.411,0.19382,-269.17,0.060917,-8.5,1
564.21,-5.0627,107.67,0.42961,18,-153.44,0.019066,-10.767,0.00096203,-3.5,1
522.6,-5.0986,258.4,0.40645,19,-103.76,-0.066824,75.366,0.032904,0,1
356.69,-5.1963,258.4,0.49542,18,-163.06,-0.10821,53.833,0.13905,-1.5,0
196.48,-5.315,366.06,0.68456,16,-102.56,-0.03619,10.767,-0.089264,6.5,0
151.58,-5.2687,279.93,0.31689,31,-39.686,-0.0033269,-53.833,-0.097384,1.5,0
117.11,-5.3216,258.4,0.48979,19,12.304,0.052265,0,0.12629,-8,0
176.19,-5.1642,279.93,0.56947,15,0.61423,0.080069,10.767,0.06625,-5,0
118.34,-5.1615,279.93,0.62229,9,-52.446,-0.029466,-10.767,0.070303,-1.5,0
71.297,-5.2231,258.4,0.71007,12,-37.087,-0.062844,-10.767,-0.10764,5.5,0
44.165,-5.2872,258.4,0.40701,20,-25.945,-0.063784,161.5,-0.1037,1.5,0
19.407,-5.3507,581.4,0.50266,15,-9.2866,-0.014441,0,0.040448,-3,0
25.592,-5.3161,258.4,0.48791,14,-27.429,-0.034635,-226.1,-0.10008,5.5,0
-35.451,-5.42,129.2,0.30251,26,-51.176,-0.13797,-75.366,-0.059481,2.5,0
-76.76,-5.592,107.67,0.36895,19,1.7947,-0.019082,215.33,0.054063,-7,0
-31.862,-5.4581,559.86,0.41064,12,28.316,0.089338,96.899,-0.037395,0,0
-20.129,-5.4133,301.46,0.29416,19,-10.028,-0.040804,-150.73,-0.046858,6.5,0
-51.918,-5.5397,258.4,0.31692,25,-10.186,-0.030009,43.066,0.011635,5,0
-40.5,-5.4734,387.6,0.31743,29,25.139,0.080431,-53.833,0.10422,-1.5,0
