@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.095459,0.059891,-0.0036218,-0.012704,0
0.099095,0.049002,0.001313,-0.00090744,0
0.098085,0.058076,0.0031814,0.00045372,1
0.10546,0.049909,0.0015527,-0.0086207,1
0.10119,0.040835,-0.0028571,-0.003176,1
0.099743,0.043557,0.021459,-0.00090744,1
0.14411,0.03902,0.025075,-0.0027223,1
0.14989,0.038113,-0.013272,0.0027223,1
0.11756,0.044465,-0.015381,0.0018149,1
0.11913,0.041742,0.0031871,0.0013612,1
0.12394,0.047187,0.0080677,0.0027223,1
0.13527,0.047187,0.0076522,-0.0022686,1
0.13924,0.04265,0.0018678,-0.00090744,1
0.139,0.045372,-0.005943,0.0018149,1
0.12736,0.046279,-0.016918,0.0013612,1
0.10517,0.048094,-0.010916,0.00090744,1
0.10552,0.048094,0.0025421,0.0027223,1
0.11025,0.053539,-0.00049148,0.0063521,1
0.10454,0.060799,-0.0062281,0.0013612,1
0.097794,0.056261,-0.0044256,-0.0036298,1
0.09569,0.053539,0.0010134,-0.0054446,1
0.099821,0.045372,0.0097128,-0.0086207,1
0.11512,0.036298,0.010955,-0.0058984,1
0.12173,0.033575,0.0020306,-0.0040835,1
0.11918,0.028131,-0.0022848,-0.00090744,1
0.11716,0.03176,-0.0073924,0.0099819,1
0.10439,0.048094,-0.014162,0.011343,1
0.088837,0.054446,-0.008667,-0.00090744,1
0.087058,0.046279,-0.00041304,-0.0045372,1
0.088011,0.045372,-0.00064702,0.00090744,1
0.085764,0.048094,0.00063971,0.0027223,1
0.08929,0.050817,0.0014228,0,1
0.08861,0.048094,-0.0012094,-0.0022686,1
0.086871,0.046279,-0.00084433,-0.00090744,1
0.086921,0.046279,-0.0044646,0.0013612,1
0.077942,0.049002,-0.0074995,0.0013612,1
0.071922,0.049002,-0.0031982,0,1
0.071546,0.049002,0.0042839,0.00045372,1
0.08049,0.049909,0.0078682,-0.0040835,1
0.087282,0.040835,0.0026228,-0.0045372,1
0.085735,0.040835,-0.0014839,0.0027223,1
0.084314,0.046279,-0.00067747,-0.00090744,1
0.08438,0.03902,0.0023894,-0.0022686,1
0.089093,0.041742,0.0016074,0.0054446,1
0.087595,0.049909,-0.0017134,0.00045372,1
0.085666,0.04265,-0.003431,-0.0018149,1
0.080733,0.046279,-0.0032666,0.01225,1
0.079133,0.067151,0.0044401,0.01588,1
0.089613,0.07804,0.010166,-0.0036298,1
