@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
4072.4,-3.4359,495.26,0.0053114,0,0,1
4348.1,-3.4347,495.26,0.0083327,0,0,1
4587.5,-3.4931,495.26,0.0078222,0,0,1
4213.7,-3.4551,495.26,0.013585,1,18,1
3981.5,-3.3279,473.73,0.01508,1,18,1
3162.5,-3.4305,473.73,0.008357,0,0,1
2071.4,-3.2825,452.2,0.010404,1,13,1
1237.2,-3.4668,430.66,0.0088176,0,0,1
436.2,-3.9192,430.66,0.0070811,0,0,1
-33.269,-4.8807,409.13,0.001593,0,0,1
-44.202,-4.8196,495.26,0.00013692,0,0,1
-60.329,-5.1596,452.2,0.00070633,0,0,0
-68.992,-5.8963,430.66,0.00035126,0,0,0
-70.736,-5.754,473.73,0.0005078,0,0,0
-77.262,-6.1644,495.26,0.00072721,0,0,0
-73.627,-5.9444,430.66,0.0021144,0,0,0
-76.321,-6.029,452.2,0.0056771,0,0,0
-78.026,-6.2293,2110.3,0.0037956,0,0,0
