@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.51421,0.021779,1.7325,2,1
0.54769,0.021779,1.7174,2,1
0.55891,0.021779,1.7335,2,1
0.54686,0.020871,1.7491,2,1
0.51395,0.019964,1.7816,2,1
0.4334,0.019964,1.7391,2,1
0.33093,0.019964,1.7383,2,1
0.22471,0.019056,1.6447,2,1
0.10277,0.019056,1.5561,1,1
0.046807,0.019964,1.1595,2,1
0.015142,0.029038,1.5203,2,1
0.0086361,0.044465,1.5644,2,0
0.0043516,0.066243,1.2419,2,0
0.0032675,0.080762,1.4554,2,0
0.0026475,0.085299,0.96703,3,0
0.0023815,0.075318,0.98746,3,0
0.0022423,0.083485,0.80319,8,0
0.0016705,0.10526,0.45915,8,0
0.0017194,0.10889,0.51629,8,0
0.0020657,0.10617,0.36002,11,0
0.0023026,0.098004,0.20534,10,0
0.0021811,0.094374,0.37303,8,0
0.0019211,0.097096,0.42767,8,0
0.0018722,0.11434,0.42793,8,0
0.0016296,0.12886,0.33672,8,0
0.0012901,0.12886,0.33024,9,0
0.0010955,0.14247,0.35914,11,0
0.00087042,0.14428,0.23265,18,0
0.0014827,0.1216,0.11009,15,0
0.0016891,0.14247,0.11617,18,0
0.0013596,0.18149,0.14463,20,0
0.0013317,0.17332,0.21884,18,0
0.0015155,0.16969,0.17107,20,0
0.0016395,0.17786,0.15972,20,0
0.001926,0.17151,0.19075,20,0
0.0018682,0.16788,0.25109,19,0
0.0070447,0.14791,0.20857,6,0
0.0080737,0.11071,0.42791,3,0
0.0095531,0.084392,0.80551,3,0
0.011541,0.10617,0.44864,3,0
0.0096991,0.11252,0.2423,4,0
0.0096104,0.089837,0.57303,3,0
0.0074176,0.14065,0.50182,3,0
0.011736,0.14428,0.49374,3,0
0.017406,0.084392,0.55855,3,0
0.018056,0.087114,0.47621,3,0
0.018261,0.086207,0.32501,3,0
0.020019,0.066243,0.40298,5,0
0.025856,0.049002,0.495,3,0
0.032203,0.03902,0.59341,3,0
0.034654,0.039927,0.59424,3,0
0.036404,0.03902,0.66576,3,0
0.036111,0.03539,0.3052,4,0
0.034022,0.036298,0.30599,6,0
0.032783,0.040835,0.48823,3,0
0.031344,0.045372,0.63807,4,0
0.028553,0.063521,0.39088,8,0
0.023573,0.075318,0.45878,7,0
0.019829,0.090744,0.43947,5,0
0.021305,0.089837,0.36601,7,0
0.022091,0.073503,0.3975,8,0
0.023278,0.073503,0.31893,8,0
0.034787,0.075318,0.42339,7,1
0.091999,0.07078,0.57397,7,1
0.20752,0.058076,0.94369,2,1
0.32999,0.03902,1.4767,2,1
0.32451,0.029038,1.319,2,1
0.29312,0.028131,0.98168,2,1
0.38586,0.026316,0.88689,3,1
0.40861,0.032668,0.98278,2,1
0.34808,0.04265,1.4054,3,1
0.30635,0.053539,1.4729,2,1
0.24847,0.07441,1.2852,3,1
0.16955,0.078947,0.76204,7,1
0.14234,0.057169,0.61255,8,1
0.10052,0.062613,0.87414,3,1
0.042806,0.072595,0.33356,9,1
0.020833,0.059891,0.40943,7,1
0.011338,0.060799,0.76712,4,1
0.0042105,0.077132,0.66502,9,0
0.003275,0.078947,0.61578,9,0
0.0016493,0.07804,0.45544,8,0
0.00058334,0.084392,0.34924,8,0
0.0004645,0.091652,0.4175,7,0
0.00038844,0.10799,0.39504,3,0
0,0.11343,0.21818,19,0
0,0.11706,0.13426,30,0
0.006883,0.10254,0.45591,6,0
0.012304,0.10345,0.3082,6,0
0.015326,0.092559,0.3185,7,0
0.017866,0.053539,0.47956,8,0
0.019476,0.044465,0.59056,4,0
0.019518,0.043557,0.58279,5,0
0.019095,0.044465,0.58745,6,0
0.018675,0.051724,0.62215,6,0
0.017685,0.060799,0.59546,6,0
0.016508,0.051724,0.5299,6,0
0.015993,0.049909,0.39031,8,0
0.016439,0.049909,0.50167,6,0
0.017861,0.049909,0.67133,3,0
0.018771,0.046279,0.68484,3,0
0.019431,0.037205,0.6841,3,0
0.021825,0.045372,0.45474,3,0
0.020624,0.050817,0.4265,3,0
0.01654,0.049909,0.39312,3,0
0.014495,0.056261,0.40487,3,0
0.011352,0.066243,0.54777,3,0
0.012569,0.07078,0.53347,9,0
0.014672,0.096189,0.46403,7,0
0.010476,0.099819,0.54865,8,0
0.0039217,0.085299,0.59946,3,0
0.009417,0.088929,0.54583,7,0
0.0092919,0.1225,0.55829,8,0
0.00094459,0.14338,0.30491,16,0
0.00079689,0.14701,0.21369,17,0
0.00074603,0.14065,0.11747,11,0
0.0010716,0.1098,0.089275,12,0
0.0055531,0.098911,0.38432,9,0
0.0056125,0.08167,0.39447,7,0
0.004992,0.080762,0.34629,8,0
0.0046685,0.10889,0.41746,8,0
0,0.13975,0.11762,24,0
0,0.16334,0.20319,36,0
0,0.1588,0.27278,38,0
4.5809e-05,0.1588,0.15297,38,0
0.00025315,0.14519,0.11207,44,0
0.00073441,0.13975,0.063822,32,0
0.00071559,0.17151,0.098168,33,0
0.001223,0.16697,0.14882,14,0
0.0045946,0.12795,0.34101,8,0
0.0085213,0.10073,0.266,7,0
0.0079771,0.093466,0.4024,5,0
0.0084342,0.091652,0.29738,3,0
0.0079201,0.088022,0.47074,3,0
0.0025955,0.10163,0.29491,7,0
0.0047806,0.11071,0.42854,4,0
0.0094961,0.10708,0.41661,4,0
0.0081482,0.11887,0.43943,4,0
0.0017105,0.14247,0.095143,21,0
0.0017048,0.16334,0.13534,19,0
0.0019428,0.18058,0.15677,15,0
0.0020831,0.17877,0.11422,17,0
0.001837,0.16788,0.10955,21,0
0.0030401,0.15064,0.38551,13,0
0.003943,0.1225,0.27249,7,0
0.0029997,0.11434,0.10871,10,0
0.0019653,0.11887,0.2942,7,0
0.0017791,0.14428,0.057348,19,0
0.0013976,0.15699,0.16011,18,0
0.0013933,0.13975,0.064407,18,0
0.0012244,0.15789,0.10428,20,0
0.00095641,0.17332,0.12465,18,0
0.0010964,0.16606,0.10839,18,0
0.00094462,0.16697,0.13441,20,0
0.00096295,0.17695,0.085736,27,0
0.0009378,0.20599,0.075811,23,0
0.00091146,0.21234,0.072669,24,0
0.0010315,0.18875,0.092449,22,0
0.00099835,0.18693,0.22417,23,0
0.00085889,0.19691,0.18228,26,0
0.00078644,0.19691,0.087968,23,0
0.00069272,0.20962,0.1541,27,0
0.00059605,0.22595,0.122,20,0
0.00075224,0.20417,0.055553,25,0
0.00096975,0.1951,0.11569,20,0
0.0017958,0.19873,0.12195,21,0
0.0019691,0.18421,0.1396,25,0
0.0013855,0.19147,0.12579,18,0
0.0012079,0.21416,0.13056,21,0
0.0010408,0.23321,0.058487,35,0
0.00094996,0.24592,0.066392,31,0
0.005962,0.19419,0.45807,8,0
0.0059956,0.16788,0.47721,9,0
0.0017552,0.15971,0.29636,9,0
0.0022928,0.13158,0.30442,9,0
0.0029331,0.14156,0.24785,8,0
0.0026287,0.16606,0.2982,9,0
0.0028196,0.16697,0.45685,9,0
0.0049506,0.13158,0.22814,10,0
0.0046674,0.14156,0.26525,11,0
0.0030337,0.15608,0.17159,13,0
0.002874,0.15699,0.21398,13,0
0.0031404,0.16062,0.34184,10,0
0.0027403,0.17332,0.49374,8,0
0.0015538,0.17332,0.1807,20,0
0.0013228,0.15971,0.25764,8,0
0.0017682,0.14156,0.40429,7,0
0.0024773,0.11162,0.87587,6,0
0.0024259,0.1098,0.54422,6,0
0.0017306,0.13521,0.6039,5,0
0.0011916,0.15154,0.3195,13,0
0.00096125,0.1343,0.092663,30,0
0.0010618,0.10708,0.34103,13,0
0.0011553,0.11071,0.21622,16,0
0.0010512,0.10799,0.1638,10,0
0.00095723,0.093466,0.57031,7,0
0.000817,0.096189,0.074884,13,0
0.00079255,0.10073,0.23654,17,0
0.00055789,0.14428,0.22617,32,0
0.0067867,0.14973,0.10047,6,0
0.018188,0.07441,0.17548,9,1
0.026567,0.052632,0.19531,8,1
0.033725,0.056261,0.31858,4,1
0.042734,0.052632,0.34643,4,1
0.054386,0.047187,0.39456,3,1
0.071638,0.032668,0.67762,3,1
0.079409,0.033575,1.0366,3,1
0.06448,0.043557,0.50164,3,1
0.051451,0.043557,1.2061,5,1
0.06108,0.030853,1.2412,3,1
0.090983,0.022686,1.5081,2,1
0.12199,0.022686,1.6031,2,1
0.10989,0.024501,1.5345,2,1
0.060627,0.068058,1.3306,2,1
