@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0057256,55,0
0.0083766,54,0
0.0037024,124,0
0.0054646,55,0
0.0048755,55,0
0.0083837,60,0
0.0079889,62,0
0.0065112,60,0
0.0074025,60,0
0.0085033,14,0
0.0085795,12,0
0.0092795,56,0
0.010612,140,0
0.0083519,14,0
0.008368,14,0
0.010462,56,0
0.010026,15,0
0.015298,54,0
0.0080338,54,0
0.008176,57,0
0.0079045,56,0
0.0067405,54,0
0.012598,12,1
0.02719,125,1
0.05923,41,1
0.07722,38,1
0.045571,36,1
0.043841,129,1
0.0287,26,1
0.038926,112,1
0.10875,33,1
0.16704,33,1
0.11713,37,1
0.065656,48,1
0.051463,62,1
0.028899,86,1
0.025641,153,1
0.0095258,25,1
0.0086722,120,1
0.0071364,44,0
0.0033922,44,0
0.0019838,121,0
0.0013324,65,0
0.0010918,134,0
0.00077097,129,0
0.00011589,34,0
0.00041555,57,0
0.0015059,7,0
0.0041522,65,0
0.0044449,62,0
0.0053987,7,0
0.0055549,66,0
0.005107,7,0
0.0044577,7,0
0.0047329,66,0
0.0059198,67,0
0.0055281,67,0
0.0069842,7,0
0.0067628,8,0
0.0093979,8,0
0.0086594,7,0
0.0086819,9,0
0.0098936,7,0
0.010735,7,0
0.010365,9,0
0.0098982,9,0
0.008676,7,0
0.0092034,8,0
0.0048556,65,0
0.011234,11,0
0.0029699,116,0
0.0070139,9,0
0.0052558,10,0
0.0026767,53,0
0.0013153,52,0
0.00136,61,0
0.00082543,69,0
0.00030879,6,0
0.0069162,11,0
0.0049276,11,0
0.0015306,49,0
0,52,0
0.00035845,120,0
0.0003166,111,0
9.7567e-05,101,0
8.5272e-05,44,0
0.0004793,29,0
0.00027955,45,0
0.0006439,54,0
0.0073316,9,0
0.002399,74,0
0.0092943,67,0
0.0024492,82,0
0.0079949,68,0
0.004412,72,0
0.0038516,67,0
0.0043192,77,0
0.0059137,67,0
0.0017296,158,0
0.0029453,40,0
0.0032478,90,0
0.002527,52,0
0.0031169,87,0
0.0040793,33,0
0.0055304,13,0
0.0039149,43,0
0.0030948,111,0
0.0015916,55,0
0.0022327,99,0
0.0011324,93,0
0.0020899,54,0
0.0015948,148,0
0.0014233,84,0
0.0012676,125,0
0.0013453,33,0
0.0017989,109,0
0.0018594,91,0
0.0014919,136,0
0.0014245,134,0
0.0015879,100,0
0.0019239,117,0
0.0018797,46,0
0.0021648,17,0
0.0012111,41,0
0.0025432,28,0
0.0031238,31,0
0.0037108,111,0
0.0034629,29,0
0.0019656,81,0
0.0016415,33,0
0.00117,45,0
0.012567,71,0
0.0024821,82,0
0.0033138,83,0
0.0040081,49,0
0.0044953,10,0
0.0033752,25,0
0.0024893,28,0
0.0040201,151,0
0.0060152,87,0
0.0045393,69,0
0.0035541,86,0
0.0043859,63,0
0.0035295,48,0
0.0017697,52,0
0.0026194,51,0
0.0014732,48,0
0.0087625,44,0
0.0017173,23,0
0.0040651,49,0
0.0020682,96,0
0.0011447,109,0
0.0016011,134,0
0.0015208,112,0
0.00074877,37,0
0.0016201,52,0
0.00058414,33,0
0.00032482,126,0
0.00070337,109,0
0.00046549,23,0
0.0051513,26,1
0.0062104,27,1
0.012579,10,1
