@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0012973,0.16969,0.0029427,0,0,0.00038191,0.15154,0.0028846,0,0,0
0.001434,0.18784,0.0031617,0,0,0.00051866,0.16969,0.0031036,0,0,0
0.0017267,0.20871,0.0029922,0,0,0.0008113,0.19056,0.0029341,0,0,0
0.0017151,0.21234,0.0026124,0,0,0.0007997,0.19419,0.0025543,0,0,0
0.0015268,0.21688,0.0030405,0,0,0.00061142,0.19873,0.0029824,0,0,0
0.001749,0.20871,0.0017214,0,0,0.00083367,0.19056,0.0016633,0,0,0
0.0019546,0.18784,0.0016343,0,0,0.0010392,0.16969,0.0015762,0,0,0
0.0019513,0.19782,0.0021784,0,0,0.0010359,0.17967,0.0021203,0,0,0
0.0021388,0.19056,0.0024071,0,0,0.0012234,0.17241,0.002349,0,0,0
0.0024038,0.19056,0.0039653,0,0,0.0014884,0.17241,0.0039072,0,0,0
0.0024412,0.16969,0.0039674,0,0,0.0015258,0.15154,0.0039094,0,0,0
0.0021747,0.14338,0.0027767,0,0,0.0012594,0.12523,0.0027186,0,0,0
0.0032928,0.11162,0.0036653,0,0,0.0023775,0.093466,0.0036072,0,0,0
0.0037279,0.056261,0.00025408,0,0,0.0028125,0.038113,0.00019599,0,0,0
0.0028897,0.057169,0.00035038,0,0,0.0019744,0.03902,0.00029229,0,0,0
0.0028867,0.058076,0.00078027,0,0,0.0019713,0.039927,0.00072218,0,0,0
0.0025111,0.062613,0.00044993,0,0,0.0015957,0.044465,0.00039184,0,0,0
0.0015704,0.10436,0.00046607,0,0,0.00065501,0.086207,0.00040798,0,0,0
0.0013018,0.18149,0.00070367,0,0,0.0003864,0.16334,0.00064557,0,0,0
