@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
50.63,6.1488,258.4,0.60965,116,4.8742,2.1663,236.87,0.47161,108,0
49.977,6.2096,236.87,0.45647,208,4.2215,2.2271,215.33,0.31843,200,0
47.715,6.3759,193.8,0.44371,210,1.9594,2.3935,172.27,0.30566,202,0
48.665,6.3506,172.27,0.47059,164,2.9092,2.3681,150.73,0.33255,156,0
53.04,6.1242,193.8,0.46422,177,7.2835,2.1417,172.27,0.32617,169,0
48.328,6.3139,279.93,0.49508,117,2.5721,2.3314,258.4,0.35704,109,0
46.502,6.1192,258.4,0.64906,135,0.74571,2.1367,236.87,0.51101,127,0
47.095,6.2686,258.4,0.36586,180,1.3392,2.2862,236.87,0.22781,172,0
46.456,6.0928,258.4,0.66935,112,0.70039,2.1104,236.87,0.5313,104,0
44.606,5.9877,258.4,0.97476,85,0,2.0052,236.87,0.83671,77,0
44.219,6.2172,279.93,0.55907,101,0,2.2347,258.4,0.42103,93,0
45.031,6.2524,258.4,0.54907,115,0.81234,2.27,236.87,0.41103,107,0
58.889,6.5127,430.66,0.27739,178,14.67,2.5302,409.13,0.13934,170,0
51.24,6.3855,215.33,0.26875,215,7.0217,2.403,193.8,0.1307,207,0
47.421,6.3438,215.33,0.38261,222,3.2019,2.3614,193.8,0.24457,214,0
45.064,6.3409,258.4,0.72816,201,0.8458,2.3584,236.87,0.59011,193,0
44.122,6.4535,258.4,0.29581,205,0,2.471,236.87,0.15777,197,0
66.954,6.3881,236.87,0.24986,101,22.832,2.4057,215.33,0.11181,93,0
68.053,6.2664,172.27,0.36546,70,23.931,2.284,150.73,0.22742,62,0
66.432,6.2347,215.33,0.25217,62,22.31,2.2522,193.8,0.11413,54,0
60.961,6.3269,279.93,0.31202,73,16.839,2.3445,258.4,0.17397,65,0
58.365,6.256,409.13,0.32926,85,14.243,2.2735,387.6,0.19122,77,0
